,0,1,2,3,4,5,6,7
Aggregated,36147.047,36696.12,36627.03,37000.414,37670.844,38069.613,37950.293,38213.85
ACT,329.3783,336.513,346.90924,352.30115,357.05524,366.4702,374.90335,381.7139
NSW,11190.844,11381.981,11099.771,11159.811,11489.669,11670.848,11402.584,11464.648
NT,1598.6542,1600.3721,1599.1027,1602.3427,1606.8734,1609.4893,1611.4296,1615.1897
QLD,7535.7383,7626.591,7713.4854,7840.669,7993.3926,8084.16,8180.6562,8293.464
SA,2760.2573,2778.9963,2793.5762,2816.9917,2845.271,2865.5037,2883.5708,2906.9702
TAS,425.82986,423.83014,423.00113,417.5467,414.98856,412.92163,410.25754,405.79028
VIC,6805.163,7017.0176,7168.381,7318.627,7425.1807,7477.4414,7486.8433,7516.1694
WA,5501.1846,5530.829,5482.801,5492.124,5538.4165,5582.784,5600.0415,5629.9062
ACT-Female,0.05601883,0.14728308,2.1928864,-0.53875494,-3.5261898,-1.9835505,-1.9390292,-3.1585188
ACT-Male,329.32227,336.36572,344.71637,352.8399,360.58142,368.45377,376.84238,384.87244
NSW-Female,750.5908,750.0935,747.08374,748.35626,750.4624,750.08435,748.8627,749.6663
NSW-Male,10440.253,10631.888,10352.6875,10411.455,10739.207,10920.764,10653.721,10714.982
NT-Female,116.99402,120.83919,123.93004,126.45511,128.22224,131.2588,134.67351,137.20679
NT-Male,1481.6602,1479.5328,1475.1726,1475.8876,1478.6511,1478.2305,1476.756,1477.9829
QLD-Female,745.76917,754.1144,757.48505,768.53735,780.8135,788.1532,793.88354,803.0606
QLD-Male,6789.9688,6872.4766,6956.0,7072.132,7212.5786,7296.007,7386.7725,7490.4033
SA-Female,183.33722,180.3542,177.51385,176.42859,175.97829,175.2001,174.36523,174.2542
SA-Male,2576.92,2598.642,2616.0625,2640.563,2669.2925,2690.3037,2709.2056,2732.7158
TAS-Female,15.979842,17.09587,16.685574,12.8264885,13.47655,13.646083,11.050789,8.279979
TAS-Male,409.85004,406.73425,406.31555,404.72018,401.512,399.27557,399.20676,397.5103
VIC-Female,464.02734,464.507,470.5551,473.38547,473.56564,474.83575,478.05374,479.06488
VIC-Male,6341.1357,6552.5107,6697.826,6845.241,6951.615,7002.606,7008.789,7037.1045
WA-Female,548.37964,549.2179,548.0434,549.97363,552.4565,552.9143,552.66187,553.87305
WA-Male,4952.805,4981.611,4934.757,4942.15,4985.96,5029.87,5047.38,5076.033
ACT-Female-Remanded,-5.0517206,-5.8934326,-4.9146214,-5.57763,-7.231535,-8.092236,-8.150007,-8.829412
ACT-Female-Sentenced,5.10774,6.0407157,7.1075077,5.038875,3.7053454,6.1086845,6.210978,5.6708937
ACT-Male-Remanded,85.693665,84.79748,84.78754,84.89325,85.04364,85.091415,85.11661,85.19369
ACT-Male-Sentenced,243.62862,251.56824,259.9288,267.94666,275.53778,283.36234,291.72577,299.6787
NSW-Female-Remanded,238.20569,238.90114,238.31482,239.55957,241.09238,241.41707,241.27975,242.01353
NSW-Female-Sentenced,512.38513,511.19238,508.76895,508.7967,509.37003,508.6673,507.5829,507.65277
NSW-Male-Remanded,3094.899,3104.1064,2753.619,2814.5522,3141.4897,3141.6248,2794.1343,2853.6057
NSW-Male-Sentenced,7345.3535,7527.7812,7599.0693,7596.9023,7597.717,7779.1387,7859.587,7861.376
NT-Female-Remanded,44.786537,46.014492,47.568886,48.55498,49.39118,50.639744,52.07177,53.132523
NT-Female-Sentenced,72.20748,74.82469,76.36115,77.90013,78.83106,80.619064,82.60174,84.07427
NT-Male-Remanded,430.66644,426.0602,420.88443,419.32907,419.81705,418.50653,416.67615,416.86005
NT-Male-Sentenced,1050.9938,1053.4727,1054.2881,1056.5585,1058.8341,1059.724,1060.08,1061.1228
QLD-Female-Remanded,185.69574,188.6808,189.7114,193.75993,198.29019,200.88712,202.84293,206.15807
QLD-Female-Sentenced,560.0735,565.4336,567.7737,574.7774,582.5233,587.2661,591.04065,596.9025
QLD-Male-Remanded,1575.0823,1593.4496,1600.1125,1619.3655,1648.2415,1662.4373,1670.4072,1688.984
QLD-Male-Sentenced,5214.8867,5279.027,5355.8877,5452.766,5564.337,5633.57,5716.365,5801.4194
SA-Female-Remanded,81.334885,81.187195,80.71446,81.052704,81.55097,81.630844,81.54536,81.808136
SA-Female-Sentenced,102.002335,99.16701,96.79939,95.37588,94.427315,93.56926,92.81987,92.44606
SA-Male-Remanded,870.448,871.2327,869.106,871.91656,878.61084,878.9447,877.6459,879.97675
SA-Male-Sentenced,1706.472,1727.4094,1746.9564,1768.6465,1790.6819,1811.3589,1831.5598,1852.7391
TAS-Female-Remanded,2.4687457,1.4119296,2.706618,1.6820855,0.70059276,0.5391822,-0.112439394,-0.17269588
TAS-Female-Sentenced,13.511097,15.683939,13.978954,11.144403,12.775957,13.106901,11.163229,8.452675
TAS-Male-Remanded,79.42081,77.82095,77.7854,76.984024,75.22932,73.99611,73.966896,73.02057
TAS-Male-Sentenced,330.4292,328.91333,328.53015,327.73618,326.28268,325.27945,325.23987,324.48975
VIC-Female-Remanded,134.3477,134.70079,134.15459,134.99307,136.05972,136.26482,136.13599,136.65636
VIC-Female-Sentenced,329.67966,329.8062,336.4005,338.3924,337.50592,338.57095,341.91776,342.40854
VIC-Male-Remanded,1479.532,1619.6061,1707.3367,1782.4196,1805.2047,1789.7626,1736.8256,1693.5941
VIC-Male-Sentenced,4861.604,4932.905,4990.4893,5062.822,5146.4106,5212.8433,5271.964,5343.5107
WA-Female-Remanded,164.59286,165.1842,164.27023,165.68367,167.48318,167.78638,167.58069,168.43869
WA-Female-Sentenced,383.78674,384.03366,383.7732,384.28995,384.97327,385.12793,385.08118,385.4344
WA-Male-Remanded,1123.1447,1158.6819,1128.4165,1143.1495,1183.7279,1218.5941,1224.1483,1240.1667
WA-Male-Sentenced,3829.6606,3822.9292,3806.3406,3799.0005,3802.232,3811.276,3823.2314,3835.8667
ACT-Female-Remanded-ATSI,-1.8005993,-2.1130059,-1.8675988,-2.202946,-2.8690789,-3.035575,-3.0769072,-3.2235975
ACT-Female-Remanded-Non-ATSI,-3.2511213,-3.7804267,-3.0470223,-3.3746843,-4.362456,-5.05666,-5.0731006,-5.6058145
ACT-Female-Sentenced-ATSI,-3.0177636,-1.9697127,-0.8986759,-2.8716297,-3.9956605,-1.4450841,-1.339304,-1.766402
ACT-Female-Sentenced-Non-ATSI,8.125504,8.010428,8.006184,7.910505,7.701006,7.5537686,7.550282,7.437296
ACT-Male-Remanded-ATSI,20.27332,19.369476,19.251188,19.433825,19.669003,19.712902,19.68484,19.799063
ACT-Male-Remanded-Non-ATSI,65.42035,65.428,65.53635,65.45943,65.37464,65.37851,65.43177,65.39462
ACT-Male-Sentenced-ATSI,43.0999,44.43647,46.06291,47.45406,48.55229,49.810757,51.439156,52.785767
ACT-Male-Sentenced-Non-ATSI,200.52872,207.13176,213.8659,220.49258,226.98549,233.55159,240.28662,246.89296
NSW-Female-Remanded-ATSI,77.658165,77.84161,77.557945,77.99492,78.5555,78.65883,78.59228,78.864044
NSW-Female-Remanded-Non-ATSI,160.54752,161.05952,160.75687,161.56465,162.53688,162.75824,162.68748,163.14949
NSW-Female-Sentenced-ATSI,175.98499,174.5845,172.4823,172.01587,171.95746,171.13264,170.12471,169.8861
NSW-Female-Sentenced-Non-ATSI,336.40018,336.60788,336.28665,336.78082,337.41257,337.53467,337.4582,337.7667
NSW-Male-Remanded-ATSI,711.29236,700.4613,629.31134,637.10297,733.7258,718.6197,648.9746,656.0716
NSW-Male-Remanded-Non-ATSI,2383.6067,2403.6453,2124.3076,2177.4492,2407.764,2423.0051,2145.1597,2197.5342
NSW-Male-Sentenced-ATSI,1725.0774,1715.7347,1696.8558,1692.9775,1700.7169,1694.8265,1683.7067,1684.4943
NSW-Male-Sentenced-Non-ATSI,5620.2764,5812.0464,5902.2134,5903.925,5897.0,6084.312,6175.8804,6176.882
NT-Female-Remanded-ATSI,39.729008,40.92771,42.20353,43.35936,44.502148,45.736023,46.969666,48.16641
NT-Female-Remanded-Non-ATSI,5.0575304,5.086782,5.365356,5.1956224,4.88903,4.903722,5.1021047,4.966116
NT-Female-Sentenced-ATSI,63.04601,65.92427,67.227356,69.0421,70.38257,72.163925,73.90932,75.54934
NT-Female-Sentenced-Non-ATSI,9.161469,8.900422,9.1338,8.858028,8.448496,8.455136,8.69242,8.524936
NT-Male-Remanded-ATSI,353.2789,353.56995,353.12018,353.8164,354.71515,354.88635,354.77823,355.21594
