,0,1,2,3,4,5,6,7
Aggregated,35425.133,35905.56,35884.664,36196.336,36744.258,37110.023,37022.23,37238.523
ACT,337.31528,346.08862,356.85455,363.47858,370.76767,381.9699,390.52127,398.64597
NSW,10893.819,11054.229,10793.25,10827.318,11099.022,11265.454,11013.619,11053.619
NT,1581.8423,1581.9423,1580.8633,1582.8727,1585.4377,1587.066,1589.0492,1591.8407
QLD,7342.788,7415.3574,7514.215,7625.121,7745.6543,7826.8003,7931.3193,8031.3213
SA,2708.4905,2722.6138,2739.0232,2758.186,2781.396,2798.2402,2816.4868,2837.2358
TAS,450.4999,451.2238,450.9148,447.67557,449.64386,450.96054,448.26752,446.55383
VIC,6661.967,6859.372,7020.9834,7158.6406,7238.0786,7283.2314,7299.9717,7318.9805
WA,5448.406,5474.7344,5428.5635,5433.04,5474.264,5516.301,5532.994,5560.3213
ACT-Female,10.807489,12.1733675,14.190992,12.460572,11.738866,14.487228,14.63891,14.359694
ACT-Male,326.5078,333.91522,342.66357,351.018,359.0288,367.4827,375.8824,384.28625
NSW-Female,720.8443,719.0925,717.15295,716.21027,715.6918,714.4983,713.28687,712.80286
NSW-Male,10172.975,10335.137,10076.098,10111.108,10383.33,10550.956,10300.332,10340.816
NT-Female,115.900894,119.53327,121.260864,124.8407,128.13402,130.78159,133.48264,136.64665
NT-Male,1465.9414,1462.4089,1459.6024,1458.032,1457.3038,1456.2845,1455.5665,1455.194
QLD-Female,696.09454,701.86273,707.4286,714.2162,722.07587,727.5944,733.33484,740.13403
QLD-Male,6646.6934,6713.4946,6806.786,6910.9053,7023.578,7099.206,7197.9844,7291.1875
SA-Female,171.82227,168.18799,165.41971,163.92917,163.39076,161.82874,160.78539,160.46527
SA-Male,2536.6682,2554.4258,2573.6035,2594.2568,2618.0054,2636.4116,2655.7017,2676.7705
TAS-Female,25.4292,27.642649,27.326536,24.45634,26.940022,28.28899,25.759712,24.002666
TAS-Male,425.0707,423.58112,423.58826,423.21924,422.70383,422.67157,422.50778,422.55115
VIC-Female,442.09677,441.79175,449.49997,450.28558,447.75085,448.66113,452.17194,452.05594
VIC-Male,6219.87,6417.58,6571.4834,6708.355,6790.3276,6834.5703,6847.8,6866.925
WA-Female,529.1346,529.00195,528.8175,528.94794,529.15814,529.03143,528.9678,529.0266
WA-Male,4919.271,4945.7324,4899.746,4904.093,4945.106,4987.2695,5004.0264,5031.294
ACT-Female-Remanded,3.1915889,3.2074816,4.2317376,4.2493725,4.0826774,4.10368,4.0894413,4.100954
ACT-Female-Sentenced,7.6159005,8.965886,9.959254,8.2112,7.6561885,10.383548,10.549469,10.258739
ACT-Male-Remanded,80.75742,79.78323,79.974724,79.9166,79.801636,79.824486,79.81579,79.83841
ACT-Male-Sentenced,245.75037,254.132,262.68884,271.10138,279.22717,287.6582,296.0666,304.44788
NSW-Female-Remanded,225.14119,225.25143,225.0437,225.34131,225.79984,225.7472,225.51779,225.72633
NSW-Female-Sentenced,495.70312,493.84113,492.1092,490.86896,489.89197,488.7511,487.7691,487.07654
NSW-Male-Remanded,2958.5825,2952.7485,2612.8223,2661.4692,2959.5417,2952.7156,2613.8237,2662.5461
NSW-Male-Sentenced,7214.392,7382.388,7463.2754,7449.639,7423.789,7598.24,7686.508,7678.27
NT-Female-Remanded,42.248264,43.40226,44.537758,45.829098,47.094944,48.23051,49.41864,50.671387
NT-Female-Sentenced,73.652626,76.13101,76.7231,79.011604,81.03908,82.55108,84.063995,85.975266
NT-Male-Remanded,419.8308,414.20038,409.71118,407.0289,405.62717,403.80298,402.44824,401.766
NT-Male-Sentenced,1046.1106,1048.2085,1049.8912,1051.003,1051.6766,1052.4814,1053.1183,1053.428
QLD-Female-Remanded,165.29747,167.34528,169.30836,171.66492,174.36293,176.34363,178.34665,180.71098
QLD-Female-Sentenced,530.7971,534.51746,538.12024,542.5512,547.71295,551.2508,554.9882,559.42303
QLD-Male-Remanded,1511.7404,1523.0989,1534.0923,1548.0518,1564.7467,1575.4419,1586.9485,1600.9419
QLD-Male-Sentenced,5134.953,5190.3955,5272.694,5362.853,5458.8315,5523.7646,5611.036,5690.2456
SA-Female-Remanded,74.76761,74.27266,74.067474,73.980896,74.18556,73.90588,73.77626,73.840126
SA-Female-Sentenced,97.05465,93.91534,91.35223,89.94827,89.2052,87.92285,87.009125,86.62514
SA-Male-Remanded,841.745,839.42847,838.82874,838.79694,841.29144,839.74585,838.97485,839.4247
SA-Male-Sentenced,1694.9233,1714.9974,1734.7747,1755.4598,1776.7139,1796.6658,1816.7267,1837.3457
TAS-Female-Remanded,3.7837186,3.2080772,4.477024,3.8168106,3.631351,3.9629626,3.401466,3.6666913
TAS-Female-Sentenced,21.645481,24.43457,22.849512,20.63953,23.30867,24.326027,22.358246,20.335976
TAS-Male-Remanded,89.115944,88.401855,88.47316,88.37759,88.2108,88.18355,88.07642,88.08024
TAS-Male-Sentenced,335.95477,335.17926,335.1151,334.84164,334.49304,334.488,334.43137,334.47092
VIC-Female-Remanded,124.757256,124.76319,124.860565,124.82948,124.77092,124.78643,124.783485,124.79587
VIC-Female-Sentenced,317.33954,317.02856,324.6394,325.45612,322.97992,323.8747,327.38843,327.26007
VIC-Male-Remanded,1430.89,1565.8983,1657.6556,1728.3098,1740.5016,1722.9462,1673.2496,1626.1294
VIC-Male-Sentenced,4788.98,4851.6816,4913.828,4980.0454,5049.826,5111.624,5174.55,5240.7954
WA-Female-Remanded,150.06104,150.00684,149.85165,149.95886,150.06042,149.98422,149.93057,149.97185
WA-Female-Sentenced,379.07355,378.99518,378.96588,378.98907,379.09772,379.04724,379.03717,379.05475
WA-Male-Remanded,1111.109,1145.9722,1116.186,1129.9468,1169.6464,1204.1138,1209.508,1225.1802
WA-Male-Sentenced,3808.162,3799.7603,3783.5603,3774.1455,3775.4595,3783.1558,3794.5186,3806.1143
ACT-Female-Remanded-ATSI,0.82565963,0.8292181,0.9344379,0.89514464,0.84871775,0.8593482,0.85176545,0.8603867
ACT-Female-Remanded-Non-ATSI,2.3659291,2.3782635,3.2972996,3.354228,3.2339597,3.244332,3.237676,3.2405672
ACT-Female-Sentenced-ATSI,0.013907582,1.3657744,2.2224176,0.56333786,0.064301044,2.7861183,2.943688,2.6548653
ACT-Female-Sentenced-Non-ATSI,7.601993,7.6001115,7.736837,7.647862,7.5918875,7.5974298,7.605781,7.6038737
ACT-Male-Remanded-ATSI,17.554483,16.57919,16.55912,16.57509,16.610514,16.610134,16.602985,16.612513
ACT-Male-Remanded-Non-ATSI,63.20294,63.204044,63.415604,63.341515,63.191124,63.21435,63.212803,63.225895
ACT-Male-Sentenced-ATSI,44.471134,46.107334,47.90744,49.460526,50.973965,52.639492,54.313343,55.93921
ACT-Male-Sentenced-Non-ATSI,201.27924,208.02467,214.78142,221.64087,228.2532,235.01872,241.75323,248.50865
NSW-Female-Remanded-ATSI,73.227005,73.209175,72.978355,73.10507,73.29163,73.29427,73.118195,73.24162
NSW-Female-Remanded-Non-ATSI,151.91418,152.04225,152.06534,152.23624,152.5082,152.45293,152.3996,152.48471
NSW-Female-Sentenced-ATSI,165.47693,163.71725,162.15355,160.84015,159.63979,158.63846,157.78111,157.02106
NSW-Female-Sentenced-Non-ATSI,330.2262,330.12387,329.95566,330.0288,330.25217,330.11264,329.988,330.05548
NSW-Male-Remanded-ATSI,644.6815,626.52606,560.48895,562.30334,644.897,626.38275,560.9026,562.7679
NSW-Male-Remanded-Non-ATSI,2313.9011,2326.2224,2052.3333,2099.166,2314.6448,2326.3328,2052.9211,2099.7783
NSW-Male-Sentenced-ATSI,1661.9429,1645.5146,1631.2579,1621.8241,1616.6776,1607.3291,1599.9762,1595.9152
NSW-Male-Sentenced-Non-ATSI,5552.449,5736.8735,5832.0176,5827.815,5807.1113,5990.911,6086.5317,6082.355
NT-Female-Remanded-ATSI,38.323315,39.537144,40.83931,42.01279,43.140644,44.373974,45.625217,46.828663
NT-Female-Remanded-Non-ATSI,3.9249482,3.8651152,3.698447,3.816306,3.9543016,3.8565364,3.7934234,3.8427227
NT-Female-Sentenced-ATSI,65.38479,68.23333,69.135185,71.35285,73.22958,74.868576,76.46582,78.319595
NT-Female-Sentenced-Non-ATSI,8.267837,7.8976803,7.5879173,7.658751,7.809492,7.6824994,7.5981736,7.655669
NT-Male-Remanded-ATSI,348.3961,348.41583,348.18033,348.2812,348.53198,348.5283,348.51895,348.52985
NT-Male-Remanded-Non-ATSI,71.43471,65.78454,61.53085,58.747707,57.095173,55.274673,53.9293,53.236137
NT-Male-Sentenced-ATSI,896.86865,896.94354,897.07043,897.0237,896.84094,896.9589,897.06635,897.0045
NT-Male-Sentenced-Non-ATSI,149.24194,151.26498,152.82082,153.97942,154.83566,155.52257,156.05193,156.42351
QLD-Female-Remanded-ATSI,54.18672,54.188168,54.191513,54.18621,54.198475,54.1985,54.19516,54.196423
QLD-Female-Remanded-Non-ATSI,111.11075,113.15711,115.11685,117.47871,120.16446,122.14512,124.15149,126.51456
QLD-Female-Sentenced-ATSI,191.21713,195.16162,199.04018,203.34904,208.02644,211.88408,215.83519,220.14525
QLD-Female-Sentenced-Non-ATSI,339.57996,339.35583,339.08005,339.20218,339.6865,339.3667,339.15305,339.27777
QLD-Male-Remanded-ATSI,398.87344,398.0179,396.94864,397.44888,399.3861,398.19086,397.3744,397.89606
QLD-Male-Remanded-Non-ATSI,1112.867,1125.0809,1137.1437,1150.6029,1165.3606,1177.251,1189.5741,1203.0458
QLD-Male-Sentenced-ATSI,1686.8209,1716.9229,1728.6299,1769.8593,1798.6863,1823.968,1849.7584,1877.0182
QLD-Male-Sentenced-Non-ATSI,3448.132,3473.473,3544.064,3592.994,3660.1453,3699.7964,3761.2776,3813.2275
