,0,1,2,3,4,5,6,7
Aggregated,35307.11,35772.34,35741.688,36055.47,36597.492,36961.125,36882.62,37092.336
ACT,340.4912,348.58878,357.72076,364.89374,373.27826,383.72467,392.16418,400.28012
NSW,10851.421,11006.967,10744.078,10778.432,11046.649,11213.51,10965.148,11002.872
NT,1575.7765,1576.7311,1577.3677,1578.5913,1579.424,1582.1877,1584.8777,1587.4033
QLD,7313.785,7381.075,7476.3975,7588.2925,7708.09,7787.8027,7894.1865,7992.747
SA,2693.622,2706.6345,2722.7236,2741.689,2763.6216,2780.501,2799.7979,2819.7546
TAS,457.04532,457.4608,455.54675,453.03946,456.2718,456.97705,454.27728,452.55084
VIC,6639.0376,6833.0977,6992.011,7130.455,7209.56,7253.883,7271.958,7289.9326
WA,5435.9346,5461.789,5415.836,5420.079,5460.601,5502.5415,5520.209,5546.796
ACT-Female,12.491294,13.673224,14.98925,13.578366,13.208244,15.724828,15.873364,15.588034
ACT-Male,327.9999,334.91553,342.73154,351.31537,360.07,367.99988,376.29083,384.69208
NSW-Female,715.5011,711.6277,707.73016,707.3938,708.3919,705.401,703.97437,703.417
NSW-Male,10135.92,10295.34,10036.348,10071.038,10338.258,10508.107,10261.175,10299.455
NT-Female,116.83802,120.35791,122.10662,125.49557,128.55997,131.23288,134.10121,137.09964
NT-Male,1458.9385,1456.3732,1455.261,1453.0957,1450.8639,1450.9548,1450.7766,1450.3037
QLD-Female,688.4324,692.74164,697.1156,704.2396,712.4718,717.133,723.07324,729.6511
QLD-Male,6625.353,6688.333,6779.282,6884.0527,6995.618,7070.6694,7171.1133,7263.096
SA-Female,171.90428,168.12186,165.16818,163.60532,162.74088,161.288,160.4755,159.96976
SA-Male,2521.7178,2538.5127,2557.5557,2578.0837,2600.8804,2619.2131,2639.3223,2659.785
TAS-Female,28.52862,30.574512,29.391287,26.936047,30.062113,31.120842,28.49358,26.78682
TAS-Male,428.5167,426.88626,426.15546,426.1034,426.2097,425.8562,425.7837,425.76404
VIC-Female,439.2161,438.1833,444.79736,445.9543,444.27625,444.52643,447.91577,447.81
VIC-Male,6199.8213,6394.9146,6547.214,6684.501,6765.284,6809.3564,6824.0425,6842.123
WA-Female,526.128,526.1721,526.2785,526.2373,526.10986,526.16003,526.23987,526.2234
WA-Male,4909.8066,4935.6167,4889.5566,4893.842,4934.491,4976.382,4993.9688,5020.5723
ACT-Female-Remanded,4.2845116,4.198048,4.793182,4.984111,5.0387564,4.9340267,4.927037,4.928769
ACT-Female-Sentenced,8.206782,9.475177,10.196069,8.594255,8.169488,10.790801,10.946327,10.659265
ACT-Male-Remanded,80.97148,79.73104,79.43361,79.53476,79.75079,79.49159,79.443306,79.45282
ACT-Male-Sentenced,247.02843,255.18451,263.2979,271.7806,280.31918,288.50827,296.84753,305.23926
NSW-Female-Remanded,222.0534,221.20477,220.2171,220.73996,221.74509,220.87625,220.66602,220.77643
NSW-Female-Sentenced,493.4477,490.42288,487.51306,486.6538,486.64682,484.52472,483.30835,482.64056
