,0,1,2,3,4,5,6,7
Aggregated,35382.508,35642.164,35738.633,35913.93,36058.934,36318.24,36414.598,36589.97
ACT,344.93756,347.81335,349.3844,349.51068,350.5689,353.41614,354.95874,355.05762
NSW,10768.641,10853.578,10822.486,10830.714,10787.869,10872.719,10841.633,10849.949
NT,1597.0178,1599.0457,1601.062,1603.1572,1605.1917,1607.2019,1609.2104,1611.2919
QLD,7459.8037,7511.2188,7562.834,7618.4956,7675.3047,7726.6353,7778.258,7834.002
SA,2768.5464,2790.4114,2812.3215,2835.2969,2858.4976,2880.3264,2902.2246,2925.208
TAS,441.9777,441.4668,440.8913,439.6941,438.31458,437.7806,437.17126,435.93243
VIC,6632.179,6699.3115,6766.466,6835.984,6906.239,6973.3184,7040.466,7110.0234
WA,5369.407,5399.3105,5383.1885,5401.0703,5436.952,5466.8413,5450.676,5468.505
ACT-Female,16.081785,17.411974,17.453041,16.032227,15.551058,16.8682,16.893316,15.45584
ACT-Male,328.85577,330.40137,331.93134,333.47845,335.01788,336.5479,338.06543,339.6018
NSW-Female,743.5782,743.8081,744.0593,744.69666,745.4586,745.66644,745.9064,746.546
NSW-Male,10025.0625,10109.77,10078.427,10086.018,10042.41,10127.053,10095.727,10103.402
NT-Female,120.00416,121.76551,123.50957,125.130066,126.71048,128.46182,130.19635,131.80779
NT-Male,1477.0137,1477.2803,1477.5524,1478.0272,1478.4812,1478.74,1479.0142,1479.4841
QLD-Female,720.1392,724.4303,728.7253,733.5748,738.59326,742.8624,747.149,752.0038
QLD-Male,6739.665,6786.788,6834.1084,6884.921,6936.7114,6983.773,7031.1084,7081.998
SA-Female,182.14041,182.21886,182.28583,182.32135,182.3205,182.38647,182.44148,182.46649
SA-Male,2586.406,2608.1926,2630.0356,2652.9756,2676.177,2697.94,2719.783,2742.7412
TAS-Female,28.924206,28.60842,28.27483,27.722097,27.086365,26.759432,26.411783,25.842129
TAS-Male,413.0535,412.8584,412.61646,411.97202,411.2282,411.02118,410.75946,410.09033
VIC-Female,453.0252,453.21793,453.3689,453.619,453.90662,454.086,454.22565,454.4704
VIC-Male,6179.1543,6246.0938,6313.097,6382.365,6452.332,6519.2324,6586.24,6655.5527
WA-Female,525.8299,525.8552,525.84283,525.6255,525.355,525.37286,525.3425,525.1047
WA-Male,4843.577,4873.4556,4857.3457,4875.445,4911.597,4941.4688,4925.333,4943.4004
ACT-Female-Remanded,3.898137,3.87747,3.8475611,3.7225585,3.5596845,3.5320077,3.493273,3.3579817
ACT-Female-Sentenced,12.183648,13.534504,13.60548,12.309668,11.991373,13.336193,13.400043,12.097858
ACT-Male-Remanded,80.65068,80.63561,80.609375,80.51218,80.39196,80.37105,80.33778,80.233185
ACT-Male-Sentenced,248.2051,249.76578,251.32196,252.96626,254.62592,256.17688,257.72766,259.3686
NSW-Female-Remanded,233.80737,233.9104,234.02713,234.3125,234.64172,234.73486,234.84651,235.13312
NSW-Female-Sentenced,509.7708,509.8977,510.03217,510.3842,510.81693,510.93158,511.05984,511.41293
NSW-Male-Remanded,2776.5652,2778.894,2737.167,2733.0195,2783.5837,2785.889,2744.1697,2740.0562
NSW-Male-Sentenced,7248.498,7330.8755,7341.26,7352.9976,7258.8267,7341.164,7351.5566,7363.3467
NT-Female-Remanded,45.131447,45.16298,45.186626,45.192318,45.186745,45.213802,45.23391,45.236893
NT-Female-Sentenced,74.87271,76.60253,78.32294,79.937744,81.523735,83.24803,84.96245,86.57089
NT-Male-Remanded,441.28308,441.5609,441.86972,442.56836,443.33636,443.60657,443.91818,444.62177
NT-Male-Sentenced,1035.7305,1035.7194,1035.6826,1035.4589,1035.1448,1035.1334,1035.096,1034.8624
QLD-Female-Remanded,173.54605,173.65955,173.76784,174.02419,174.32843,174.43268,174.53612,174.79156
QLD-Female-Sentenced,546.59314,550.77075,554.95746,559.55066,564.2649,568.42975,572.61285,577.2122
QLD-Male-Remanded,1569.4473,1570.3461,1571.3477,1573.7795,1576.5585,1577.4312,1578.4402,1580.9077
QLD-Male-Sentenced,5170.218,5216.442,5262.7607,5311.141,5360.1533,5406.342,5452.6685,5501.0903
SA-Female-Remanded,78.30186,78.34408,78.37987,78.40504,78.41447,78.4501,78.47964,78.49898
SA-Female-Sentenced,103.83855,103.87478,103.90596,103.916306,103.90603,103.93637,103.96185,103.967514
SA-Male-Remanded,866.8209,867.2295,867.6764,868.7128,869.88416,870.28015,870.72784,871.77466
SA-Male-Sentenced,1719.5851,1740.9631,1762.3593,1784.2627,1806.2928,1827.6598,1849.0552,1870.9667
TAS-Female-Remanded,2.2599566,1.9699509,1.6730832,1.2644684,0.8137807,0.5193081,0.21592937,-0.20117882
TAS-Female-Sentenced,26.66425,26.63847,26.601748,26.457628,26.272583,26.240124,26.195854,26.043308
TAS-Male-Remanded,86.08875,86.02177,85.93584,85.68228,85.38277,85.308784,85.21284,84.9466
TAS-Male-Sentenced,326.96475,326.8366,326.68063,326.28973,325.84543,325.7124,325.54663,325.1437
VIC-Female-Remanded,121.42282,121.49428,121.54535,121.61779,121.70157,121.76724,121.81288,121.88301
VIC-Female-Sentenced,331.6024,331.72363,331.82352,332.0012,332.20505,332.31876,332.41275,332.5874
VIC-Male-Remanded,1332.8989,1338.7677,1344.6494,1351.459,1358.5258,1364.38,1370.2661,1377.1011
VIC-Male-Sentenced,4846.2554,4907.326,4968.4478,5030.906,5093.806,5154.8525,5215.9736,5278.452
WA-Female-Remanded,151.9957,152.02144,152.03531,151.97748,151.89801,151.92033,151.92564,151.85886
WA-Female-Sentenced,373.83417,373.8338,373.80756,373.64798,373.45697,373.4525,373.41687,373.2458
WA-Male-Remanded,1030.8359,1060.4573,1044.1536,1061.9187,1097.6389,1127.2632,1110.9443,1128.6853
WA-Male-Sentenced,3812.7412,3812.998,3813.192,3813.5261,3813.9583,3814.2053,3814.3892,3814.7153
ACT-Female-Remanded-ATSI,0.38340366,0.3697391,0.35241333,0.28295162,0.19238594,0.17515953,0.1532192,0.077581905
ACT-Female-Remanded-Non-ATSI,3.5147336,3.507731,3.4951477,3.439607,3.3672986,3.3568482,3.3400538,3.2803998
ACT-Female-Sentenced-ATSI,2.3962498,3.7448914,3.8154144,2.551152,2.2823973,3.628982,3.6963217,2.4300165
ACT-Female-Sentenced-Non-ATSI,9.787398,9.789613,9.790066,9.758515,9.708976,9.707211,9.703721,9.667842
ACT-Male-Remanded-ATSI,15.678295,15.664643,15.643673,15.57026,15.480269,15.464382,15.440105,15.363092
ACT-Male-Remanded-Non-ATSI,64.97239,64.97097,64.965706,64.94192,64.91169,64.90666,64.89768,64.870094
ACT-Male-Sentenced-ATSI,42.110516,43.561626,45.004272,46.40892,47.805252,49.253162,50.692684,52.09362
ACT-Male-Sentenced-Non-ATSI,206.09457,206.20415,206.31769,206.55734,206.82066,206.92372,207.03497,207.27498
NSW-Female-Remanded-ATSI,77.36471,77.42158,77.485245,77.63421,77.8036,77.8556,77.91673,78.06607
NSW-Female-Remanded-Non-ATSI,156.44266,156.48883,156.54189,156.6783,156.83812,156.87926,156.92978,157.06705
