,0,1,2,3,4,5,6,7
Aggregated,34997.945,35252.31,35336.594,35529.492,35702.004,35975.824,36053.062,36243.305
ACT,346.49518,349.26044,350.76135,351.385,353.58063,357.12335,358.0516,358.65167
NSW,10633.48,10716.428,10681.227,10695.133,10660.213,10748.375,10712.121,10725.594
NT,1589.9296,1592.4739,1594.6017,1598.4435,1603.0673,1606.6869,1608.3737,1612.2048
QLD,7304.7144,7353.7695,7401.7295,7462.9277,7527.5034,7581.8594,7628.925,7689.9756
SA,2727.0688,2748.2988,2768.961,2793.7812,2819.851,2843.044,2863.0186,2887.4429
TAS,466.3011,465.71072,465.39972,464.50476,463.5697,463.1643,462.48743,461.3886
VIC,6539.8613,6605.113,6669.4937,6741.747,6815.7803,6884.539,6947.9688,7019.631
WA,5390.092,5421.255,5404.412,5421.5723,5458.4404,5491.0254,5472.116,5488.4077
ACT-Female,21.290337,22.4569,22.558098,21.399553,21.449131,22.989906,22.796688,21.617607
ACT-Male,325.20486,326.80353,328.20325,329.98547,332.1315,334.13345,335.2549,337.03406
NSW-Female,746.1057,745.79333,745.1994,749.07324,753.94055,755.28345,754.297,757.9127
NSW-Male,9887.375,9970.635,9936.027,9946.059,9906.272,9993.092,9957.824,9967.682
NT-Female,124.786194,126.59739,128.38722,130.64624,133.12906,135.23036,136.82047,139.01038
NT-Male,1465.1433,1465.8765,1466.2145,1467.7972,1469.9382,1471.4565,1471.5532,1473.1943
QLD-Female,708.1487,711.8987,715.4811,723.432,732.48486,737.99756,741.261,749.18066
QLD-Male,6596.5654,6641.871,6686.248,6739.4956,6795.0186,6843.8613,6887.664,6940.7944
SA-Female,184.54718,184.30472,184.16734,184.94771,186.06082,186.30032,185.91762,186.54391
SA-Male,2542.5217,2563.994,2584.7935,2608.8335,2633.79,2656.7437,2677.1008,2700.899
TAS-Female,35.792557,35.35461,35.065414,34.488304,33.90392,33.542885,33.06908,32.426674
TAS-Male,430.5085,430.3561,430.3343,430.01648,429.66577,429.6214,429.41837,428.9619
VIC-Female,453.06818,452.91565,452.42194,454.00238,456.1483,456.98935,456.14893,457.5094
VIC-Male,6086.793,6152.1973,6217.0713,6287.745,6359.632,6427.5493,6491.8203,6562.121
WA-Female,535.352,535.7048,535.33246,534.66785,534.4633,535.24225,534.0636,533.0588
WA-Male,4854.7397,4885.5503,4869.08,4886.9043,4923.9775,4955.7827,4938.0527,4955.349
ACT-Female-Remanded,7.4267254,7.2020783,7.156387,7.163149,7.2188683,7.181587,6.9981604,6.965788
ACT-Female-Sentenced,13.863611,15.254821,15.4017105,14.236404,14.230263,15.808319,15.798527,14.651819
ACT-Male-Remanded,83.15896,83.20586,83.16458,83.235634,83.5056,83.747986,83.59242,83.67915
ACT-Male-Sentenced,242.0459,243.59767,245.03867,246.74982,248.6259,250.38547,251.66249,253.35492
NSW-Female-Remanded,236.86768,236.64122,236.29005,238.22263,240.6448,241.2091,240.66782,242.37631
NSW-Female-Sentenced,509.23804,509.15216,508.90936,510.8506,513.2957,514.07434,513.6292,515.53644
NSW-Male-Remanded,2725.8354,2727.59,2684.447,2681.959,2734.9497,2738.4517,2695.0781,2692.5015
NSW-Male-Sentenced,7161.5396,7243.045,7251.5806,7264.1,7171.3228,7254.64,7262.7456,7275.1797
NT-Female-Remanded,45.10427,45.164845,45.21514,45.579865,46.024906,46.252705,46.203712,46.525597
NT-Female-Sentenced,79.681915,81.43254,83.17207,85.066376,87.10415,88.97765,90.61675,92.48477
NT-Male-Remanded,423.5714,423.92645,424.08612,425.20398,426.66473,427.53983,427.576,428.7665
NT-Male-Sentenced,1041.5719,1041.9501,1042.1284,1042.5934,1043.2734,1043.9167,1043.9772,1044.4279
QLD-Female-Remanded,174.15518,174.07144,173.91446,175.89917,178.39142,179.07777,178.79083,180.82132
QLD-Female-Sentenced,533.99347,537.8273,541.5666,547.53284,554.09344,558.9198,562.47015,568.3593
QLD-Male-Remanded,1514.1036,1514.2722,1514.0078,1517.8881,1522.8525,1524.724,1524.1699,1528.0044
QLD-Male-Sentenced,5082.462,5127.5986,5172.24,5221.6074,5272.166,5319.1377,5363.494,5412.79
SA-Female-Remanded,78.84848,78.575745,78.42867,78.779434,79.37837,79.39818,79.14324,79.44472
SA-Female-Sentenced,105.69869,105.72898,105.73867,106.168274,106.68246,106.90216,106.774376,107.099205
SA-Male-Remanded,843.0206,843.2965,843.2288,844.60364,846.47876,847.4656,847.1161,848.37897
SA-Male-Sentenced,1699.5011,1720.6975,1741.5647,1764.23,1787.3114,1809.2782,1829.9847,1852.5199
TAS-Female-Remanded,6.023839,5.6636543,5.4041395,4.8349605,4.2727165,3.9430203,3.5503473,2.9416106
TAS-Female-Sentenced,29.768717,29.690956,29.661274,29.653345,29.631203,29.599863,29.518734,29.485062
TAS-Male-Remanded,92.414604,92.32286,92.20047,91.929596,91.71664,91.64861,91.40778,91.01649
TAS-Male-Sentenced,338.09393,338.03326,338.13382,338.08688,337.94916,337.9728,338.0106,337.94543
VIC-Female-Remanded,123.67218,123.76979,123.45822,124.33357,125.50042,126.05788,125.62291,126.4412
VIC-Female-Sentenced,329.396,329.14584,328.96368,329.66882,330.64786,330.93146,330.52603,331.06818
VIC-Male-Remanded,1292.4318,1297.6077,1302.5023,1310.0237,1318.2102,1324.6204,1329.1665,1336.4762
VIC-Male-Sentenced,4794.3613,4854.5894,4914.5693,4977.721,5041.422,5102.929,5162.654,5225.645
WA-Female-Remanded,156.65005,156.77283,156.6342,156.41522,156.40002,156.7525,156.20966,155.85562
WA-Female-Sentenced,378.70193,378.93195,378.69824,378.2526,378.0633,378.48975,377.85394,377.20316
WA-Male-Remanded,1058.0925,1088.4415,1072.2931,1090.2125,1126.6576,1157.3339,1140.6115,1158.3191
WA-Male-Sentenced,3796.647,3797.1086,3796.7866,3796.692,3797.3196,3798.4487,3797.4414,3797.0298
ACT-Female-Remanded-ATSI,2.0132983,1.8993993,1.8608551,1.7988441,1.8025892,1.780154,1.6635997,1.5566941
ACT-Female-Remanded-Non-ATSI,5.413427,5.302679,5.2955317,5.364305,5.416279,5.4014335,5.334561,5.409094
ACT-Female-Sentenced-ATSI,3.7443287,5.0934095,5.2623715,3.9947717,3.812509,5.2628174,5.3299003,4.091536
ACT-Female-Sentenced-Non-ATSI,10.119283,10.161411,10.139339,10.241632,10.417754,10.545502,10.468627,10.560283
ACT-Male-Remanded-ATSI,18.323677,18.3244,18.30357,18.313011,18.452702,18.558317,18.465178,18.461508
ACT-Male-Remanded-Non-ATSI,64.83528,64.881454,64.86101,64.92262,65.0529,65.18967,65.12724,65.21764
ACT-Male-Sentenced-ATSI,43.993828,45.524933,47.003315,48.62609,50.36662,52.02452,53.399033,55.051926
ACT-Male-Sentenced-Non-ATSI,198.05208,198.07274,198.03535,198.12373,198.25928,198.36095,198.26346,198.303
NSW-Female-Remanded-ATSI,78.98733,78.84706,78.68091,79.63234,80.83746,81.0693,80.78719,81.62723
NSW-Female-Remanded-Non-ATSI,157.88036,157.79416,157.60915,158.59029,159.80734,160.1398,159.88062,160.74908
NSW-Female-Sentenced-ATSI,173.12648,173.0461,172.921,173.88614,175.13419,175.52016,175.28838,176.213
NSW-Female-Sentenced-Non-ATSI,336.11157,336.10605,335.98834,336.96445,338.16153,338.55417,338.34085,339.32346
NSW-Male-Remanded-ATSI,613.30896,614.9134,571.9643,567.4508,617.8435,620.31915,577.262,572.66705
NSW-Male-Remanded-Non-ATSI,2112.5266,2112.6768,2112.4827,2114.5083,2117.1062,2118.1326,2117.8162,2119.8345
NSW-Male-Sentenced-ATSI,1681.4855,1681.6371,1681.3485,1683.5946,1686.4547,1687.4896,1687.0146,1689.1793
NSW-Male-Sentenced-Non-ATSI,5480.054,5561.4077,5570.232,5580.5054,5484.868,5567.1504,5575.731,5586.0005
NT-Female-Remanded-ATSI,38.76125,38.795506,38.887253,39.09976,39.36689,39.50446,39.523277,39.70035
NT-Female-Remanded-Non-ATSI,6.34302,6.3693385,6.3278904,6.4801064,6.6580153,6.7482452,6.680434,6.825243
NT-Female-Sentenced-ATSI,69.027725,70.83863,72.6279,74.50531,76.44572,78.341194,80.07632,81.94222
NT-Female-Sentenced-Non-ATSI,10.654194,10.593911,10.544175,10.561064,10.658433,10.636457,10.540436,10.542553
NT-Male-Remanded-ATSI,346.55975,346.75763,346.93713,347.5064,348.24768,348.73248,348.80783,349.3851
NT-Male-Remanded-Non-ATSI,77.01165,77.16881,77.14899,77.697586,78.41707,78.807335,78.76816,79.38142
