,0,1,2,3,4,5,6,7
Aggregated,35377.42,35637.75,35723.68,35906.195,36064.777,36324.38,36410.3,36593.586
ACT,342.32605,345.13373,346.68835,347.10165,348.55777,351.42682,352.9497,353.33304
NSW,10802.082,10887.914,10852.744,10864.126,10827.052,10912.537,10877.436,10889.277
NT,1591.839,1593.3386,1595.147,1597.3837,1599.487,1600.9982,1602.7903,1605.0242
QLD,7460.3506,7512.1514,7559.8545,7617.3984,7678.1655,7729.648,7777.419,7835.208
SA,2753.8477,2775.7043,2796.599,2819.7192,2843.6704,2865.4019,2886.226,2909.3887
TAS,449.433,448.94272,448.73816,448.1486,447.31873,446.83368,446.63104,446.03586
VIC,6608.8633,6676.3623,6741.722,6811.9033,6884.192,6951.707,7017.0205,7087.247
WA,5368.6807,5398.207,5382.1865,5400.419,5436.336,5465.8257,5449.8257,5468.071
ACT-Female,15.90312,17.169535,17.256443,16.048428,15.784343,17.050928,17.137157,15.929161
ACT-Male,326.4229,327.96423,329.43192,331.05322,332.77344,334.37585,335.81256,337.40387
NSW-Female,741.9186,742.3186,742.06836,742.84576,744.22003,744.60706,744.35266,745.33276
NSW-Male,10060.164,10145.596,10110.676,10121.28,10082.832,10167.93,10133.082,10143.944
NT-Female,120.98721,122.70057,124.46427,126.278915,128.05833,129.76955,131.53302,133.34895
NT-Male,1470.8518,1470.6381,1470.6826,1471.1047,1471.4288,1471.2286,1471.2573,1471.6753
QLD-Female,713.4696,717.8479,721.57886,726.4426,731.8152,736.1585,739.8954,744.78564
QLD-Male,6746.881,6794.3037,6838.2764,6890.956,6946.3506,6993.4893,7037.5234,7090.423
SA-Female,177.6459,177.64258,177.63815,177.62634,177.61215,177.6083,177.60442,177.59256
SA-Male,2576.202,2598.062,2618.961,2642.0928,2666.058,2687.7935,2708.6216,2731.7964
TAS-Female,28.359722,28.03229,27.7934,27.387484,26.902493,26.577257,26.339523,25.931286
TAS-Male,421.0733,420.91043,420.94476,420.7611,420.41623,420.25644,420.2915,420.10458
VIC-Female,443.46588,443.5489,443.52722,443.66266,443.88263,443.96326,443.94165,444.07428
VIC-Male,6165.3975,6232.8135,6298.1953,6368.241,6440.309,6507.744,6573.079,6643.173
WA-Female,521.8112,521.6155,521.6659,521.43555,521.0095,520.821,520.87134,520.63574
WA-Male,4846.869,4876.592,4860.5205,4878.9834,4915.3267,4945.005,4928.9546,4947.435
ACT-Female-Remanded,3.5622067,3.4962378,3.5084267,3.4713385,3.3770986,3.3128872,3.3243256,3.2859664
ACT-Female-Sentenced,12.340914,13.673298,13.748016,12.577088,12.407244,13.738041,13.812834,12.643195
ACT-Male-Remanded,79.25795,79.208664,79.2391,79.160286,79.025024,78.97519,79.00615,78.92679
ACT-Male-Sentenced,247.16496,248.75555,250.19283,251.89294,253.7484,255.40068,256.8064,258.47708
NSW-Female-Remanded,233.7912,233.98178,233.86945,234.16016,234.81128,234.99594,234.8756,235.35963
NSW-Female-Sentenced,508.12744,508.33682,508.19897,508.6856,509.40875,509.61108,509.47708,509.97314
NSW-Male-Remanded,2799.5,2802.2168,2758.982,2756.355,2809.4524,2812.0225,2768.8198,2766.3057
NSW-Male-Sentenced,7260.664,7343.379,7351.6934,7364.925,7273.3794,7355.907,7364.2627,7377.6387
NT-Female-Remanded,44.977367,45.00216,44.987602,45.063313,45.172756,45.195034,45.180523,45.25818
NT-Female-Sentenced,76.00984,77.69841,79.47667,81.21561,82.885574,84.57452,86.35251,88.090775
NT-Male-Remanded,437.8317,438.12042,438.08524,438.58588,439.41315,439.70905,439.66235,440.1633
NT-Male-Sentenced,1033.0201,1032.5176,1032.5974,1032.5189,1032.0156,1031.5197,1031.595,1031.512
QLD-Female-Remanded,170.42615,170.6307,170.58098,170.66692,170.95215,171.15417,171.10335,171.19072
QLD-Female-Sentenced,543.04346,547.2172,550.99786,555.77563,560.86304,565.00433,568.79205,573.595
QLD-Male-Remanded,1572.2422,1573.2264,1572.7781,1575.9624,1580.2749,1581.1406,1580.718,1583.9938
QLD-Male-Sentenced,5174.6387,5221.077,5265.498,5314.9937,5366.075,5412.3486,5456.8057,5506.4287
SA-Female-Remanded,75.33636,75.33017,75.327286,75.31158,75.289246,75.28255,75.280334,75.26457
SA-Female-Sentenced,102.30954,102.3124,102.310875,102.31477,102.322914,102.32576,102.32408,102.32799
SA-Male-Remanded,859.8857,860.3184,860.2755,861.3456,862.878,863.30994,863.2591,864.34204
SA-Male-Sentenced,1716.3162,1737.7434,1758.6855,1780.7471,1803.1802,1824.4835,1845.3624,1867.4542
TAS-Female-Remanded,2.9376462,2.6577895,2.401127,2.095689,1.7665749,1.4860106,1.2300673,0.92436326
TAS-Female-Sentenced,25.422077,25.3745,25.392273,25.291794,25.135918,25.091246,25.109457,25.006922
TAS-Male-Remanded,88.7187,88.61019,88.63448,88.595566,88.45396,88.34672,88.37138,88.33166
