,0,1,2,3,4,5,6,7
Aggregated,35084.363,35370.02,35306.254,35494.113,35701.06,35851.703,35853.71,36016.75
ACT,354.1717,356.75494,357.7199,358.88174,360.24106,361.99512,363.11606,364.46594
NSW,10761.211,10854.851,10685.293,10677.666,10766.17,10769.041,10649.938,10639.922
NT,1596.1676,1617.6322,1635.5897,1654.3983,1673.1306,1692.3912,1711.0442,1729.8547
QLD,7278.8726,7286.5913,7282.163,7289.1,7295.812,7282.061,7268.4263,7264.388
SA,2717.603,2764.0784,2773.1047,2806.7996,2831.341,2858.6882,2884.9526,2911.9077
TAS,473.68448,473.21204,468.3082,472.6312,476.35217,476.05548,474.3107,476.26602
VIC,6447.1245,6521.9043,6607.713,6719.322,6750.1934,6834.2373,6925.9595,7036.7837
WA,5455.5283,5494.9956,5496.3643,5515.3125,5547.817,5577.232,5575.966,5593.16
ACT-Female,22.515457,23.460781,23.488491,23.564323,23.738428,24.115944,24.17669,24.334335
ACT-Male,331.65625,333.29416,334.2314,335.3174,336.50262,337.8792,338.9394,340.1316
NSW-Female,731.88257,730.9934,728.4762,727.12646,726.04724,726.06396,725.27563,725.2806
NSW-Male,10029.328,10123.857,9956.816,9950.539,10040.123,10042.977,9924.662,9914.642
NT-Female,121.32139,125.67358,127.2862,129.72307,131.98262,134.57237,136.74078,139.06516
NT-Male,1474.8461,1491.9585,1508.3035,1524.6753,1541.1478,1557.8188,1574.3035,1590.7894
QLD-Female,699.44946,708.6885,714.52264,721.0878,727.5383,735.0127,741.46204,748.3485
QLD-Male,6579.4233,6577.903,6567.6406,6568.012,6568.2734,6547.0483,6526.965,6516.039
SA-Female,182.11472,181.44304,179.78085,178.55,177.62524,177.11005,176.13025,175.57697
SA-Male,2535.4883,2582.6353,2593.324,2628.2495,2653.7158,2681.5781,2708.8223,2736.3308
TAS-Female,33.26705,35.838867,35.626465,35.273926,36.073578,36.53441,36.48159,36.42102
TAS-Male,440.41742,437.37317,432.68176,437.35727,440.27863,439.52106,437.8291,439.845
VIC-Female,448.33926,451.86426,452.80298,457.38312,461.0656,464.27557,467.1244,470.57587
VIC-Male,5998.7847,6070.04,6154.91,6261.9385,6289.128,6369.962,6458.835,6566.208
WA-Female,535.87524,539.7514,542.0957,544.9186,547.2949,550.44055,553.04596,555.8921
WA-Male,4919.6533,4955.244,4954.268,4970.394,5000.522,5026.7915,5022.92,5037.268
ACT-Female-Remanded,7.9899464,8.305085,8.359075,8.463342,8.564262,8.747574,8.783081,8.854009
ACT-Female-Sentenced,14.525511,15.155695,15.129416,15.100982,15.174166,15.36837,15.393607,15.480326
ACT-Male-Remanded,88.75307,89.13713,89.0529,89.01776,89.2005,89.40778,89.41224,89.50928
ACT-Male-Sentenced,242.90317,244.15703,245.17851,246.29965,247.30214,248.4714,249.52713,250.62231
NSW-Female-Remanded,229.52225,229.55986,228.71411,228.47034,228.30388,228.61911,228.47275,228.69977
NSW-Female-Sentenced,502.36035,501.43353,499.7621,498.65613,497.7434,497.44482,496.80292,496.5808
NSW-Male-Remanded,2811.1018,2841.0444,2678.5264,2699.3606,2816.0537,2812.1763,2707.9783,2718.2515
NSW-Male-Sentenced,7218.2266,7282.813,7278.29,7251.1787,7224.0693,7230.8,7216.6846,7196.39
NT-Female-Remanded,45.27335,46.661713,47.375183,48.158382,49.066635,50.051018,50.762897,51.62315
NT-Female-Sentenced,76.048035,79.01186,79.91102,81.564674,82.91598,84.521355,85.977875,87.442
NT-Male-Remanded,428.62323,435.23633,441.36273,447.55148,453.8084,460.20233,466.41687,472.7155
NT-Male-Sentenced,1046.2229,1056.7223,1066.9407,1077.1238,1087.3395,1097.6165,1107.8866,1118.074
QLD-Female-Remanded,168.9444,170.21191,170.08415,170.15858,170.24776,170.87297,170.98126,171.30446
QLD-Female-Sentenced,530.5051,538.47656,544.4385,550.92926,557.29065,564.1398,570.4808,577.044
QLD-Male-Remanded,1524.296,1547.6475,1532.4675,1515.8276,1527.5817,1538.5859,1531.6798,1524.2533
QLD-Male-Sentenced,5055.127,5030.2554,5035.1733,5052.1846,5040.692,5008.4624,4995.2847,4991.786
SA-Female-Remanded,76.7773,75.60386,73.976105,72.656494,71.64888,70.86482,69.901886,69.21786
SA-Female-Sentenced,105.33742,105.83918,105.80475,105.89351,105.976364,106.245224,106.22837,106.3591
SA-Male-Remanded,842.476,870.8757,863.8885,880.8817,888.45154,898.0836,907.4782,916.93787
SA-Male-Sentenced,1693.0122,1711.7596,1729.4355,1747.3679,1765.2644,1783.4945,1801.344,1819.393
TAS-Female-Remanded,7.534747,7.688516,7.596461,7.517155,7.455245,7.4897413,7.4111223,7.3556533
TAS-Female-Sentenced,25.732304,28.150352,28.030003,27.756771,28.618332,29.04467,29.070467,29.065369
TAS-Male-Remanded,94.057556,93.77281,93.777016,93.86071,93.91279,94.121796,94.197334,94.322655
TAS-Male-Sentenced,346.35986,343.60037,338.90472,343.49655,346.3658,345.39926,343.63177,345.52234
VIC-Female-Remanded,127.01584,127.95604,128.29668,128.9079,129.30873,130.01797,130.50455,131.13303
VIC-Female-Sentenced,321.32343,323.9082,324.50632,328.47522,331.75687,334.2576,336.6198,339.4428
VIC-Male-Remanded,1298.4207,1317.0497,1334.5646,1352.3281,1370.1417,1388.3224,1406.0117,1423.9099
VIC-Male-Sentenced,4700.3643,4752.99,4820.3457,4909.6104,4918.9863,4981.6396,5052.823,5142.2983
WA-Female-Remanded,152.5042,153.2314,153.21982,153.43253,153.45532,153.86531,154.01215,154.27225
WA-Female-Sentenced,383.37103,386.52002,388.87585,391.48608,393.8396,396.57526,399.0338,401.6198
WA-Male-Remanded,1102.7151,1128.761,1123.4875,1137.125,1166.1372,1191.3507,1187.1575,1200.9858
WA-Male-Sentenced,3816.9385,3826.4834,3830.7808,3833.269,3834.3848,3835.441,3835.7625,3836.2822
