,0,1,2,3,4,5,6,7
Aggregated,35195.645,35422.312,35353.688,35568.797,35805.875,35962.305,35951.04,36139.453
ACT,375.95984,378.53076,380.17523,381.91864,384.71704,386.41217,388.10538,390.09326
NSW,10739.396,10808.887,10636.666,10636.971,10729.689,10733.803,10609.143,10606.186
NT,1585.8186,1605.0568,1623.8035,1642.2839,1661.1282,1679.0768,1697.9353,1716.472
QLD,7333.1865,7324.274,7317.287,7333.8604,7356.384,7343.448,7324.6978,7328.839
SA,2743.874,2787.6619,2797.0403,2833.2969,2860.6528,2889.286,2915.5303,2945.0066
TAS,462.5189,457.70306,453.16156,457.86145,460.36847,458.9513,456.99344,459.46045
VIC,6484.0156,6553.8633,6639.016,6754.642,6791.8857,6879.024,6969.3047,7084.3643
WA,5470.874,5506.336,5506.5356,5527.9575,5561.047,5592.304,5589.331,5609.0386
ACT-Female,29.750097,30.38332,30.596298,31.073442,31.691994,32.045353,32.19015,32.798794
ACT-Male,346.20972,348.14746,349.57895,350.84518,353.0251,354.36682,355.91522,357.29443
NSW-Female,702.49445,694.41974,692.09784,691.4127,689.2106,688.2003,686.3791,686.8815
NSW-Male,10036.902,10114.467,9944.568,9945.559,10040.48,10045.602,9922.764,9919.305
NT-Female,116.883316,120.08469,122.08016,124.28332,126.299576,128.21094,130.5698,132.67676
NT-Male,1468.9353,1484.9722,1501.7234,1518.0005,1534.8286,1550.8658,1567.3656,1583.7953
QLD-Female,704.26953,708.3476,713.68384,722.467,732.2761,739.0906,744.2999,752.83466
QLD-Male,6628.917,6615.9263,6603.6025,6611.3936,6624.1074,6604.3574,6580.398,6576.004
SA-Female,194.43497,193.57338,192.37611,191.59407,191.6048,191.07446,190.55899,190.34015
SA-Male,2549.4392,2594.0884,2604.664,2641.7026,2669.0483,2698.2114,2724.9714,2754.6665
TAS-Female,36.964207,38.3773,38.316925,38.184853,39.026543,39.172676,39.09863,39.289433
TAS-Male,425.5547,419.32574,414.84467,419.67657,421.34192,419.77863,417.8948,420.17102
VIC-Female,459.6981,463.01672,464.5689,469.35745,473.85223,477.4667,480.72366,484.51105
VIC-Male,6024.318,6090.8467,6174.4473,6285.2847,6318.0337,6401.557,6488.581,6599.8535
WA-Female,538.8756,541.45154,543.75476,546.86444,549.53625,552.80585,555.197,558.4284
WA-Male,4931.998,4964.885,4962.7812,4981.093,5011.5107,5039.498,5034.134,5050.6104
ACT-Female-Remanded,10.975819,11.613316,11.709782,11.9157505,12.293765,12.485184,12.5679,12.747256
ACT-Female-Sentenced,18.774279,18.770004,18.886517,19.157692,19.39823,19.560171,19.622252,20.051538
ACT-Male-Remanded,92.31939,92.55022,92.78457,92.747826,93.07715,93.004135,93.275566,93.32132
ACT-Male-Sentenced,253.89034,255.59723,256.79437,258.09735,259.9479,261.3627,262.63965,263.97314
NSW-Female-Remanded,214.93007,211.73492,210.97244,210.94455,210.35834,209.67479,209.0173,209.29465
NSW-Female-Sentenced,487.5644,482.6848,481.1254,480.4682,478.85223,478.5255,477.3618,477.5868
NSW-Male-Remanded,2806.2297,2826.852,2662.1567,2686.1006,2807.7236,2803.1868,2695.853,2708.5833
NSW-Male-Sentenced,7230.672,7287.6147,7282.412,7259.4575,7232.756,7242.415,7226.911,7210.721
NT-Female-Remanded,43.41391,44.417572,45.292377,45.94174,46.855038,47.623993,48.526726,49.241688
NT-Female-Sentenced,73.469406,75.667114,76.78779,78.34158,79.44454,80.58695,82.04307,83.435074
NT-Male-Remanded,429.31323,435.21457,441.60144,448.0212,454.79404,460.8734,467.17184,473.61023
NT-Male-Sentenced,1039.6221,1049.7576,1060.1221,1069.9792,1080.0345,1089.9924,1100.1937,1110.185
QLD-Female-Remanded,170.96509,169.45926,169.28172,170.30453,171.89108,171.97986,171.56874,172.50388
QLD-Female-Sentenced,533.3045,538.8883,544.4021,552.1624,560.385,567.1107,572.7312,580.3308
QLD-Male-Remanded,1549.562,1567.9459,1552.0703,1538.788,1556.2917,1567.8002,1559.3438,1554.8682
QLD-Male-Sentenced,5079.3545,5047.9805,5051.5327,5072.6055,5067.8154,5036.557,5021.054,5021.1357
SA-Female-Remanded,82.14826,81.01485,79.64531,78.56462,78.04171,77.253265,76.55065,75.9739
SA-Female-Sentenced,112.28671,112.55853,112.730804,113.02945,113.563095,113.82119,114.00833,114.36624
SA-Male-Remanded,844.7216,871.3273,864.07117,882.1203,890.8543,900.7777,909.59216,920.09314
SA-Male-Sentenced,1704.7177,1722.7612,1740.593,1759.5824,1778.1938,1797.4338,1815.3793,1834.5732
TAS-Female-Remanded,8.875317,8.700858,8.613485,8.574747,8.440339,8.255943,8.132455,8.090222
TAS-Female-Sentenced,28.08889,29.676443,29.703438,29.610106,30.586205,30.916733,30.966173,31.199211
TAS-Male-Remanded,88.836296,87.30826,87.36469,87.636894,87.25874,87.42374,87.425095,87.82992
TAS-Male-Sentenced,336.71838,332.01752,327.47995,332.03967,334.0832,332.3549,330.46973,332.3411
VIC-Female-Remanded,132.71213,133.72342,134.3745,134.95209,135.76523,136.7131,137.36705,138.09102
VIC-Female-Sentenced,326.98596,329.2933,330.19443,334.40536,338.087,340.7536,343.35663,346.42
VIC-Male-Remanded,1315.5663,1334.1798,1351.6727,1370.8853,1389.7197,1409.8274,1427.5956,1447.0754
VIC-Male-Sentenced,4708.7515,4756.6665,4822.7744,4914.3994,4928.314,4991.7295,5060.9854,5152.778
WA-Female-Remanded,157.31335,157.60199,157.60355,158.03375,158.39284,158.96146,159.02367,159.54803
WA-Female-Sentenced,381.56226,383.84952,386.15118,388.8307,391.14343,393.84436,396.1734,398.88037
WA-Male-Remanded,1099.4114,1124.4193,1118.9261,1132.7423,1161.4604,1186.4309,1181.8177,1195.7169
WA-Male-Sentenced,3832.5864,3840.4653,3843.8547,3848.3506,3850.0503,3853.0674,3852.316,3854.8933
