,0,1,2,3,4,5,6,7
Aggregated,34914.562,35172.957,35112.23,35305.92,35503.23,35651.51,35650.32,35818.973
ACT,353.3031,355.2379,356.60852,357.73627,358.96228,360.24472,361.48108,362.7019
NSW,10628.205,10705.212,10535.417,10526.459,10609.044,10604.896,10482.553,10470.91
NT,1556.8855,1576.1969,1594.8342,1612.4956,1630.3505,1647.6868,1666.1074,1683.6521
QLD,7270.2124,7273.623,7271.3286,7281.3867,7289.3735,7275.027,7261.962,7260.6113
SA,2719.428,2765.577,2774.8682,2809.3347,2833.7583,2862.6157,2889.1758,2916.8555
TAS,444.7475,441.53223,436.40305,440.00464,442.15082,440.82095,438.36597,439.7188
VIC,6450.449,6527.347,6614.3545,6726.945,6758.129,6844.959,6937.123,7049.6504
WA,5491.328,5528.2354,5528.409,5551.5645,5581.461,5615.2656,5613.5566,5634.868
ACT-Female,18.429718,18.580936,18.621067,18.867254,18.66014,18.714603,18.583384,18.821796
ACT-Male,334.87338,336.65698,337.9875,338.86902,340.30212,341.53012,342.8977,343.88013
NSW-Female,684.6666,678.89136,676.3511,673.8528,670.44385,668.18396,666.36237,665.2224
NSW-Male,9943.539,10026.32,9859.066,9852.606,9938.6,9936.713,9816.189,9805.6875
NT-Female,111.99839,115.207054,117.00166,119.41573,121.221436,123.32161,125.43474,127.62221
NT-Male,1444.8871,1460.9899,1477.8325,1493.0798,1509.1289,1524.3652,1540.6726,1556.0299
QLD-Female,685.38574,692.57074,698.94415,706.04266,711.96643,719.0541,725.55994,732.61035
QLD-Male,6584.8267,6581.0522,6572.385,6575.3438,6577.407,6555.9727,6536.4023,6528.001
SA-Female,186.73149,185.54425,184.03445,183.03873,182.11342,181.70792,180.9159,180.50772
SA-Male,2532.6963,2580.0327,2590.8337,2626.296,2651.645,2680.908,2708.2603,2736.3477
TAS-Female,26.306383,27.926834,27.73444,27.140368,27.486279,27.468151,27.27709,26.959229
TAS-Male,418.44113,413.60538,408.6686,412.86426,414.66455,413.3528,411.08887,412.75958
VIC-Female,455.18115,459.83148,461.37048,466.10556,470.028,474.09644,477.43597,481.1214
