,0,1,2,3,4,5,6,7
Aggregated,35288.79,35578.188,35532.113,35737.082,35946.01,36135.355,36140.13,36341.95
ACT,365.0685,364.70895,367.23486,367.66248,369.28937,371.25595,373.52332,375.18317
NSW,10790.383,10827.451,10672.215,10673.068,10752.766,10751.992,10634.507,10637.938
NT,1630.2184,1652.3281,1667.2563,1691.39,1724.9182,1741.2888,1754.9963,1777.2041
QLD,7339.715,7352.8135,7364.783,7383.5283,7384.0864,7377.9854,7373.3906,7382.7393
SA,2739.8345,2792.737,2804.2368,2834.9485,2862.5308,2894.3555,2922.6675,2950.3755
TAS,445.56567,447.42017,443.1234,445.13782,447.91046,449.87863,448.6571,450.18878
VIC,6464.4526,6573.9375,6670.806,6777.0083,6794.214,6896.349,6998.837,7113.6104
WA,5513.5503,5566.786,5542.466,5564.3423,5610.3013,5652.249,5633.5547,5654.706
ACT-Female,21.985027,20.985329,21.596546,21.563152,21.711422,21.74089,22.027796,22.27266
ACT-Male,343.0835,343.72363,345.6383,346.09937,347.57794,349.51505,351.49548,352.9105
NSW-Female,718.109,707.9652,707.31696,706.54626,704.96606,703.4143,702.1488,703.52246
NSW-Male,10072.274,10119.486,9964.897,9966.521,10047.799,10048.578,9932.357,9934.416
NT-Female,130.92557,134.70996,135.61188,138.8958,144.49794,146.80011,147.92377,150.98293
NT-Male,1499.2928,1517.6182,1531.6445,1552.4943,1580.4202,1594.4888,1607.0725,1626.2212
QLD-Female,702.44995,714.63873,723.62146,732.3209,737.5444,746.9773,755.42664,764.471
QLD-Male,6637.2646,6638.175,6641.162,6651.2075,6646.542,6631.008,6617.964,6618.2686
SA-Female,184.90375,184.33615,183.06763,181.36658,182.11627,181.27231,180.4224,179.59952
SA-Male,2554.9307,2608.401,2621.169,2653.582,2680.4146,2713.0835,2742.245,2770.776
TAS-Female,28.203382,29.827488,30.445517,29.90452,30.088726,30.665573,30.995205,30.989763
TAS-Male,417.3623,417.5927,412.67792,415.2333,417.82175,419.21307,417.6619,419.199
VIC-Female,458.705,467.04337,469.63556,472.51758,474.28763,480.5191,485.08374,488.7578
VIC-Male,6005.748,6106.894,6201.1704,6304.4907,6319.927,6415.83,6513.7534,6624.8525
WA-Female,541.3232,551.90515,549.48486,552.27094,560.2479,565.79517,564.9586,568.2364
WA-Male,4972.227,5014.881,4992.981,5012.0713,5050.0537,5086.454,5068.5957,5086.4697
ACT-Female-Remanded,5.8656535,5.286912,5.7128096,5.618636,5.6108294,5.564581,5.7307115,5.777786
ACT-Female-Sentenced,16.119375,15.698416,15.883736,15.944515,16.100594,16.17631,16.297085,16.494873
ACT-Male-Remanded,90.51528,90.1163,90.51009,90.0213,90.881584,90.71622,91.11161,90.913666
ACT-Male-Sentenced,252.5682,253.60733,255.12823,256.07803,256.69635,258.79883,260.38388,261.99683
NSW-Female-Remanded,223.06503,218.51064,219.39409,219.73386,219.94012,218.81964,218.79604,219.78857
NSW-Female-Sentenced,495.04395,489.4546,487.92288,486.81244,485.02594,484.5947,483.35278,483.7339
NSW-Male-Remanded,2795.0854,2806.7212,2652.7073,2675.098,2789.7717,2782.6475,2681.1484,2695.1394
NSW-Male-Sentenced,7277.189,7312.765,7312.1904,7291.4243,7258.0273,7265.9307,7251.2095,7239.2764
NT-Female-Remanded,52.9776,54.337444,54.717773,56.02593,58.801765,59.715824,59.979305,61.263252
NT-Female-Sentenced,77.94796,80.372505,80.894104,82.869865,85.69618,87.08428,87.944466,89.719666
NT-Male-Remanded,439.62946,446.5216,453.5636,461.2553,473.31293,478.22046,483.89026,491.5217
NT-Male-Sentenced,1059.6635,1071.0964,1078.0809,1091.239,1107.1073,1116.2683,1123.1824,1134.6995
QLD-Female-Remanded,171.82126,173.49498,174.54536,175.72519,175.6904,176.74548,177.43651,178.61447
QLD-Female-Sentenced,530.62866,541.14374,549.07605,556.59576,561.85394,570.2318,577.9902,585.85657
QLD-Male-Remanded,1546.4316,1567.5402,1557.8346,1545.1685,1556.3229,1568.3547,1563.8597,1561.016
QLD-Male-Sentenced,5090.833,5070.635,5083.327,5106.039,5090.219,5062.6533,5054.1045,5057.253
SA-Female-Remanded,78.99659,78.33605,77.0684,75.59079,75.24756,74.41875,73.64673,72.85911
SA-Female-Sentenced,105.907166,106.00009,105.99923,105.77579,106.86871,106.85356,106.775665,106.74041
SA-Male-Remanded,849.25415,876.6688,870.44684,886.3476,895.04474,905.8101,915.5469,925.4561
SA-Male-Sentenced,1705.6765,1731.7322,1750.7223,1767.2344,1785.3698,1807.2732,1826.6982,1845.3197
TAS-Female-Remanded,4.3733225,4.3395185,4.7572513,4.466651,3.9934292,4.086959,4.3357215,4.1970873
TAS-Female-Sentenced,23.83006,25.48797,25.688267,25.437868,26.095295,26.578615,26.659483,26.792675
TAS-Male-Remanded,87.993484,88.44642,88.20876,87.459076,87.73457,88.88243,88.79783,88.79839
TAS-Male-Sentenced,329.36884,329.14627,324.46915,327.77423,330.08716,330.33063,328.86407,330.4006
VIC-Female-Remanded,133.40685,136.8551,138.16872,137.94405,137.80014,139.66026,141.04216,141.71584
VIC-Female-Sentenced,325.29813,330.18826,331.46683,334.57355,336.4875,340.85886,344.0416,347.04196
VIC-Male-Remanded,1325.3068,1358.6455,1376.1831,1393.9012,1408.4861,1433.6562,1453.123,1472.5422
VIC-Male-Sentenced,4680.441,4748.2485,4824.9873,4910.5894,4911.4404,4982.174,5060.6304,5152.31
WA-Female-Remanded,155.52621,160.21997,158.25874,158.79362,161.68423,163.02438,161.72531,162.21323
WA-Female-Sentenced,385.79694,391.68518,391.22614,393.47736,398.56372,402.77075,403.23334,406.02316
WA-Male-Remanded,1109.46,1138.6823,1125.6421,1141.4734,1173.9215,1202.1195,1192.7798,1207.8334
WA-Male-Sentenced,3862.767,3876.1987,3867.3389,3870.598,3876.1318,3884.3347,3875.8162,3878.6362
ACT-Female-Remanded-ATSI,1.8903084,1.5717472,1.709579,1.6312599,1.8297055,1.7985544,1.8506732,1.8745822
ACT-Female-Remanded-Non-ATSI,3.9753451,3.715165,4.0032306,3.987376,3.7811236,3.7660267,3.8800383,3.9032035
ACT-Female-Sentenced-ATSI,5.996979,5.768615,5.824897,5.8932757,5.935904,6.02262,6.080218,6.2089696
ACT-Female-Sentenced-Non-ATSI,10.1223955,9.929801,10.058839,10.05124,10.164689,10.153689,10.2168665,10.285904
ACT-Male-Remanded-ATSI,18.189905,18.035625,18.35409,18.005741,18.228827,18.207365,18.487787,18.377247
ACT-Male-Remanded-Non-ATSI,72.32538,72.08067,72.156006,72.01556,72.652756,72.50885,72.623825,72.536415
ACT-Male-Sentenced-ATSI,49.6856,50.5325,51.918236,52.952847,53.679356,55.184425,56.566784,57.907375
ACT-Male-Sentenced-Non-ATSI,202.8826,203.07483,203.20999,203.1252,203.017,203.61441,203.81711,204.08945
NSW-Female-Remanded-ATSI,71.61323,69.926865,70.6427,70.96331,71.32401,70.801025,70.874725,71.30289
NSW-Female-Remanded-Non-ATSI,151.4518,148.58377,148.75139,148.77054,148.61612,148.01862,147.92131,148.48569
NSW-Female-Sentenced-ATSI,161.90997,156.88725,154.54288,152.61932,150.52791,149.33078,148.01292,147.55219
NSW-Female-Sentenced-Non-ATSI,333.13397,332.56732,333.38,334.1931,334.49802,335.26392,335.33984,336.1817
