,0,1,2,3,4,5,6,7
Aggregated,35467.117,35808.41,35868.81,36067.62,36328.516,36659.04,36702.79,36892.85
ACT,361.30515,358.01215,358.65878,359.99057,360.4729,356.8518,357.46777,358.8801
NSW,10756.48,10853.691,10756.93,10760.58,10851.4,10949.111,10846.919,10850.25
NT,1572.9238,1573.0736,1576.4738,1594.3286,1640.9849,1640.8462,1644.0591,1662.0784
QLD,7418.8867,7461.273,7470.927,7504.514,7601.92,7644.952,7653.4062,7685.9307
SA,2773.647,2797.8872,2819.2085,2842.7207,2872.5996,2896.6987,2917.8213,2941.2554
TAS,412.2212,421.5184,423.60425,424.99017,405.0671,414.01453,416.1505,417.61566
VIC,6556.626,6647.9316,6760.534,6855.091,6839.294,6931.1807,7043.849,7138.2637
WA,5615.038,5695.027,5702.4746,5725.4043,5756.784,5825.3823,5823.121,5838.576
ACT-Female,22.334873,21.060768,21.113964,21.32814,21.641142,20.217575,20.24693,20.476482
ACT-Male,338.97028,336.95135,337.54483,338.6624,338.83173,336.63425,337.2209,338.40363
NSW-Female,732.98096,729.6362,725.7466,723.72296,725.9541,722.65875,718.72046,716.6169
NSW-Male,10023.499,10124.055,10031.183,10036.856,10125.447,10226.453,10128.198,10133.633
NT-Female,113.57506,112.34915,113.24133,114.70825,118.74769,117.392426,118.24445,119.772804
NT-Male,1459.3488,1460.7245,1463.2323,1479.6202,1522.2372,1523.4537,1525.8146,1542.3055
QLD-Female,712.04553,712.875,713.5779,716.40656,719.6822,720.55914,721.25183,724.01514
QLD-Male,6706.8413,6748.3975,6757.3496,6788.1074,6882.2383,6924.3926,6932.1543,6961.916
SA-Female,192.3397,191.23773,191.05197,191.45691,193.25458,191.96985,191.72272,192.1662
SA-Male,2581.3074,2606.65,2628.1565,2651.264,2679.3452,2704.729,2726.0984,2749.0889
TAS-Female,32.743565,31.542522,31.704052,31.824856,30.977295,29.623016,29.804777,29.954605
TAS-Male,379.47763,389.9759,391.9002,393.16528,374.0898,384.3915,386.34576,387.66107
VIC-Female,451.44464,454.63428,463.30063,461.18646,451.0348,454.16553,462.83847,460.82086
VIC-Male,6105.1816,6193.2974,6297.2334,6393.905,6388.259,6477.015,6581.0107,6677.443
WA-Female,562.16907,567.2661,567.6967,568.04285,566.81433,571.875,572.25555,572.66437
WA-Male,5052.869,5127.7607,5134.7783,5157.3613,5189.9697,5253.5073,5250.865,5265.9116
ACT-Female-Remanded,6.4730115,5.5872602,5.608389,5.6555214,5.8503103,4.8804026,4.894721,4.952386
ACT-Female-Sentenced,15.861863,15.473507,15.505574,15.672619,15.7908325,15.337172,15.352207,15.524097
ACT-Male-Remanded,85.388405,83.704575,84.04685,84.40207,84.84878,83.072235,83.40524,83.795364
ACT-Male-Sentenced,253.58186,253.2468,253.49797,254.26036,253.98297,253.56201,253.81563,254.60825
NSW-Female-Remanded,221.3964,217.36002,215.06628,214.1316,216.18951,212.1837,209.88077,208.91965
NSW-Female-Sentenced,511.58456,512.2762,510.68027,509.59137,509.76462,510.47507,508.83966,507.69727
NSW-Male-Remanded,2768.508,2789.6724,2684.9639,2702.7744,2868.6587,2889.8916,2779.9678,2797.5342
NSW-Male-Sentenced,7254.9907,7334.383,7346.2188,7334.082,7256.788,7336.561,7348.2305,7336.099
NT-Female-Remanded,42.81376,41.76934,41.743023,42.100998,43.856228,42.75315,42.701176,43.096016
NT-Female-Sentenced,70.7613,70.57981,71.498314,72.607254,74.89146,74.639275,75.543274,76.67679
NT-Male-Remanded,431.5586,423.30548,417.71008,425.04514,454.60913,446.34805,440.72717,448.13843
NT-Male-Sentenced,1027.7902,1037.419,1045.5222,1054.5752,1067.628,1077.1057,1085.0874,1094.1672
QLD-Female-Remanded,168.34338,167.12065,166.29579,166.29579,166.48282,165.26443,164.4364,164.3954
QLD-Female-Sentenced,543.70215,545.75433,547.2821,550.1108,553.1994,555.29474,556.8154,559.61975
QLD-Male-Remanded,1565.3956,1566.2639,1542.262,1532.346,1575.6033,1576.5309,1551.4608,1540.706
QLD-Male-Sentenced,5141.446,5182.134,5215.0874,5255.7617,5306.635,5347.862,5380.6934,5421.21
SA-Female-Remanded,82.08356,81.47209,81.39783,81.61847,82.52455,81.82446,81.71514,81.95384
SA-Female-Sentenced,110.25615,109.76564,109.654144,109.83845,110.73003,110.14539,110.007576,110.21236
SA-Male-Remanded,868.782,875.0045,879.70886,885.44824,894.29456,900.5482,905.18335,910.892
SA-Male-Sentenced,1712.5254,1731.6453,1748.4476,1765.8157,1785.0507,1804.1807,1820.915,1838.197
TAS-Female-Remanded,4.138533,3.4615922,3.3402283,3.2751663,3.2369404,2.470502,2.3505893,2.300649
TAS-Female-Sentenced,28.60503,28.08093,28.363823,28.549688,27.740355,27.152515,27.45419,27.653955
TAS-Male-Remanded,77.37839,85.973526,84.09078,78.037155,75.73451,84.214554,82.34139,76.32523
TAS-Male-Sentenced,302.09924,304.00238,307.80942,315.12814,298.3553,300.17697,304.00436,311.33585
VIC-Female-Remanded,125.49463,124.79672,124.61489,124.858,125.21945,124.47143,124.284645,124.57448
VIC-Female-Sentenced,325.95,329.83752,338.68573,336.32846,325.81534,329.6941,338.55383,336.2464
VIC-Male-Remanded,1369.1699,1394.5996,1413.7557,1433.3254,1454.6396,1480.2588,1499.3293,1518.7314
VIC-Male-Sentenced,4736.0117,4798.6978,4883.4775,4960.579,4933.619,4996.7563,5081.681,5158.7114
WA-Female-Remanded,168.79393,170.26175,170.21307,170.50914,171.10646,172.5628,172.49173,172.80783
WA-Female-Sentenced,393.37518,397.0044,397.48367,397.53366,395.70792,399.3122,399.7638,399.85654
WA-Male-Remanded,1137.7266,1170.3828,1161.8596,1172.8159,1202.9941,1235.7522,1227.1263,1237.9641
