,0,1,2,3,4,5,6,7
Aggregated,35480.27,35831.742,35891.105,36085.684,36353.707,36697.055,36739.34,36926.047
ACT,361.0375,358.5434,359.59174,360.66406,359.8509,357.07938,358.11237,359.05215
NSW,10793.352,10897.17,10801.552,10806.36,10896.76,11000.535,10899.593,10903.361
NT,1594.867,1595.2457,1601.3613,1619.4724,1661.7083,1661.3048,1667.1893,1687.0195
QLD,7434.0547,7481.617,7489.7485,7523.949,7622.961,7671.805,7678.7812,7711.9385
SA,2768.0034,2789.4805,2812.1077,2837.1372,2865.224,2887.842,2910.1753,2935.2134
TAS,414.419,425.2146,427.20947,428.10468,406.77875,417.20453,419.22806,420.22443
VIC,6548.6084,6640.249,6751.459,6843.4404,6833.7417,6926.6885,7037.5615,7128.7705
WA,5565.923,5644.2227,5648.0703,5666.5522,5706.6797,5774.593,5768.6978,5780.4634
ACT-Female,23.811842,22.659306,23.06223,23.203026,23.047375,21.866573,22.14011,22.286985
ACT-Male,337.22565,335.8841,336.52948,337.461,336.80353,335.2128,335.9723,336.76517
NSW-Female,738.8437,737.79504,732.5495,729.7093,733.1101,732.015,726.6726,723.56683
NSW-Male,10054.508,10159.375,10069.002,10076.651,10163.649,10268.52,10172.92,10179.794
NT-Female,113.56253,112.72127,113.58708,115.001854,118.38892,117.42425,118.02791,119.54296
NT-Male,1481.3044,1482.5245,1487.7743,1504.4705,1543.3193,1543.8806,1549.1614,1567.4766
QLD-Female,705.83545,707.32794,707.62683,710.0955,714.13245,715.5775,715.80493,718.299
QLD-Male,6728.219,6774.289,6782.122,6813.854,6908.828,6956.2275,6962.9766,6993.6396
SA-Female,187.68842,185.72668,185.92824,186.73709,188.13882,185.98679,186.10321,187.01572
SA-Male,2580.315,2603.754,2626.1794,2650.4004,2677.0852,2701.8552,2724.0718,2748.1973
TAS-Female,32.98902,31.451332,31.627192,31.554949,31.165937,29.597721,29.747366,29.68789
TAS-Male,381.43,393.76328,395.5823,396.5497,375.6128,387.6068,389.48068,390.53653
VIC-Female,440.6861,442.87576,451.09332,448.35315,439.67255,441.76868,449.9259,447.18924
VIC-Male,6107.923,6197.373,6300.365,6395.088,6394.0693,6484.92,6587.6353,6681.581
WA-Female,544.19604,548.6853,548.5328,548.4569,548.7686,553.2576,553.01025,552.99744
WA-Male,5021.7266,5095.537,5099.538,5118.0957,5157.911,5221.335,5215.6875,5227.466
ACT-Female-Remanded,7.5093784,6.8423615,7.123119,7.1951513,6.7649074,6.0512075,6.2168975,6.3096743
ACT-Female-Sentenced,16.302464,15.816946,15.93911,16.007874,16.282467,15.815366,15.923213,15.97731
ACT-Male-Remanded,84.35713,83.034966,83.45132,83.994286,83.68178,82.36492,82.81166,83.18146
ACT-Male-Sentenced,252.86853,252.84912,253.07816,253.46674,253.12173,252.84789,253.16061,253.58371
NSW-Female-Remanded,226.91318,222.87805,220.48755,219.63344,221.99844,217.76718,215.26636,214.40698
NSW-Female-Sentenced,511.93048,514.917,512.06195,510.07587,511.11163,514.24786,511.4062,509.15985
NSW-Male-Remanded,2794.9688,2816.8828,2713.4087,2730.291,2898.8718,2920.1904,2812.584,2830.1853
NSW-Male-Sentenced,7259.5396,7342.4917,7355.5938,7346.3604,7264.778,7348.3296,7360.336,7349.6084
