,0,1,2,3,4,5,6,7
Aggregated,34961.863,35314.77,35380.867,35563.977,35822.617,36161.137,36213.97,36391.445
ACT,354.38684,352.73538,352.75677,353.20044,354.17355,352.2728,352.26,352.6775
NSW,10666.806,10772.793,10681.477,10684.569,10776.467,10881.162,10785.17,10788.58
NT,1612.1356,1618.4934,1625.8784,1646.0594,1685.6014,1691.6274,1699.0106,1719.2258
QLD,7313.209,7359.3057,7371.234,7397.1387,7498.376,7540.503,7552.0977,7578.278
SA,2713.3955,2737.5972,2759.8257,2781.939,2807.3892,2831.0596,2853.495,2875.8145
TAS,430.56168,442.11707,444.79745,447.01447,427.98175,439.23505,441.9402,444.1609
VIC,6426.7603,6517.7686,6627.5757,6716.371,6704.292,6794.208,6904.525,6993.9663
WA,5444.6133,5513.9624,5517.323,5537.6826,5568.331,5631.0664,5625.4707,5638.7456
ACT-Female,18.968212,18.276493,18.117027,18.177202,18.70618,17.885057,17.719795,17.769718
ACT-Male,335.41864,334.4589,334.63977,335.02325,335.46738,334.38776,334.54022,334.90778
NSW-Female,708.27344,707.4362,705.11597,703.5134,704.9265,703.71326,701.5327,700.04553
NSW-Male,9958.532,10065.357,9976.361,9981.057,10071.54,10177.449,10083.638,10088.535
NT-Female,119.247086,120.44321,121.84305,123.606445,126.23536,127.2448,128.66223,130.44633
NT-Male,1492.8884,1498.05,1504.0353,1522.453,1559.3661,1564.3827,1570.3483,1588.7795
QLD-Female,686.31323,687.8886,688.12933,689.13684,694.5001,695.54785,695.8906,697.04987
QLD-Male,6626.8955,6671.4175,6683.1045,6708.002,6803.876,6844.955,6856.2075,6881.2275
SA-Female,184.00015,183.4307,183.57816,183.94138,184.44632,183.84364,183.97496,184.31647
SA-Male,2529.3955,2554.1665,2576.2476,2597.9976,2622.9429,2647.2163,2669.52,2691.498
TAS-Female,30.57322,29.783642,29.474855,29.407053,29.874228,29.057663,28.751669,28.676407
TAS-Male,399.98846,412.33344,415.3226,417.60742,398.10754,410.17737,413.18854,415.4845
VIC-Female,435.9744,440.6291,449.0117,446.2376,436.39838,441.25766,449.6469,446.9007
VIC-Male,5990.7856,6077.1396,6178.564,6270.134,6267.8936,6352.95,6454.878,6547.0654
WA-Female,528.46954,532.0123,531.5171,531.2485,529.92114,534.4195,534.0003,533.80597
WA-Male,4916.1436,4981.95,4985.806,5006.4346,5038.41,5096.647,5091.47,5104.9395
ACT-Female-Remanded,5.199451,4.663676,4.5753427,4.5875916,4.925572,4.2908077,4.1966667,4.2005196
ACT-Female-Sentenced,13.76876,13.612818,13.541684,13.589611,13.780609,13.59425,13.523128,13.569199
ACT-Male-Remanded,87.44764,86.683914,87.08008,87.43464,87.17927,86.35383,86.715805,87.03461
ACT-Male-Sentenced,247.97098,247.77498,247.55968,247.58861,248.28812,248.0339,247.8244,247.87317
