,0,1,2,3,4,5,6,7
Aggregated,35204.46,35544.105,35641.375,35849.15,36098.934,36426.582,36507.996,36707.355
ACT,347.20807,347.3145,347.35587,347.4386,347.49847,347.61078,347.6513,347.73557
NSW,10776.082,10879.697,10797.682,10808.717,10899.721,11003.229,10915.885,10926.677
NT,1604.3625,1612.1245,1621.0604,1641.4022,1678.5779,1686.3446,1695.2812,1715.6237
QLD,7375.116,7427.5674,7450.2783,7484.0396,7573.3633,7625.544,7647.13,7680.171
SA,2725.4658,2749.7246,2772.3755,2795.4194,2821.0032,2845.2769,2867.9175,2890.9639
TAS,436.10806,449.9895,453.96375,456.89355,435.85577,449.741,453.71722,456.648
VIC,6475.278,6567.335,6681.985,6775.603,6760.1855,6852.2646,6966.8945,7060.5176
WA,5464.8438,5510.3594,5516.6665,5539.6406,5582.7275,5616.5728,5613.5225,5629.0176
ACT-Female,16.533077,16.537289,16.581089,16.629799,16.552828,16.559475,16.603348,16.652588
ACT-Male,330.675,330.77722,330.77478,330.80878,330.94562,331.05133,331.04797,331.08298
NSW-Female,737.4735,737.7888,737.6925,737.702,738.3532,738.67084,738.5732,738.58276
NSW-Male,10038.609,10141.908,10059.988,10071.015,10161.367,10264.558,10177.311,10188.094
NT-Female,118.73175,120.616196,122.50134,124.40369,126.25447,128.14146,130.02641,131.92906
NT-Male,1485.6309,1491.5083,1498.5591,1516.9984,1552.3234,1558.2031,1565.2549,1583.6946
QLD-Female,704.6731,707.7673,709.9507,712.3544,716.17993,719.2805,721.459,723.865
QLD-Male,6670.443,6719.8003,6740.327,6771.685,6857.183,6906.2637,6925.671,6956.3057
SA-Female,180.01074,180.168,180.1486,180.18835,180.43933,180.60019,180.57953,180.61975
SA-Male,2545.455,2569.5566,2592.227,2615.2312,2640.564,2664.6765,2687.338,2710.3442
TAS-Female,32.641045,32.62953,32.795265,32.926697,32.724503,32.714775,32.881756,33.013824
TAS-Male,403.467,417.35995,421.1685,423.96686,403.13126,417.0262,420.83545,423.63416
VIC-Female,439.94653,444.33978,452.95905,450.3245,441.1178,445.5165,454.1325,451.49945
VIC-Male,6035.3315,6122.995,6229.026,6325.2783,6319.0674,6406.748,6512.7617,6609.0186
WA-Female,529.9781,530.19214,530.1599,530.1926,530.5326,530.75146,530.71765,530.7497
WA-Male,4934.865,4980.167,4986.507,5009.4478,5052.1953,5085.8213,5082.805,5098.2676
ACT-Female-Remanded,4.6856728,4.676371,4.7138586,4.742294,4.6560764,4.6480126,4.685747,4.7143836
ACT-Female-Sentenced,11.8474045,11.860916,11.867231,11.8875065,11.896751,11.911462,11.917601,11.938204
ACT-Male-Remanded,86.11427,86.09453,86.128784,86.15662,86.0503,86.031975,86.06657,86.09486
ACT-Male-Sentenced,244.5607,244.68271,244.646,244.65219,244.89534,245.01933,244.98141,244.98811
NSW-Female-Remanded,231.76022,231.88107,231.85396,231.86723,232.09662,232.2187,232.1913,232.20483
NSW-Female-Sentenced,505.71332,505.90778,505.8386,505.83478,506.2566,506.45215,506.38187,506.37796
NSW-Male-Remanded,2828.5083,2855.9722,2756.9988,2779.0754,2946.9915,2974.338,2870.048,2891.8787
NSW-Male-Sentenced,7210.1006,7285.936,7302.9897,7291.9395,7214.3755,7290.2197,7307.263,7296.2153
NT-Female-Remanded,42.929783,43.42212,43.89114,44.37449,44.870415,45.363876,45.8326,46.316082
NT-Female-Sentenced,75.80197,77.19408,78.610214,80.02919,81.384056,82.77759,84.19381,85.612976
NT-Male-Remanded,446.83936,442.9176,439.8594,448.25244,474.05045,470.13058,467.07147,475.46484
NT-Male-Sentenced,1038.7915,1048.5907,1058.6997,1068.746,1078.273,1088.0725,1098.1833,1108.2297
QLD-Female-Remanded,170.12257,170.36285,170.29202,170.3002,170.78363,171.02658,170.9541,170.96333
QLD-Female-Sentenced,534.55054,537.4044,539.6587,542.0542,545.3963,548.2539,550.5049,552.9017
QLD-Male-Remanded,1561.8385,1568.4084,1548.3337,1538.5728,1579.37,1585.6532,1564.4718,1553.9839
QLD-Male-Sentenced,5108.6045,5151.3916,5191.993,5233.1123,5277.8135,5320.6104,5361.199,5402.322
SA-Female-Remanded,77.56355,77.639915,77.63724,77.66118,77.76807,77.84629,77.84308,77.86731
SA-Female-Sentenced,102.44719,102.52809,102.51137,102.52718,102.671265,102.7539,102.73646,102.75244
SA-Male-Remanded,852.8773,859.1808,864.6713,870.3485,877.3407,883.65,889.13586,894.8146
SA-Male-Sentenced,1692.5776,1710.376,1727.5557,1744.8827,1763.2231,1781.0265,1798.2019,1815.5297
TAS-Female-Remanded,4.2106104,4.1641927,4.193809,4.205209,4.0731325,4.0275545,4.0577087,4.0694833
