,0,1,2,3,4,5,6,7
Aggregated,35215.902,35551.84,35644.42,35857.64,36124.684,36448.473,36525.355,36730.5
ACT,360.1045,360.28186,360.22485,360.57257,361.64825,361.8164,361.7674,362.10977
NSW,10752.103,10855.424,10771.428,10782.971,10877.498,10980.709,10891.4375,10902.855
NT,1613.2043,1621.1816,1629.8513,1650.0844,1687.6304,1695.598,1704.301,1724.5476
QLD,7382.323,7432.9355,7455.176,7491.1797,7585.5215,7635.825,7656.9214,7692.3
SA,2731.8818,2755.54,2778.045,2802.0498,2829.822,2853.4744,2875.9673,2899.9985
TAS,446.82837,461.04257,464.76382,467.68866,447.30536,461.5079,465.25052,468.16858
VIC,6484.8516,6575.4033,6690.001,6785.5537,6774.117,6864.664,6979.2095,7074.824
WA,5444.612,5490.036,5494.9287,5517.539,5561.145,5594.88,5590.508,5605.699
ACT-Female,20.885273,20.958553,20.902079,21.000355,21.31054,21.378042,21.328003,21.424393
ACT-Male,339.2192,339.3233,339.32275,339.5722,340.3377,340.4384,340.4394,340.68536
NSW-Female,736.64185,737.04065,736.43243,736.45807,737.9863,738.3845,737.78894,737.8295
NSW-Male,10015.461,10118.383,10034.996,10046.512,10139.512,10242.324,10153.648,10165.025
NT-Female,122.90123,124.843506,126.607376,128.54356,130.77328,132.70935,134.4834,136.42395
NT-Male,1490.303,1496.3381,1503.2439,1521.5408,1556.8572,1562.8887,1569.8176,1588.1238
QLD-Female,708.30237,710.9967,713.05725,715.87683,720.5491,723.23535,725.29736,728.1282
QLD-Male,6674.0205,6721.9385,6742.118,6775.3027,6864.9717,6912.59,6931.624,6964.172
SA-Female,186.25684,186.38863,186.30252,186.51648,187.36842,187.49765,187.41516,187.629
SA-Male,2545.625,2569.1514,2591.7424,2615.5332,2642.4536,2665.9768,2688.5522,2712.3694
TAS-Female,37.010498,37.15779,37.17388,37.2487,37.289764,37.43259,37.458763,37.53065
TAS-Male,409.81787,423.88477,427.58994,430.43997,410.01562,424.07532,427.79175,430.63794
VIC-Female,446.4795,450.66373,459.2162,456.886,448.39026,452.57114,461.12463,458.79886
