,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,39889.297,18726.738,19999.105,23583.434,19198.492,18258.982,21962.654,20518.262,21171.436,23302.965,20335.879,20956.09
NSW,14163.309,5851.012,6327.9766,7893.3696,5771.108,5343.5024,6493.988,6018.1973,6077.575,7470.602,6065.5293,6771.658
NT,426.75693,402.63605,396.83688,472.72275,573.85205,620.8613,731.3004,750.6609,636.168,534.90076,523.01575,411.5872
QLD,8614.074,4776.03,4722.5103,5639.739,5374.844,5102.825,6629.221,6465.7944,6686.393,6650.7837,5611.6562,5628.6465
SA,2783.087,1378.5844,1554.6482,1784.2985,1347.5063,1157.0752,1498.9371,1236.5068,1333.2062,1655.4778,1415.8367,1458.1814
TAS,1507.9882,862.5315,974.3533,896.9078,602.11414,661.0803,519.4805,456.1671,546.6547,649.327,661.7186,729.6454
VIC,9059.265,3686.6829,3914.538,4384.759,3613.3774,3399.5505,3832.5095,3514.4473,3657.3672,4018.9136,4173.8667,3834.581
WA,3334.8098,1769.2562,2108.2424,2511.6348,1915.6879,1974.0898,2257.216,2076.483,2234.0745,2322.9646,1884.2572,2121.7886
NSW-Blue Mountains,79.68453,115.814705,107.12631,126.71705,117.09752,112.37092,132.82233,122.33768,113.561104,109.78157,101.9706,108.29043
NSW-Canberra,463.19983,391.56808,475.75238,435.70758,460.07645,376.29327,449.59644,434.83643,439.07602,460.39355,396.6861,428.04755
NSW-Capital Country,175.86101,174.22621,145.1501,193.09296,147.38025,165.06535,180.30278,167.47458,178.25288,199.56822,183.30913,204.19872
NSW-Central Coast,941.18054,295.92163,207.3395,352.7851,183.93369,189.87373,216.60109,210.98007,208.88245,277.8413,240.14467,366.19373
NSW-Central NSW,460.93295,295.4923,381.0862,391.0286,412.98874,359.13974,378.37308,342.9394,384.2559,471.46072,362.09525,349.22305
NSW-Hunter,1291.5734,508.24594,664.8,756.26544,587.67285,458.0844,579.9991,512.9458,560.18695,697.7486,549.1122,649.98596
NSW-New England North West,460.30682,287.3179,289.48166,303.37692,355.212,267.17816,295.12375,305.47534,306.34875,336.08133,270.03235,306.20325
NSW-North Coast NSW,3644.1375,1201.6212,1196.5728,1681.2532,974.8007,989.3081,1212.3192,1095.1298,1206.8287,1634.4901,1245.3539,1313.7202
NSW-Outback NSW,99.8009,130.47961,112.14624,126.67094,134.94789,116.08642,124.04923,131.38567,121.58339,115.88996,118.292404,129.07881
NSW-Riverina,169.72958,139.67003,121.07729,173.06003,149.28775,154.47263,135.17497,142.7558,164.37395,163.18633,137.13832,158.74973
NSW-Snowy Mountains,218.50244,86.18529,109.94529,132.26828,81.818344,86.01815,407.08636,440.81683,279.73065,125.654,65.705956,106.22044
NSW-South Coast,2860.4744,702.9327,855.9486,1187.0701,501.22153,453.22772,497.40714,487.28537,413.71164,790.90265,615.27484,811.0936
NSW-Sydney,2959.3435,1329.4877,1457.8132,1712.3402,1445.441,1440.2574,1710.0433,1438.4039,1360.3231,1904.6737,1529.8353,1465.3118
NSW-The Murray,338.5813,192.04868,203.73738,321.73334,219.22922,176.12625,175.08907,185.43076,340.45972,182.92963,250.5782,375.34073
NT-Alice Springs,64.35308,58.91169,61.771675,89.1632,86.101234,107.76918,135.30838,109.945076,134.74731,112.45036,88.38096,60.338295
NT-Barkly,4.2562337,13.491539,8.699501,15.905786,17.4145,11.128842,15.431533,16.383604,14.190793,9.7223215,15.686541,12.526836
NT-Darwin,204.38184,159.16075,187.44398,210.40889,261.00638,290.96182,362.23984,419.16867,293.60623,238.38,225.74612,187.23233
NT-Katherine Daly,36.38976,51.554836,48.50023,51.70459,77.80226,62.963158,66.00441,76.37712,72.12517,66.50216,54.41933,54.518875
NT-Lasseter,50.54876,30.746288,24.275589,27.792755,46.345478,51.422344,77.33451,39.459763,50.070595,38.44941,47.83085,23.260551
NT-Litchfield Kakadu Arnhem,52.59447,69.10703,51.721645,60.469177,63.128166,80.96816,56.871773,69.68158,53.93619,53.289898,74.63142,54.748684
NT-MacDonnell,14.232754,19.663954,14.424257,17.278357,22.05405,15.647817,18.109962,19.645008,17.491695,16.106653,16.320501,18.961607
QLD-Brisbane,2030.5875,1029.6826,1143.5168,1229.6102,1114.8026,1012.08185,1482.1757,1143.7662,1303.511,1432.8662,1182.1759,1376.5258
QLD-Bundaberg,163.52351,137.87296,109.33384,178.01913,148.2156,142.53561,173.13055,172.16943,165.37976,155.19824,162.41475,165.68831
QLD-Capricorn,212.09164,203.96974,144.87024,221.29025,224.77957,219.36641,257.6497,266.97226,318.8295,219.89839,205.79121,199.67107
QLD-Fraser Coast,411.221,164.76616,116.04448,156.17786,206.70258,182.6109,209.0868,217.88396,258.26843,263.50528,158.40254,184.98367
QLD-Gladstone,64.805725,89.22174,71.82412,86.86734,100.14997,76.66186,86.48325,95.379364,83.56475,76.173676,78.62269,91.37251
QLD-Gold Coast,2041.5198,927.6291,964.6539,1130.3735,1031.5217,968.0725,1165.6067,1216.8724,1244.0103,1389.2568,1224.7012,1046.7716
QLD-Mackay,165.75127,202.27455,179.53777,195.96147,210.14925,185.66753,196.02745,204.92891,192.88501,185.6874,188.01399,200.81267
QLD-Outback Queensland,192.77519,249.93947,227.69774,244.1688,257.93317,233.38614,243.92216,252.99573,240.63785,233.48349,235.75407,248.9603
QLD-Southern Queensland Country,291.7507,327.19363,304.972,321.32236,334.99994,310.94678,321.21356,330.05237,318.03485,310.89246,313.20248,325.92508
QLD-Sunshine Coast,2028.8405,749.4624,661.20636,936.9411,678.22894,671.68896,941.60443,1005.7326,1095.3391,1072.4166,821.08484,948.3344
QLD-Townsville,219.13461,206.57927,183.90536,253.45464,271.49063,266.634,395.22937,308.76135,362.82962,268.603,240.85884,264.47415
QLD-Tropical North Queensland,631.2973,292.02777,441.2377,495.72592,592.678,653.7908,967.36285,1051.761,916.5672,863.4037,618.9968,380.79013
QLD-Whitsundays,160.7754,195.41011,173.71008,189.82611,203.19305,179.38184,189.72919,198.51892,186.53528,179.39847,181.63678,194.33711
SA-Adelaide,1142.4623,558.61804,652.6387,712.6826,561.17737,481.21658,675.93365,520.43835,598.36115,605.00684,587.0621,637.7501
SA-Adelaide Hills,16.435644,22.271004,18.503864,21.506878,22.878078,19.495762,20.819431,22.065119,20.332357,19.46064,19.921932,21.709919
SA-Barossa,35.6314,40.840923,36.487785,39.855103,40.824646,37.036404,38.37092,39.813927,37.74432,36.6675,37.13056,39.311676
SA-Clare Valley,23.676903,29.421865,25.324024,28.842442,30.3412,26.637867,28.207056,29.748512,27.659199,26.37814,26.867132,29.032177
