,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,42873.348,18388.752,21045.547,24414.05,19180.033,18735.375,22708.195,20799.676,21957.127,24690.01,21004.207,21211.223
NSW,14925.461,5737.1646,6586.311,8070.429,5735.049,5461.832,6664.866,6060.779,6259.635,7812.45,6225.5967,6808.938
NT,539.65594,378.45868,431.00183,509.43442,558.6908,629.9508,754.62213,758.40753,659.1783,583.242,541.7174,416.8534
QLD,9627.408,4698.026,5098.303,5967.891,5397.9985,5289.0625,6913.197,6597.1904,6983.9976,7142.453,5863.6304,5753.4917
SA,2956.828,1357.5739,1611.2395,1828.3982,1351.1378,1180.1633,1543.6384,1256.3782,1378.5964,1734.5522,1451.5365,1473.5585
TAS,1609.0812,861.52875,1014.89325,925.0685,611.47656,685.0084,550.3772,472.39163,579.3878,698.48065,689.84644,745.028
VIC,9493.43,3637.0715,4058.0693,4481.616,3614.8154,3457.963,3927.4175,3542.3206,3759.3914,4210.5356,4261.614,3860.5427
WA,3721.4998,1718.9259,2245.7268,2631.2156,1910.8672,2031.3931,2354.0798,2112.2114,2336.938,2508.3047,1970.2651,2152.8098
NSW-Blue Mountains,133.25034,107.10461,124.719574,138.48163,113.82741,120.187515,144.26929,124.557594,125.7681,133.40016,112.66443,110.24053
NSW-Canberra,518.3982,383.12662,494.131,448.82602,457.51227,384.39108,461.5654,437.6686,452.0409,484.64914,407.76868,430.5865
NSW-Capital Country,230.5665,165.9929,163.59967,206.31691,145.17725,173.33806,193.08023,171.16884,191.66612,224.29176,194.70584,207.21869
NSW-Central Coast,997.10626,288.68314,226.82758,366.63312,182.52176,199.4329,230.24318,215.3601,223.27917,303.73,252.66035,369.91995
NSW-Central NSW,513.76843,286.98532,399.75455,403.53268,409.97043,367.53915,390.2588,345.58426,397.27484,495.68314,373.49518,351.62418
NSW-Hunter,1344.9059,499.41196,682.25665,767.62103,584.1724,465.44852,590.87415,514.79706,571.66534,720.8829,559.4766,651.69556
