,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,41860.797,16495.965,18874.418,23426.846,17393.617,17352.467,21785.387,19593.354,21360.549,23969.129,18908.412,19154.158
NSW,14212.824,5329.2686,6096.0645,8018.6562,5452.1025,5161.88,6473.265,5518.583,6076.996,7666.2666,5830.721,6550.4795
NT,329.57117,227.96024,206.97716,363.45294,493.57056,548.2742,809.60706,833.3081,603.26227,650.8459,434.7966,250.64247
QLD,9551.336,4036.106,4297.784,5556.8823,4558.792,4919.4966,6688.861,6626.0337,7413.5605,6863.972,5177.8022,4934.922
SA,3142.4463,1224.7855,1387.0015,1774.695,1309.3674,1189.5148,1502.6376,1181.4163,1344.0348,1744.0443,1377.946,1302.7876
TAS,1653.2468,801.93207,926.3637,901.6135,548.8098,519.8053,600.9012,386.18152,459.40082,614.4124,610.51855,623.7574
VIC,9775.743,3442.7432,4259.625,4615.9644,3551.2422,3304.5684,3719.2593,3303.3179,3452.1216,4020.0295,3856.6104,3830.0298
WA,3195.634,1433.1743,1700.6011,2195.5823,1479.7334,1708.9255,1990.8573,1744.5146,2011.1692,2409.555,1620.0164,1661.5426
NSW-Blue Mountains,165.11897,71.63055,87.32,138.31673,92.81726,120.89323,137.09235,93.81859,97.71746,141.61157,88.696976,71.88724
NSW-Canberra,589.25085,330.21783,403.89972,462.1423,400.4893,340.35986,474.05,325.72388,385.065,503.37192,360.22913,407.97855
NSW-Capital Country,213.58344,108.7016,158.75229,268.6814,177.00162,133.9392,142.76704,129.43974,161.18855,214.51437,211.62614,152.2929
NSW-Central Coast,850.03296,297.13834,201.29492,387.11288,180.76166,214.62749,235.97687,200.47467,192.66301,285.27612,235.20291,350.8746
NSW-Central NSW,578.46576,225.64125,348.39856,428.79138,321.08078,313.61237,398.9961,298.74133,372.03555,523.4946,402.45306,334.57245
NSW-Hunter,1283.6638,513.5317,598.54425,835.50476,539.35535,482.4599,577.44586,511.94962,549.664,675.995,552.0029,622.489
NSW-New England North West,563.75104,246.73088,362.34143,340.6897,276.9918,296.56473,315.66733,319.89673,297.90054,386.3773,251.39513,231.37071
NSW-North Coast NSW,3450.8047,1165.6129,1208.1499,1599.9592,950.21655,955.1398,1201.9038,1041.3168,1176.2075,1592.688,1159.2421,1243.4944
NSW-Outback NSW,82.07166,48.55476,38.457626,121.64506,112.684616,83.88646,136.9175,96.35622,144.55014,137.3201,56.084682,231.8585
NSW-Riverina,229.32968,74.59395,150.27042,257.52353,151.53055,138.40742,135.78621,116.85599,145.27443,209.55832,120.29847,157.92285
NSW-Snowy Mountains,246.35912,67.86242,91.17195,112.37902,63.10732,85.870834,403.14133,437.07593,288.42862,148.72464,70.62574,94.99515
NSW-South Coast,2935.7686,731.3783,797.43695,1102.4149,554.0783,419.55408,542.2969,396.7132,438.3143,792.3665,536.3232,752.43567
NSW-Sydney,2525.7996,1295.5764,1435.3484,1664.5592,1431.823,1381.685,1607.5457,1382.4744,1570.892,1842.1844,1539.6335,1620.4128
NSW-The Murray,498.82407,152.0979,214.67781,298.93634,200.16418,194.87946,163.6781,167.74611,257.09457,212.78343,246.90714,277.89453
NT-Alice Springs,70.27797,97.82882,34.616196,74.034805,71.50428,81.55642,133.62617,129.86223,126.06825,162.33589,141.11429,36.209656
NT-Barkly,17.87043,5.0168147,2.5575416,9.089442,9.520809,8.729071,11.358966,13.1479,12.978773,13.144145,9.549278,7.1198416
NT-Darwin,131.26921,99.87758,146.21016,159.32541,242.28902,259.01825,399.8558,423.27142,296.53207,299.84537,158.13496,176.31569
NT-Katherine Daly,45.376923,7.584694,4.4220533,22.87144,43.020985,59.78426,58.8353,51.782585,45.688747,37.332787,27.236465,3.867965
NT-Lasseter,27.971193,1.5690752,1.9888138,31.226408,44.3632,54.14581,79.76093,44.972984,44.77428,58.299606,20.317926,5.2693243
NT-Litchfield Kakadu Arnhem,17.433704,7.479213,10.9843,54.253452,69.18907,72.2772,110.602684,152.92596,60.035393,62.792446,64.895935,10.967811
NT-MacDonnell,19.371744,8.604054,6.198086,12.652004,13.68322,12.763148,15.567187,17.345047,17.184782,17.095617,13.547773,10.892191
QLD-Brisbane,2310.163,1040.2034,1150.0288,1361.8761,1204.1171,1128.4263,1404.0759,1205.1936,1475.0143,1429.3956,1265.8774,1203.3708
QLD-Bundaberg,270.2133,72.349686,84.343346,150.64468,139.88406,98.16952,153.10265,187.01933,204.0104,142.4156,136.42493,129.606
QLD-Capricorn,265.9307,100.32028,111.68636,252.1234,161.17671,262.8602,340.63406,316.67105,354.67105,293.62473,166.78857,164.1509
QLD-Fraser Coast,405.0752,67.691154,100.96264,170.16803,113.70423,168.58965,221.01411,282.5799,266.53317,265.8592,193.38716,164.74678
QLD-Gladstone,109.55274,75.81952,76.7469,87.16618,83.2337,80.82712,84.56872,87.15718,88.44167,91.27041,83.19956,78.53924
QLD-Gold Coast,1983.6305,803.07495,849.47375,1009.45215,761.0836,805.40515,970.8591,1047.5994,1278.1843,1166.919,1056.6857,776.6861
QLD-Mackay,236.36797,74.24146,150.14809,158.72876,165.25177,197.65561,429.83298,294.38205,224.57988,242.78502,108.9731,140.69336
QLD-Outback Queensland,244.2593,321.27423,118.69933,228.40437,203.99153,230.33484,318.2395,297.5405,364.33066,247.50865,133.07182,159.93814
QLD-Southern Queensland Country,442.31714,210.85846,310.203,314.1845,260.59207,277.16708,354.5622,346.64697,335.22516,321.93164,288.6312,371.031
QLD-Sunshine Coast,2152.623,734.4403,730.7691,902.60504,642.75507,678.9633,951.8826,953.58453,1130.9939,1133.1051,804.2816,877.22485
QLD-Townsville,313.7046,120.10001,142.37001,287.06683,219.26831,232.79346,414.97437,427.19226,387.03464,324.5061,198.23468,197.60452
QLD-Tropical North Queensland,622.58594,324.05008,331.41803,476.40408,508.561,651.98236,870.0322,989.55115,1064.7524,956.5933,612.2324,408.3259
QLD-Whitsundays,194.91258,91.682465,140.93456,158.05783,95.17335,106.322105,175.08267,190.91545,239.78922,248.05745,130.01424,263.00433
SA-Adelaide,1175.2098,582.321,653.67487,708.6615,578.36163,515.505,698.098,550.6403,618.346,639.75354,607.1416,672.6432
SA-Adelaide Hills,25.21083,11.286889,10.8144455,16.071968,15.784026,14.406208,16.386658,18.490974,18.644327,19.306345,15.421754,12.941339
SA-Barossa,58.90791,12.698355,21.3748,39.250595,30.166782,29.244843,42.0471,28.542963,25.04595,46.954666,44.12822,32.238647
