,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,42009.188,16535.934,18818.066,23377.09,17447.979,17451.217,21720.158,19623.348,21318.434,23916.99,18917.611,19084.1
NSW,14228.729,5345.411,6104.196,8016.8267,5471.821,5191.337,6457.2505,5505.7065,6065.468,7651.306,5836.7617,6533.6587
NT,327.30002,219.4438,213.4599,363.03824,493.2511,548.06573,799.4729,830.88727,596.05927,644.9616,433.92303,266.2629
QLD,9620.717,4057.3467,4245.5635,5520.1904,4554.092,4935.098,6691.958,6664.9146,7417.2554,6864.87,5171.897,4905.48
SA,3146.8662,1227.7465,1397.7375,1782.5476,1317.8617,1201.3783,1493.6188,1184.5797,1339.6616,1737.3898,1379.8005,1306.8545
TAS,1658.4159,807.76416,916.5705,895.53204,554.40186,527.8415,594.5404,390.01346,454.7807,610.4815,612.17896,618.0474
VIC,9797.346,3451.9358,4243.3354,4607.303,3569.5505,3332.6362,3699.1091,3305.1091,3435.8176,4002.3818,3863.7595,3810.905
WA,3229.816,1426.2836,1697.2013,2191.656,1487.0039,1714.8641,1984.2098,1742.1372,2009.3867,2405.601,1619.2915,1642.8909
NSW-Blue Mountains,163.38934,73.26054,87.26846,137.42825,93.66023,122.79136,135.64896,92.95005,96.92858,140.55063,89.35402,71.17775
NSW-Canberra,591.53876,330.82965,404.70792,462.8294,402.18283,342.0923,473.15833,323.71588,385.14078,502.64548,360.42932,406.5496
NSW-Capital Country,214.1073,110.515045,160.90607,270.1542,178.18224,135.98651,141.68782,128.35553,160.63934,212.80014,212.2633,151.35918
NSW-Central Coast,855.0634,298.39603,202.26422,387.4037,182.4216,216.38992,234.04477,198.60228,190.8546,282.67847,235.35974,349.43777
NSW-Central NSW,580.5559,227.69276,349.24753,428.4287,322.8469,316.01013,399.27933,298.07306,371.81882,524.51245,403.5732,334.21347
NSW-Hunter,1285.5405,515.17847,597.83606,834.7178,540.527,484.68243,575.8996,512.04614,549.41327,675.41345,552.4496,620.90265
NSW-New England North West,565.79767,247.4081,362.90912,340.4289,278.2206,299.19812,313.2451,318.91302,296.73117,383.6412,251.13568,228.83304
NSW-North Coast NSW,3449.809,1167.5411,1208.8851,1598.6343,951.16223,956.43634,1202.0529,1040.9022,1175.1141,1592.256,1159.685,1242.9275
NSW-Outback NSW,82.20278,49.109497,40.689514,124.78521,114.64562,85.893234,136.06299,94.56598,144.14725,137.31725,56.012077,229.7933
NSW-Riverina,229.56212,75.555305,148.55365,255.87436,152.05801,140.59714,134.60034,117.48578,144.64001,208.38931,121.5695,157.47449
NSW-Snowy Mountains,245.23912,69.162796,92.09763,112.784584,64.87818,88.84949,402.2249,437.53146,286.92325,148.14319,71.57228,94.4171
NSW-South Coast,2936.404,732.3795,797.8328,1102.847,555.56573,421.94067,540.5263,395.64584,436.26562,790.3805,536.9831,751.3094
NSW-Sydney,2528.2854,1296.8424,1434.5477,1661.2875,1433.6038,1384.0245,1606.6394,1381.076,1570.5454,1841.5752,1539.7618,1619.7296
NSW-The Murray,501.23303,151.54001,216.44986,299.22217,201.86565,196.44458,162.17998,165.8434,256.3059,211.00339,246.61282,275.53397
NT-Alice Springs,69.43042,97.127045,35.878796,74.215576,70.21865,80.2272,132.38924,129.16223,125.12771,161.86493,140.08124,37.893375
NT-Barkly,21.842688,3.7746515,1.7450523,7.720802,10.230211,9.528335,10.653386,12.932913,12.471637,13.067055,10.382723,8.229013
NT-Darwin,132.436,98.86283,148.65399,160.60205,241.91014,258.48676,397.6331,422.15915,294.5966,297.82742,157.52289,179.05377
NT-Katherine Daly,44.12435,6.0142927,3.809163,21.354834,43.684574,60.172607,57.497353,51.97391,45.206318,36.216988,27.787132,5.748214
NT-Lasseter,24.490314,0.8866844,4.0257626,31.470041,44.352768,54.37927,77.600746,45.434536,43.49161,56.794167,20.331772,8.216735
NT-Litchfield Kakadu Arnhem,16.046535,5.0594063,11.219983,55.55192,69.432304,72.6107,109.20433,152.12825,59.242054,62.604485,64.63533,13.331341
NT-MacDonnell,18.929676,7.718891,8.127169,12.123043,13.422438,12.66082,14.494701,17.096317,15.923311,16.58657,13.181942,13.790458
QLD-Brisbane,2313.6545,1041.8887,1144.8173,1358.6742,1204.2496,1130.4489,1404.304,1209.0037,1474.9188,1428.7192,1265.389,1200.4484
QLD-Bundaberg,278.31512,73.83315,79.45332,147.02586,138.96826,98.87255,153.72719,189.332,204.59329,143.02292,136.4401,128.10316
QLD-Capricorn,276.76202,101.57782,107.83507,248.7386,160.63312,263.7486,340.0732,319.64523,355.8338,294.01578,166.47328,162.83607
QLD-Fraser Coast,410.51947,70.71219,98.106606,168.49516,113.371056,169.85295,220.01196,285.007,266.65903,264.9965,193.25082,163.3489
QLD-Gladstone,111.55286,77.94478,72.888535,85.737114,83.61339,82.74898,84.61698,90.18323,88.49052,90.85655,82.29642,75.167564
QLD-Gold Coast,1990.5867,804.0352,845.8995,1006.95,762.45044,808.03516,971.40027,1049.83,1278.6058,1167.1144,1055.8788,773.6503
QLD-Mackay,237.86552,75.86582,146.64597,155.10878,164.85365,198.53749,430.6646,297.56125,225.1045,243.11197,108.743126,137.79999
QLD-Outback Queensland,247.88362,323.54312,114.21657,224.0642,202.85663,230.9403,318.03485,300.84717,363.77457,246.94092,132.92311,158.67502
QLD-Southern Queensland Country,446.7072,212.8955,305.6404,310.8458,259.58957,277.8374,355.53864,349.5248,335.94705,322.9457,288.12064,369.50977
QLD-Sunshine Coast,2163.6892,736.0982,726.76886,900.41675,643.16,680.94867,952.86224,955.63574,1131.5667,1134.3362,803.08453,873.85736
QLD-Townsville,319.6864,121.223465,139.58125,285.74957,218.85188,234.12155,415.82468,430.84332,387.2037,324.6719,197.55647,194.90102
QLD-Tropical North Queensland,624.1934,324.11218,326.78406,472.13953,507.3447,652.01263,869.89276,993.10864,1064.9011,955.8011,612.47577,407.2885
QLD-Whitsundays,199.30118,93.6168,136.92627,156.2445,94.14943,106.99278,175.00671,194.39203,239.65675,248.33731,129.26474,259.89355
SA-Adelaide,1170.9065,581.38135,655.65924,709.9887,578.50806,516.2565,697.27106,551.10114,618.0517,639.42847,606.8692,674.51495
SA-Adelaide Hills,28.043453,10.884051,11.921374,17.680773,16.358032,15.024786,16.12528,19.327442,18.996887,19.282974,15.018059,14.001724
SA-Barossa,64.06328,11.021446,21.910744,39.40411,30.691494,29.761295,42.958324,28.983929,25.813833,46.493717,43.909977,32.713123
SA-Clare Valley,63.354057,11.002459,15.748214,24.224653,31.82321,21.526878,22.92245,19.62441,22.764053,28.916733,19.286497,15.326018
SA-Eyre Peninsula,211.174,98.76306,154.31125,148.42056,135.68683,95.15525,77.995094,87.59551,104.70792,156.14186,108.681046,85.79352
SA-Fleurieu Peninsula,403.95483,125.2608,110.11406,159.22435,85.612495,86.95836,115.33179,58.77295,71.89908,118.60225,105.93239,118.52173
SA-Flinders Ranges and Outback,133.44833,112.673225,69.51596,161.86235,129.34856,142.66255,214.64258,195.55832,226.79417,271.79044,176.92477,78.84662
SA-Kangaroo Island,120.04045,39.806732,40.920532,50.313538,33.889187,20.653688,32.772633,33.80721,24.917068,43.03597,22.726961,26.449947
SA-Limestone Coast,302.4299,107.23732,110.54365,145.08488,86.73192,96.08109,81.56462,54.449017,65.54689,120.18746,87.65893,84.89681
"SA-Murray River, Lakes and Coorong",116.27228,16.46769,44.403893,51.378147,34.35956,28.369316,32.12327,19.160181,43.842926,69.34891,42.393036,34.92984
SA-Riverland,185.33633,28.509285,49.083427,115.696304,56.74946,66.12662,65.22174,48.080273,57.161144,84.08713,53.405552,45.74807
SA-Yorke Peninsula,347.8428,84.73908,113.605125,159.26912,98.10286,82.80215,94.69003,68.11928,59.16604,140.0738,96.99413,95.11212
TAS-East Coast,237.39128,87.28941,85.46086,151.88792,35.889633,47.764893,19.746197,35.259773,36.448864,44.563164,48.546677,60.374813
TAS-Hobart and the South,796.6015,355.74393,403.64407,401.41504,280.77383,262.3394,345.04193,174.6283,230.1099,291.0078,272.26352,286.52634
TAS-Launceston and the North,340.52167,196.84724,248.9661,173.10269,130.1874,130.07277,133.8759,125.721924,83.71669,156.08838,144.4859,130.87561
TAS-North West,213.87479,136.72136,132.00452,134.73703,79.24986,73.1779,89.22293,44.37143,88.44713,88.6246,119.8849,123.875626
TAS-West Coast,70.02671,31.16221,46.49492,34.38936,28.301163,14.486485,6.653419,10.03204,16.058104,30.19756,26.998001,16.395023
VIC-Ballarat,140.28355,42.860096,80.694565,91.07739,64.424934,61.086212,65.87002,49.81712,80.93609,78.34846,68.464226,64.40605
VIC-Bendigo Loddon,284.52615,144.85555,138.00555,159.32518,96.33618,170.66318,124.8124,105.6878,98.58214,144.55043,127.430534,111.14802
VIC-Central Highlands,100.37023,18.743729,256.51654,80.736496,31.838076,29.788263,38.108788,39.079727,35.978973,51.313923,55.01514,39.32669
VIC-Central Murray,432.08176,154.18904,189.6084,225.28891,145.38278,152.69199,143.00157,112.714905,156.94589,143.66122,133.6128,146.03249
VIC-Geelong and the Bellarine,637.7761,191.56445,182.97913,202.78566,135.06342,121.636955,152.60715,100.36862,149.78828,161.23415,207.45656,159.4655
VIC-Gippsland,522.16846,179.69345,208.811,278.0888,223.95058,161.02141,155.06136,141.87701,193.2526,243.90671,203.1896,212.27713
VIC-Goulburn,151.43268,36.055954,103.648056,104.032265,72.10604,78.401985,77.91238,57.106373,66.405136,75.28001,81.91064,95.32211
VIC-Great Ocean Road,1339.2294,335.32816,431.01382,440.52975,277.33804,224.32053,245.18582,179.82307,254.76624,322.95496,288.732,324.125
VIC-High Country,516.0758,124.28181,216.59247,310.04703,276.89774,204.11894,347.63107,377.36453,318.06223,197.37238,224.83151,186.06415
VIC-Lakes,460.76846,152.72357,168.88393,201.52904,129.45103,98.568405,99.82599,100.55544,137.37982,131.22687,164.70529,83.54626
VIC-Macedon,92.43019,23.959229,22.22953,22.91468,34.947212,24.257055,23.047638,22.73726,26.701107,28.013342,26.497484,29.81359
VIC-Mallee,254.58032,84.65911,134.95387,197.32718,148.7143,144.57248,152.10732,158.82864,163.81783,207.16714,149.46109,153.11345
VIC-Melbourne,2488.343,1315.5034,1454.1527,1495.856,1449.9613,1381.9554,1622.9628,1444.6423,1333.9675,1643.9147,1555.7686,1595.2108
VIC-Melbourne East,94.04135,74.01337,70.651184,80.958336,79.21368,78.44599,79.33409,81.73387,80.76724,82.398964,78.88867,75.04193
VIC-Murray East,36.131016,18.448446,13.723828,21.423399,22.652365,21.798061,21.889511,25.980192,24.643927,25.498064,21.610302,17.208971
VIC-Peninsula,1233.788,304.1211,268.67404,289.8241,185.40826,162.24103,128.0547,129.69902,122.35558,168.4971,195.4688,267.72342
VIC-Phillip Island,708.44073,175.60452,163.69548,178.6529,64.6539,93.85539,79.60417,69.55603,99.766335,159.30557,149.13141,136.0101
VIC-Spa Country,77.52438,25.935991,39.598244,51.85975,36.775234,43.995567,53.154827,35.533485,27.09321,38.20823,28.361794,34.234325
VIC-Upper Yarra,116.71111,16.932526,44.241703,61.425293,27.090786,23.88763,21.695011,13.016357,18.487837,28.055923,35.13283,17.650982
VIC-Western Grampians,74.56296,19.38025,42.011684,94.94117,47.107986,36.254337,47.243633,36.09467,23.657274,47.490547,49.299763,48.58903
VIC-Wimmera,36.08248,13.081714,12.649293,18.679749,20.236967,19.075142,19.999065,22.89272,22.462082,23.983131,18.790516,14.594855
WA-Australia's Coral Coast,254.54279,122.694725,53.23602,240.44899,141.66324,207.45515,296.86536,324.1092,426.03687,380.8903,156.5127,124.62009
