,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,42294.38,16641.912,18591.318,22743.15,17733.947,17658.357,22110.602,20046.092,20982.924,23163.533,19684.303,18938.7
NSW,14737.318,5299.634,5949.9453,7687.0977,5358.151,5128.967,6484.704,5530.1924,6262.2095,7425.4185,6025.2754,6262.5195
NT,398.10947,230.47658,292.21973,436.6943,521.52606,629.0575,691.46313,858.1626,711.15857,563.157,416.3957,362.63992
QLD,9445.316,4157.032,4535.9766,5387.151,4785.511,5120.0327,6821.5166,6578.2314,6695.623,6737.9,5555.387,4819.7085
SA,2946.824,1240.3595,1290.8452,1744.6953,1227.3489,1137.1375,1453.3865,1172.1353,1272.4749,1731.5896,1315.269,1329.2256
TAS,1747.7197,748.5041,834.12244,923.44904,568.5409,536.25793,524.4928,396.29462,493.08835,514.9715,663.8235,610.6689
VIC,9800.692,3504.1604,3975.8264,4429.405,3636.7837,3288.4238,3831.5183,3334.8247,3448.3213,3900.3743,4059.512,3828.495
WA,3218.4014,1461.7439,1712.379,2134.655,1636.082,1818.4812,2303.5222,2176.2524,2100.0486,2290.1245,1648.6409,1725.4418
NSW-Blue Mountains,142.87167,69.26131,87.57896,131.8563,85.790634,94.48036,119.15217,92.28777,121.84592,138.19646,94.10363,81.14178
NSW-Canberra,494.87973,398.9754,491.2812,459.5869,433.45145,389.40543,457.4482,379.06958,430.47192,502.54413,362.94528,384.5432
NSW-Capital Country,222.88649,129.69505,141.3583,192.41774,141.28351,140.32541,151.21231,143.75792,183.51334,212.04497,181.58592,171.74893
NSW-Central Coast,913.7977,264.24908,194.4725,297.9181,148.73836,151.48257,248.5853,180.65106,213.04675,252.48085,283.52237,320.3918
NSW-Central NSW,584.0068,199.93697,332.97733,440.977,294.9861,336.9736,374.06396,279.60568,379.04614,444.06958,288.36264,345.54694
NSW-Hunter,1330.3138,488.59283,615.19617,741.8217,535.34,468.69296,574.79254,516.0036,553.3236,676.1727,542.49756,625.43744
NSW-New England North West,543.29694,205.10258,247.46089,377.82275,308.145,279.58398,302.8818,294.15494,312.3146,322.5265,323.8641,261.55994
NSW-North Coast NSW,3674.0552,1090.1108,1152.6521,1582.904,956.68665,899.65454,1228.8408,1060.822,1191.1937,1600.096,1271.0839,1261.2229
NSW-Outback NSW,142.23622,98.11665,103.77581,117.79882,108.558044,105.451294,117.80767,110.98671,116.01833,119.31769,112.319954,106.53581
NSW-Riverina,184.40656,127.58006,126.46298,179.7951,132.50906,158.88603,163.23581,155.56354,187.61559,190.85971,156.74503,142.907
NSW-Snowy Mountains,296.9193,53.379177,85.65603,130.94243,50.042767,86.50601,406.94974,420.1005,278.24463,126.084854,72.69174,92.67532
NSW-South Coast,2976.8362,723.7794,790.7235,1100.3501,514.54706,420.24554,536.33026,410.96225,445.936,815.4289,540.9713,764.158
NSW-Sydney,2890.0454,1302.3281,1418.8313,1647.5846,1416.6974,1410.6478,1551.8822,1317.7009,1441.2883,1820.1337,1522.9982,1481.8531
NSW-The Murray,340.7676,148.52632,161.51831,285.32227,231.37444,186.6309,251.52113,168.52582,408.35098,205.46233,271.58417,222.79736
NT-Alice Springs,57.266758,39.427887,50.836197,75.63747,73.42486,98.603935,121.067665,121.24833,122.18488,114.359886,75.193245,48.65338
