,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,39790.83,16434.701,18621.951,23416.033,18619.598,17592.61,23352.238,20706.236,20430.646,23038.535,20027.08,19720.904
NSW,14494.711,5376.4414,6100.8667,7823.894,5538.6597,5255.147,7030.9097,5946.23,6008.579,7071.1084,6130.2305,6653.2603
NT,461.81622,288.20172,385.05118,474.22565,504.94354,524.7611,767.0319,816.5468,556.895,517.69324,369.03406,390.49997
QLD,7971.637,4319.5176,4224.2227,5775.673,5065.5264,5086.4854,6991.845,6593.5303,6606.1924,6967.7354,5583.243,5039.949
SA,3031.7,1092.001,1415.7975,1716.4756,1421.0732,1101.0807,1623.6411,1303.0994,1195.9314,1564.4015,1336.737,1280.378
TAS,1532.5071,679.36615,816.15735,809.7486,611.4885,481.72678,559.1862,458.91855,486.18994,548.42773,670.6469,538.19617
VIC,9164.313,3152.8975,3943.1128,4672.008,3793.4316,3268.2761,4131.327,3484.7275,3487.3608,3678.8557,4130.1416,3996.3782
WA,3134.1392,1526.2759,1736.7412,2144.012,1684.4795,1875.1349,2248.2954,2103.1846,2089.4998,2690.3154,1807.044,1822.241
NSW-Blue Mountains,182.77148,98.77062,104.895775,177.20526,145.40935,111.45475,153.21872,101.09906,96.633705,130.73128,106.177536,91.740906
NSW-Canberra,503.3951,426.08038,458.29483,484.49976,443.40744,418.98465,470.64676,464.73325,410.54987,485.66055,404.6565,391.3433
NSW-Capital Country,204.61876,144.80775,154.77328,228.99301,154.46828,175.94926,175.20042,159.11293,160.20975,186.97986,188.00749,190.38411
NSW-Central Coast,900.44086,253.59344,213.65622,316.18085,179.698,161.16278,252.68332,193.11008,189.35236,254.26546,237.93811,361.39505
NSW-Central NSW,695.70874,162.45416,279.76126,526.3345,297.4898,304.6469,409.85107,270.6146,359.562,482.24948,336.78146,434.66425
NSW-Hunter,1201.5978,486.76108,661.65186,678.88007,525.6763,508.11755,559.4282,543.5783,586.68604,532.51526,569.9215,724.3944
NSW-New England North West,378.92123,199.19936,245.33957,401.04153,304.9405,301.59268,318.52164,321.58417,265.30603,277.92404,323.747,242.90532
NSW-North Coast NSW,3573.5085,1095.4948,1173.5887,1635.9469,1071.4187,864.0071,1265.8019,1042.4901,1188.9384,1544.1912,1279.3574,1302.1616
NSW-Outback NSW,122.79417,99.89881,108.86957,118.246925,115.88695,101.118546,122.479866,113.12184,103.77248,104.72256,108.953995,109.32518
NSW-Riverina,202.3458,129.0017,149.03786,169.94467,156.84093,143.51181,194.47711,187.49135,164.15788,161.65341,150.73076,171.5085
NSW-Snowy Mountains,292.02066,85.45776,115.67869,155.14902,77.676285,102.792534,621.9532,423.21094,241.26437,126.43702,98.54386,131.13754
NSW-South Coast,3068.5293,665.46893,789.2267,1083.1903,488.3369,418.29684,540.1069,463.49655,515.8853,750.7998,570.45636,805.884
NSW-Sydney,2857.7239,1367.4524,1453.6876,1598.5537,1367.3195,1437.4421,1682.5806,1408.2379,1481.8805,1811.6831,1536.1188,1511.618
NSW-The Murray,310.33496,161.99988,192.40459,249.72685,210.09096,206.06969,263.9599,254.34882,244.38026,221.29552,218.83951,184.79837
NT-Alice Springs,68.41901,48.00732,60.17902,71.516205,74.44075,83.24428,128.3404,93.557274,81.489456,88.79502,65.0984,56.30332
NT-Barkly,15.871449,-0.7860775,7.6664896,15.393239,14.589995,2.8060694,40.74623,28.489573,5.8428974,11.537079,8.342592,6.4129915
NT-Darwin,222.39409,132.64343,208.19987,224.16135,241.19495,318.8506,303.2628,455.54868,299.16846,227.42068,167.08827,223.07047
NT-Katherine Daly,43.907692,22.44439,31.9757,54.71212,64.25707,50.047974,132.15776,115.229614,76.74582,77.76013,44.628098,29.325592
NT-Lasseter,47.971333,49.82755,26.64926,43.395405,40.035988,24.490875,65.36432,41.884167,29.87524,55.35598,26.617168,24.308884
NT-Litchfield Kakadu Arnhem,43.88895,33.123375,41.228096,48.427177,54.110825,42.058662,72.88096,65.99541,56.91906,47.446274,45.840683,42.189903
NT-MacDonnell,19.363695,2.941699,9.152731,16.620125,16.313965,3.262663,24.279396,15.842093,6.8541203,9.378077,11.41888,8.888781
QLD-Brisbane,1955.3352,996.49744,834.748,1675.9823,1254.3191,1202.4054,1676.3737,1414.8206,1338.8602,1414.1761,1110.4841,1144.0504
QLD-Bundaberg,172.95937,86.03371,123.67313,140.19336,138.9428,123.169,202.1499,173.96198,145.52731,138.81241,154.67055,143.34232
QLD-Capricorn,235.63182,185.33832,191.73195,290.31277,196.3739,210.44844,243.34177,373.0794,305.86594,358.79446,190.83514,179.75963
QLD-Fraser Coast,148.16406,172.32393,166.79164,166.485,148.46892,157.49399,272.86697,242.4926,208.5657,222.09018,163.23543,201.53647
QLD-Gladstone,103.71891,77.92459,86.92057,98.692154,96.609,80.88592,111.76798,97.817276,86.10341,87.386406,90.81466,88.622116
QLD-Gold Coast,1793.8668,804.88367,870.8386,1057.2976,818.06635,805.3849,1019.76886,1014.10364,1142.9111,1341.0858,1292.3368,933.1459
QLD-Mackay,202.27394,174.1397,183.59549,195.54045,194.06393,177.80603,208.0457,195.0589,183.67451,185.43205,188.27013,185.3346
QLD-Outback Queensland,193.20749,199.37138,175.84897,220.5652,233.4222,208.84682,265.7112,283.89874,306.0761,226.69827,209.37598,193.34534
QLD-Southern Queensland Country,336.6201,307.6962,317.71912,330.82983,328.06143,311.60565,341.90497,328.86707,317.14017,318.97934,321.15082,319.00082
QLD-Sunshine Coast,1708.2825,656.5798,555.5488,690.353,630.8266,586.0173,970.4724,891.9259,1096.0636,1232.6654,867.46564,884.34955
QLD-Townsville,269.39987,200.58524,185.37115,250.6145,242.88585,361.3862,381.3593,343.30875,323.46915,327.96744,250.16856,209.1586
QLD-Tropical North Queensland,661.4726,284.81046,347.60266,462.7241,589.38116,683.6344,1090.0729,1039.1843,968.7013,926.481,556.6794,372.62546
QLD-Whitsundays,190.70401,173.33347,183.83295,196.08253,194.10474,177.40121,208.00995,195.0115,183.23402,187.16652,187.75652,185.67847
SA-Adelaide,1076.7715,489.2521,601.88416,610.86304,535.935,435.2829,625.58813,502.49033,532.18024,608.1015,571.22034,618.1982
SA-Adelaide Hills,27.500711,10.69732,17.875786,24.008772,23.662474,12.357476,25.813705,21.086143,13.441564,13.902568,18.189259,17.287722
SA-Barossa,46.473934,27.512455,30.086206,40.9412,39.304398,22.723957,43.82932,40.033016,28.918888,30.7458,35.171337,32.911114
SA-Clare Valley,33.21334,16.239624,23.535355,30.1231,28.874804,17.887947,32.216312,27.926796,19.957443,20.144348,24.366737,23.062672
SA-Eyre Peninsula,154.54393,80.84554,129.325,166.39685,116.79617,96.895874,130.16145,158.93613,110.6953,161.50641,106.61408,95.9806
SA-Fleurieu Peninsula,690.46796,151.15018,158.97821,153.48134,194.59108,109.21433,159.76262,80.9825,67.13004,106.0001,110.71347,91.64987
SA-Flinders Ranges and Outback,88.225044,75.8779,104.165535,183.60757,161.03146,147.8504,314.55038,198.95189,161.75847,281.43738,143.58182,73.17031
SA-Kangaroo Island,56.188015,13.285121,21.70761,53.00321,23.898998,3.9012737,21.50567,22.011383,23.350765,10.863944,32.071735,25.942715
SA-Limestone Coast,328.58817,95.552826,101.59419,143.80772,82.56121,78.89093,82.92329,62.859352,66.171844,99.51679,96.365234,91.63178
"SA-Murray River, Lakes and Coorong",74.66551,27.052212,36.91353,41.010094,57.767086,36.118656,51.13075,57.372112,35.274876,47.668545,44.897858,31.511415
