,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,40603.33,17017.936,19301.664,23476.238,17910.082,18085.453,22543.145,20303.812,21800.11,24354.877,19726.115,19984.135
NSW,14405.78,5566.5586,6356.6133,8225.35,5660.193,5419.8594,6818.159,5870.231,6408.2285,7850.178,6033.01,6949.4995
NT,288.7163,283.94537,219.99284,360.23547,525.93243,570.3368,851.756,856.2695,668.1483,618.93427,421.28217,279.5371
QLD,8914.591,4126.86,4347.8564,5500.552,4704.2007,5014.4546,6830.8193,6591.676,7271.487,6985.039,5433.0063,5135.9756
SA,2866.7112,1196.5322,1357.4391,1720.6846,1312.941,1171.1627,1436.5564,1158.2653,1278.8726,1639.5704,1327.4791,1282.6753
TAS,1525.2515,765.60443,906.48224,859.9302,533.9146,505.68127,572.4579,376.19214,442.7978,550.96686,623.78986,599.0726
VIC,9393.187,3604.0242,4378.4,4629.885,3660.4077,3501.8923,3869.3872,3412.856,3434.2224,3965.1885,4051.2783,3983.7136
WA,3209.0823,1474.4104,1734.8799,2179.5947,1512.4941,1902.0642,2164.0088,2038.3262,2296.3503,2745.0034,1836.2677,1753.6602
NSW-Blue Mountains,156.86752,89.65088,99.04869,170.20384,116.50603,132.23508,158.72694,109.44596,119.24787,145.30664,86.4799,88.18559
NSW-Canberra,605.75854,358.10928,445.2974,506.31015,433.7576,350.0942,452.9713,367.76572,384.45474,516.71484,358.25253,405.7698
NSW-Capital Country,214.88237,114.92806,166.59444,263.5613,169.75188,150.41257,156.35904,138.55351,166.1563,207.84149,209.81767,166.67744
NSW-Central Coast,801.9377,284.47403,197.04729,362.9207,169.10654,185.03635,231.5117,186.95296,188.56908,269.30124,243.88805,347.71637
NSW-Central NSW,644.8853,244.31128,357.31967,470.58362,329.13455,334.49658,381.46964,313.85922,377.6673,558.4611,307.19232,362.57162
NSW-Hunter,1315.7207,511.82758,639.1233,753.9925,544.41547,498.74234,564.5352,517.6507,566.0994,659.77124,520.5614,668.1563
NSW-New England North West,480.5101,222.02179,316.0405,350.83,270.11115,286.9331,295.88913,295.2859,269.7423,341.3307,268.46307,227.92052
NSW-North Coast NSW,3551.6287,1104.8445,1155.2819,1641.76,988.27563,882.53735,1211.9467,1061.2017,1200.1779,1553.7257,1221.5112,1265.8179
NSW-Outback NSW,76.18816,49.00392,49.877693,114.83288,125.21237,102.635864,142.91954,128.18005,188.39517,139.79704,79.407974,231.87326
NSW-Riverina,219.13127,99.80884,172.46356,255.40482,157.75636,143.42719,164.89333,130.17087,149.70522,226.10977,114.88657,178.321
NSW-Snowy Mountains,276.4077,108.97649,126.75194,147.76373,76.55225,102.54416,516.28656,410.7423,291.05762,176.73636,98.66283,119.34809
NSW-South Coast,2873.2761,745.08386,837.8596,1132.1665,519.7602,487.18668,547.4196,506.32285,502.18094,854.59515,580.7403,830.4628
NSW-Sydney,2731.082,1464.0869,1577.9803,1756.9358,1548.8591,1562.6582,1801.7998,1511.8447,1721.127,2009.576,1678.5812,1756.3319
NSW-The Murray,457.50354,169.43138,215.92682,298.08444,210.99387,200.91934,191.4314,192.25493,283.64722,190.91096,264.56488,300.34665
NT-Alice Springs,36.79878,113.908066,5.8843117,41.922028,52.38302,70.86629,130.1113,145.06563,105.12002,88.2019,92.43297,15.9560375
NT-Barkly,12.795226,2.2771091,-2.8099196,11.402674,13.080117,5.1849623,24.244383,21.151814,38.222187,16.81908,15.21924,3.7830427
NT-Darwin,130.34584,105.9017,167.96547,176.8367,276.42883,302.50208,381.90714,455.6011,316.30548,322.88562,168.7695,210.75359
NT-Katherine Daly,50.32073,21.74321,14.78681,41.18343,74.61219,61.713924,111.75776,95.540436,90.12592,69.1323,56.8551,10.754913
NT-Lasseter,25.708282,18.416077,6.0518365,32.381817,38.28057,49.51162,79.938126,41.211525,41.08974,50.13658,21.94274,9.371472
NT-Litchfield Kakadu Arnhem,19.599192,11.812958,20.674614,46.430374,60.06833,69.848724,111.58875,86.0065,65.50858,62.58674,52.433643,19.028482
NT-MacDonnell,13.148266,9.886276,7.439748,10.0784235,11.079381,10.7092,12.208528,11.692454,11.77635,9.172062,13.628979,9.889574
QLD-Brisbane,2234.316,1008.03204,1067.5623,1431.1909,1224.6233,1147.717,1468.5068,1206.6304,1457.089,1449.867,1307.0848,1236.7764
QLD-Bundaberg,280.5501,76.37821,97.62841,151.02124,125.578995,108.60975,166.89809,211.06963,191.80865,140.3168,146.28775,146.59097
QLD-Capricorn,263.20688,124.70902,129.08191,256.95642,153.20892,258.73416,368.86557,356.8325,360.79688,354.27255,164.24603,164.80055
QLD-Fraser Coast,338.38583,83.628044,91.32636,155.3522,111.60366,161.05614,230.82172,273.96747,244.24434,246.35744,198.54625,151.96925
QLD-Gladstone,109.872696,105.92359,103.295364,106.23005,107.6023,107.47765,109.376816,108.86057,109.24825,106.00605,111.216576,107.10027
QLD-Gold Coast,1962.6125,856.4906,897.98694,1053.2087,839.3143,839.65936,1019.22034,1028.4104,1316.9955,1341.6722,1242.8788,930.8734
QLD-Mackay,197.47084,90.3592,143.60881,130.11812,159.27124,209.0051,324.51807,277.65036,162.02145,166.58934,129.58876,149.50276
QLD-Outback Queensland,184.1203,234.9915,133.40913,193.27412,200.27782,173.00446,295.0435,265.06476,332.99167,242.98561,107.74043,119.4584
QLD-Southern Queensland Country,392.11874,228.87642,316.10324,343.11493,278.9498,301.71747,349.91138,348.2555,316.93225,297.25983,278.72025,360.71893
QLD-Sunshine Coast,1925.2228,725.18616,646.61005,836.3787,605.1851,611.814,879.33734,906.7764,1053.7054,1070.065,788.95276,846.06067
QLD-Townsville,247.19064,138.34839,148.24487,214.33076,243.2344,278.00204,428.89383,387.72934,378.9441,323.26843,211.95679,215.99385
QLD-Tropical North Queensland,588.0225,355.87155,400.03406,473.3928,534.2636,685.10004,990.78064,988.4411,1072.8661,962.2564,598.54956,382.80524
QLD-Whitsundays,191.50204,98.065254,172.96487,155.98267,121.08736,132.55716,198.64525,231.98726,273.84348,284.12192,147.23691,323.32538
SA-Adelaide,1052.2556,539.7912,607.5822,659.0953,556.978,499.0824,625.46344,511.07462,560.0921,606.1495,579.52875,643.82556
SA-Adelaide Hills,20.937996,17.60733,16.170586,17.681032,18.722221,18.292929,19.634972,19.08338,19.33019,16.633318,21.100294,17.54402
SA-Barossa,51.18835,11.912675,18.162395,40.627567,27.524763,21.255093,40.482037,19.58904,24.136639,35.556915,36.9787,28.74008
SA-Clare Valley,50.178013,12.701799,14.418137,23.297298,32.724796,22.37574,23.920572,15.88077,23.828373,23.306246,24.088976,18.011831
