,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,43220.492,18483.219,20437.027,24327.455,18144.973,20113.602,25451.732,20539.156,20182.639,24659.123,22106.354,21876.42
NSW,15557.006,5930.7383,6523.4585,8160.2754,5663.562,6058.9478,7716.683,6035.233,6085.189,7728.52,6810.885,7213.167
NT,518.29596,387.78455,445.85226,449.463,423.938,521.6572,850.34033,882.1023,470.98688,654.01855,395.74582,569.45166
QLD,8950.043,4546.1367,4606.5957,6010.4624,4950.0283,5505.503,7558.74,6345.7495,6384.1035,6985.4497,5949.1216,5819.33
SA,2931.7996,1358.4489,1378.7515,1909.3419,1220.6875,1367.5225,1530.3456,1331.7953,1252.4468,1851.3429,1505.7169,1326.3695
TAS,1683.5438,791.01843,956.0735,754.341,573.7132,567.6742,500.08545,376.0844,499.58118,616.1749,791.49554,613.2153
VIC,10123.679,3765.2314,4391.003,4721.0435,3615.1567,3955.5571,4719.3643,3433.734,3491.255,4093.635,4635.234,4167.4062
WA,3456.1123,1703.8582,2135.2925,2322.5273,1697.8834,2136.7417,2576.1792,2134.4573,1999.0795,2729.9792,2018.1542,2167.4785
NSW-Blue Mountains,281.1391,119.06092,131.12665,205.7349,136.06125,163.34906,182.19444,98.03032,120.43161,129.35706,129.9277,133.04143
NSW-Canberra,558.37036,398.44608,453.0841,471.76172,409.46664,441.44592,496.74506,447.24313,467.09415,547.54047,413.66238,453.99893
NSW-Capital Country,309.00223,164.7882,178.88795,230.35945,165.7055,228.57219,209.9131,146.06342,152.72981,196.97594,245.87762,220.85078
NSW-Central Coast,1008.79913,296.37335,218.24858,277.87927,193.65764,196.38246,267.5576,227.38539,175.22401,359.12125,236.0637,354.3105
NSW-Central NSW,635.9021,341.70825,361.875,615.0344,344.95044,423.42926,418.98355,351.23862,361.1863,504.88412,501.24225,456.69998
NSW-Hunter,1359.7704,522.37787,710.2272,747.21,548.8818,532.0918,588.8486,501.6516,577.10455,664.274,591.61194,760.58716
NSW-New England North West,477.41565,236.29062,270.36295,374.58368,286.85553,368.84415,363.91144,329.24774,291.75003,357.55777,375.3078,295.1144
NSW-North Coast NSW,3696.0413,1079.6954,1163.2256,1641.1705,1060.6466,928.4451,1313.4038,1090.1316,1196.0215,1576.1129,1345.3224,1338.7476
NSW-Outback NSW,193.72157,119.40816,122.09506,126.814186,104.3596,144.59236,142.4688,111.60531,101.77451,130.7336,128.02556,130.01697
NSW-Riverina,265.91794,137.1705,148.54301,173.1559,170.97937,179.13484,198.22404,133.49063,133.17418,178.26575,161.49599,190.45775
NSW-Snowy Mountains,374.63373,116.62815,99.40977,181.86002,52.558372,151.01231,809.76514,363.97675,266.27917,130.1201,161.35988,169.04031
NSW-South Coast,3069.2922,694.6484,786.20575,1085.3895,422.6014,461.45935,557.12366,436.01758,458.40985,791.95105,559.9125,781.2858
NSW-Sydney,2989.059,1530.9302,1684.7811,1779.8862,1569.0627,1624.0714,1941.508,1594.1986,1619.3359,1943.9478,1704.488,1695.2125
NSW-The Murray,337.9412,173.21222,195.38573,249.43617,197.775,216.11781,226.0367,204.95207,164.67404,217.67845,256.587,233.80319
NT-Alice Springs,100.406425,66.8509,94.89139,69.62293,97.82958,94.425865,131.5318,71.85234,86.38962,84.92257,75.66542,89.08047
NT-Barkly,17.917265,10.325599,15.55097,25.557854,11.303767,16.802292,37.544724,20.191689,19.656622,27.0839,13.224809,24.2675
NT-Darwin,234.15614,108.88796,252.19003,168.47566,198.48367,209.30838,369.7004,500.6993,185.86046,263.62634,178.65076,234.93597
NT-Katherine Daly,64.7626,88.38661,-5.4846125,91.55855,27.504028,84.34765,107.73582,135.17995,63.778484,138.31064,43.77841,106.78279
NT-Lasseter,36.865772,57.87894,23.359339,27.632563,27.555525,38.509518,71.564514,66.64643,45.4609,59.98487,24.430027,36.702763
NT-Litchfield Kakadu Arnhem,44.814106,41.914665,48.52755,52.672478,47.180027,59.727005,97.88268,75.00405,50.099,56.65741,44.609627,53.53032
NT-MacDonnell,19.37364,13.539873,16.817604,13.9429865,14.0814295,18.536526,34.380386,12.528555,19.741802,23.432795,15.386771,24.15187
QLD-Brisbane,2285.6448,1058.8395,1018.63385,1478.7069,1185.7515,1184.2129,1557.0112,1241.272,1371.1469,1424.9684,1267.8037,1225.8108
QLD-Bundaberg,203.94453,118.95405,135.74072,149.92264,134.01929,171.9629,224.03372,145.41473,164.41699,156.1521,164.90875,202.8024
QLD-Capricorn,291.3641,185.61293,224.51524,360.21463,198.79668,289.95975,315.6266,364.01413,245.06053,354.67087,212.02705,255.82558
QLD-Fraser Coast,290.1188,157.60468,181.5339,252.22897,169.55237,207.04861,218.10957,156.43932,206.53944,209.39241,204.86658,220.66103
QLD-Gladstone,169.15018,96.4819,107.61252,101.39893,90.092415,128.75381,155.28476,75.38918,81.86885,100.68967,117.04013,120.57568
QLD-Gold Coast,1794.773,758.6458,862.59424,1095.7769,739.947,813.8626,1114.7307,1000.77783,1024.8674,1321.737,1234.5483,1048.854
QLD-Mackay,267.38715,198.84537,209.69254,201.25189,192.40523,230.49953,256.1919,176.91373,184.1112,202.25273,218.59279,222.65451
QLD-Outback Queensland,243.84326,207.6544,193.62195,228.96133,212.37279,270.3178,361.58676,262.13007,285.3539,269.38104,220.29906,228.12366
QLD-Southern Queensland Country,413.71005,297.37863,334.18713,442.70895,328.16266,438.82944,542.2211,341.53387,346.94846,328.7818,354.68246,344.87772
QLD-Sunshine Coast,1675.297,769.5339,482.77176,780.589,627.3163,550.21545,948.2056,905.2964,985.0626,1209.7787,899.6669,1025.9795
QLD-Townsville,336.58594,197.25668,275.87415,250.9944,309.1315,253.12335,492.07098,475.10995,379.4431,258.8944,266.92358,300.6666
QLD-Tropical North Queensland,711.145,302.71164,372.57257,467.5959,572.3737,738.4828,1119.2405,1026.7614,927.8846,949.0614,570.91394,402.0169
QLD-Whitsundays,267.07974,196.61731,207.24503,200.11224,190.10757,228.2338,254.42696,174.69685,181.39935,199.68835,216.84796,220.48126
SA-Adelaide,882.26666,553.4452,568.81226,635.4495,560.23444,512.3801,626.84186,547.9709,589.51776,680.96,658.5167,507.6182
SA-Adelaide Hills,58.267372,25.127779,27.888966,30.545002,19.598251,34.824467,33.13146,20.673725,17.111872,27.230024,30.430233,31.09763
SA-Barossa,72.87183,38.909573,41.440125,44.658985,33.51466,48.481644,47.80752,35.59216,32.18295,42.57747,44.817303,46.117878
SA-Clare Valley,62.18692,29.874498,32.157944,35.408005,24.571114,38.964417,37.69706,26.339811,22.884748,33.169518,34.89293,35.581306
SA-Eyre Peninsula,211.20956,100.73142,136.13945,184.1928,110.9255,111.460884,126.01582,189.72345,106.323685,176.95113,124.54606,103.39648
SA-Fleurieu Peninsula,395.2126,147.78236,106.50558,233.56412,34.89263,134.7047,71.11399,63.596493,79.0976,148.87926,90.89712,131.26704
SA-Flinders Ranges and Outback,156.05179,134.14319,94.190056,193.04466,144.5479,155.13753,260.80902,182.64409,192.04222,319.89423,140.8871,97.97791
SA-Kangaroo Island,102.86249,39.115005,36.502537,73.59235,19.910173,27.21912,27.442223,16.915304,15.961768,35.319305,38.310047,44.05166
SA-Limestone Coast,377.6107,105.82561,102.02447,177.39091,85.63376,82.084145,78.3188,84.86603,54.879974,99.57539,113.43017,97.5917
"SA-Murray River, Lakes and Coorong",93.06281,37.07678,45.63483,38.51223,46.34909,55.58984,56.99023,46.403446,32.132618,65.553566,51.962547,39.90876
SA-Riverland,146.84944,48.339756,46.627552,85.641136,47.662697,66.98549,69.68228,58.292244,44.177906,64.44168,64.44373,57.65516
SA-Yorke Peninsula,373.34763,98.077736,140.82758,177.34212,92.84726,99.6902,94.49521,58.77788,66.13381,156.79121,112.5829,134.10582
TAS-East Coast,262.02374,75.155716,98.40962,80.227486,55.544502,74.50762,36.730186,24.216816,43.889153,47.42444,62.231583,28.555235
TAS-Hobart and the South,641.9055,347.59482,533.01294,308.47147,277.44193,217.63623,216.16632,177.3782,258.58807,336.3038,388.20807,326.2347
TAS-Launceston and the North,402.5679,182.41493,139.48166,177.30598,126.61779,117.36704,143.52469,114.17523,126.788704,124.50996,213.5891,131.59363
TAS-North West,314.72626,139.70296,145.53839,155.01772,86.354,115.130005,73.14442,45.99332,54.47541,79.20346,80.8244,84.22277
TAS-West Coast,62.32039,46.15001,39.630898,33.318333,27.755,43.033318,30.519852,14.320838,15.839857,28.733278,46.642395,42.60896
VIC-Ballarat,154.37381,107.228905,114.81309,111.83058,102.423645,116.75014,121.49888,93.95751,94.648094,107.117744,113.86345,112.69056
VIC-Bendigo Loddon,183.69154,155.30042,156.79713,157.82292,149.81863,166.25859,160.80376,148.31357,142.9479,154.56854,159.13913,159.24841
VIC-Central Highlands,100.63983,71.67187,73.55509,74.78269,66.27842,82.60689,76.79351,64.83301,59.166462,70.30841,75.82518,75.60143
VIC-Central Murray,419.43265,164.60934,192.94646,234.78911,103.19229,165.67116,139.9979,84.41565,116.86248,121.780174,137.31299,151.70764
VIC-Geelong and the Bellarine,767.05676,198.78967,205.74796,208.20789,191.53448,162.69217,166.81323,101.23923,141.15471,170.75273,220.14551,168.97421
VIC-Gippsland,549.12616,187.11504,239.7859,276.20932,163.10736,178.80368,173.95587,117.908714,147.01143,198.19978,203.81688,238.86362
VIC-Goulburn,155.91365,84.26255,94.199776,112.042175,93.09618,99.763695,88.05691,81.8697,76.480804,76.65145,107.233635,96.65421
VIC-Great Ocean Road,1405.7391,363.95978,472.13312,436.57278,247.47444,247.57138,266.9828,171.2511,242.66432,297.4471,334.5036,325.0899
VIC-High Country,678.1979,121.35537,200.76547,347.67654,233.97354,217.33492,443.434,374.05096,271.421,192.09756,341.82028,194.65924
VIC-Lakes,448.491,132.11807,216.85066,239.80997,117.9516,115.341324,81.20492,79.10336,150.29295,150.48236,176.28702,132.85547
VIC-Macedon,95.32136,43.458656,44.23565,50.599335,33.945084,69.19238,52.218273,31.956177,28.99294,42.84527,60.291515,41.516373
VIC-Mallee,261.4882,193.6872,151.96495,145.79268,144.80093,193.0034,200.42934,166.66142,152.80215,223.06131,246.19794,154.28427
VIC-Melbourne,2295.445,1307.7101,1459.2504,1547.8871,1525.2721,1481.219,1804.954,1506.4757,1439.2494,1700.8378,1670.4197,1596.0087
VIC-Melbourne East,115.00965,89.8167,89.9475,92.147644,78.2931,97.09806,91.310776,79.55546,74.0305,85.60888,91.15104,90.912544
VIC-Murray East,58.944202,32.73419,34.02202,33.359833,27.539562,42.738937,37.54299,25.6923,20.081799,30.193413,37.372215,36.606865
VIC-Peninsula,1281.4409,205.0443,269.10782,256.437,127.47421,201.39119,186.73827,99.35814,125.94631,148.95485,227.42844,218.84958
VIC-Phillip Island,748.2148,151.13011,177.25847,191.62282,65.28606,118.429985,433.36746,83.70453,89.78377,154.2999,153.83704,173.34866
VIC-Spa Country,73.13227,45.451843,58.80772,53.689854,41.822407,62.7443,49.46721,39.15051,36.586555,49.29785,54.18966,46.760952
VIC-Upper Yarra,187.37721,28.106815,52.027668,56.976715,30.806545,36.57672,50.35135,15.90765,23.564732,33.324104,76.37469,50.125942
VIC-Western Grampians,89.16555,54.011936,57.30829,62.59257,48.589504,61.777847,60.886986,47.915802,42.61057,59.920155,116.255714,71.35004
VIC-Wimmera,55.476288,27.668556,29.47826,30.193554,22.476347,38.591427,32.5551,20.413418,14.956032,25.885983,31.768679,31.297483
WA-Australia's Coral Coast,329.01523,243.8574,263.43567,313.8371,270.3343,284.6908,341.50565,302.09845,318.299,395.92377,196.98347,222.28091
WA-Australia's Golden Outback,305.09848,162.7068,200.18654,178.8588,180.96173,199.33217,255.15273,201.40831,216.03047,249.82811,203.72005,203.96309
WA-Australia's North West,308.5687,259.40305,233.03514,338.84705,280.2944,503.0095,659.78253,698.5674,463.5826,460.7855,294.6405,411.07544
WA-Australia's South West,1210.4408,452.5057,503.3045,680.3665,307.6653,389.38382,393.49234,309.01944,283.64716,553.2902,430.38297,535.2114
WA-Destination Perth,1302.9891,585.3851,935.3305,810.618,658.6277,760.32556,926.246,623.36365,717.52014,1070.1516,892.42725,794.94763
