,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,43946.71,17608.02,20491.125,24747.73,19110.816,19368.586,24270.568,21661.824,22585.574,25448.371,21080.115,20845.28
NSW,15111.035,5630.272,6685.4365,8421.648,5875.927,5699.492,7199.34,6111.364,6427.347,7893.1494,6361.9663,7090.9995
NT,383.3768,291.3684,325.83966,451.94128,609.36456,648.83246,1021.4204,984.6472,733.6047,763.00916,462.7896,370.2922
QLD,10015.183,4248.0303,4577.0654,5906.552,5024.379,5368.271,7149.0913,7083.022,7498.3623,7368.999,5791.411,5328.7827
SA,3098.2732,1240.3105,1448.5708,1846.476,1360.7845,1250.5878,1520.3517,1198.122,1348.0065,1750.2,1437.7122,1342.312
TAS,1685.4797,843.5144,954.1837,902.64294,589.0268,554.8631,584.7776,414.36688,469.58365,586.8632,667.9074,628.9346
VIC,10186.959,3620.7666,4526.478,4863.9277,3890.6643,3689.3784,4330.575,3534.0488,3590.983,4149.814,4382.6167,4071.3806
WA,3466.411,1733.7561,1973.553,2354.544,1760.6709,2157.1584,2465.0173,2336.2559,2517.686,2936.3352,1975.7095,2012.5792
NSW-Blue Mountains,197.68538,95.47011,108.09635,192.76979,131.106,138.09137,163.4311,115.5955,117.984695,148.64992,106.60516,90.126175
NSW-Canberra,534.859,362.81558,467.15485,509.68115,435.6348,406.55157,518.2171,390.54614,452.82443,551.75287,387.66794,439.88983
NSW-Capital Country,246.1281,120.046364,177.56592,268.4482,178.49646,170.22438,167.09302,148.085,173.86829,218.99678,235.22758,182.62352
NSW-Central Coast,847.33673,292.81097,207.80891,355.27197,189.70953,194.87708,243.89807,207.60927,195.12357,299.09283,260.4744,336.921
NSW-Central NSW,720.40094,272.75226,403.6571,551.38245,379.89255,380.27618,426.2264,352.52466,410.8662,590.4946,374.80505,404.49728
NSW-Hunter,1334.2638,527.6647,677.3526,761.6599,551.81805,499.6973,589.24615,526.536,575.0497,662.7707,543.1533,658.53906
NSW-New England North West,547.3927,240.05762,323.21246,376.09393,296.11575,315.43176,322.54913,315.3543,290.392,343.63315,311.7617,225.81277
NSW-North Coast NSW,3637.6987,1110.295,1202.2714,1672.4003,1057.1875,932.50696,1284.6118,1098.0632,1215.8948,1572.0775,1308.282,1306.2351
NSW-Outback NSW,103.383446,37.206303,56.260933,103.74449,110.47766,91.39578,135.7059,119.68497,133.99628,126.74888,65.70738,265.9446
