,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,45150.09,19230.686,23144.459,27138.053,20629.46,21774.154,26672.135,23541.586,24607.521,28495.703,23130.959,23444.855
NSW,15253.835,5922.657,7071.2334,8678.096,6034.33,5957.9365,7479.322,6238.53,6651.287,8364.241,6774.176,7347.3496
NT,388.59857,325.95032,398.4085,481.25006,598.376,719.61035,976.83575,1013.1057,791.69794,695.86285,450.65247,439.5023
QLD,9507.414,4290.5166,4705.491,6059.791,5018.7866,5421.5596,7354.61,6824.4175,7243.873,7335.993,5813.42,5446.947
SA,3116.5984,1232.9259,1587.1619,1853.0763,1371.4755,1344.2262,1518.155,1211.9287,1338.5768,1937.1348,1523.1375,1623.6163
TAS,1661.6656,868.9768,1058.0667,1009.5273,635.3215,605.50433,528.5898,394.96344,481.4375,702.0442,726.36194,672.06696
VIC,10147.595,3878.892,5138.379,5306.889,4123.5005,4096.7104,4651.25,3738.7869,3910.3743,4768.468,4691.6885,4564.1523
WA,5074.3843,2710.7695,3185.7183,3749.4229,2847.6682,3628.6057,4163.3643,4119.8496,4190.272,4691.95,3151.526,3351.2207
NSW-Blue Mountains,219.69337,131.25418,151.63039,214.4968,147.6002,151.60764,184.23712,125.12321,139.89111,188.33128,139.7131,133.97437
NSW-Canberra,586.4955,365.0048,474.9884,505.24106,424.23416,391.85138,499.35968,414.23422,445.75546,558.9705,386.5121,420.78915
NSW-Capital Country,298.5473,164.524,216.57307,297.64435,188.16383,185.61787,192.35316,148.86705,186.88908,246.00381,225.28581,207.73083
NSW-Central Coast,871.16327,268.27408,328.63574,379.96255,192.87299,224.13802,235.56511,210.44662,218.40897,316.7002,266.40152,357.34344
NSW-Central NSW,677.71954,369.5339,353.26343,554.97003,359.27002,342.8899,418.66705,329.9969,375.16727,599.7615,372.5509,369.77872
NSW-Hunter,1291.2474,512.713,666.71423,760.12634,548.1359,512.192,598.3087,513.77484,588.0115,660.45245,574.54645,667.71796
NSW-New England North West,543.3525,217.0844,322.70285,379.72864,272.92596,302.2732,310.1829,292.89612,280.7023,343.51978,316.51874,225.0584
NSW-North Coast NSW,3614.2693,1061.4,1217.7848,1674.1666,1113.2839,998.4589,1294.3933,1137.334,1250.6583,1636.204,1384.1229,1370.2463
NSW-Outback NSW,119.27174,50.975975,77.40535,162.62073,124.83762,135.33472,180.24269,150.00574,169.54645,165.04698,145.71985,240.31151
NSW-Riverina,254.3872,169.82677,215.99554,310.7425,174.51875,200.62357,213.97896,153.24382,200.46469,262.77225,150.30756,232.30179
NSW-Snowy Mountains,280.84146,107.787186,149.22618,167.64035,81.3725,119.51619,534.34644,438.91296,264.3533,180.49239,130.17572,160.00731
NSW-South Coast,3131.8796,792.9764,874.5253,1167.0524,549.7102,570.4389,656.6838,551.1695,560.22833,934.78906,686.9659,885.4525
NSW-Sydney,2964.4414,1549.2551,1818.4799,1831.3483,1658.459,1635.7675,1971.9113,1618.3843,1696.929,2071.7764,1767.6415,1788.3353
NSW-The Murray,400.525,162.0476,203.30829,272.3557,198.94481,187.2272,189.09235,154.14061,274.28113,199.42125,227.71335,288.3018
NT-Alice Springs,58.845398,108.447525,50.336353,57.471046,83.92829,104.78259,141.15707,110.29711,115.82895,111.516655,68.546165,47.815624
NT-Barkly,19.128077,14.518183,14.166353,30.675922,18.732967,17.527435,35.557465,36.55596,28.067513,25.267971,21.407272,19.941286
NT-Darwin,167.42343,91.82463,193.54504,195.73158,287.4848,331.52432,432.64,528.87036,343.27307,278.48212,159.68678,208.68971
NT-Katherine Daly,29.406443,22.745676,39.044388,57.918945,68.374504,75.730415,116.60921,131.55821,101.18499,91.02185,57.3552,68.711815
NT-Lasseter,35.96746,21.714008,13.55092,46.53908,41.452545,54.49133,85.73372,55.5921,52.6272,58.593277,28.452246,16.04086
NT-Litchfield Kakadu Arnhem,54.434967,48.399544,68.67117,72.3478,78.93321,114.06531,146.09201,132.9826,131.58311,106.069016,95.64402,57.803577
NT-MacDonnell,23.392792,18.300758,19.094234,20.565681,19.469667,21.488949,19.046303,17.24932,19.133116,24.911993,19.560778,20.49938
QLD-Brisbane,2496.1216,1064.5746,1124.8251,1480.182,1243.0361,1149.6628,1511.8578,1263.4438,1347.6764,1462.2944,1324.905,1271.299
QLD-Bundaberg,252.74962,87.15841,120.6485,197.38074,101.35168,125.120316,185.6311,183.60454,221.59737,161.46893,144.0527,153.72885
QLD-Capricorn,325.1247,180.68947,215.50606,313.00702,213.49316,291.74954,385.66605,410.47955,405.3921,393.5429,269.59457,258.25357
QLD-Fraser Coast,337.12717,93.85132,113.70059,218.5766,125.69611,164.3846,241.26979,218.43651,239.52148,235.33636,170.05788,165.99231
QLD-Gladstone,172.31415,88.36373,92.79727,132.47057,103.6695,96.37153,115.11071,101.12564,149.05794,131.94524,200.9553,100.73107
QLD-Gold Coast,1844.33,790.0297,871.79254,1038.9739,765.82666,828.6958,1008.2865,977.3429,1171.4746,1267.1125,1192.488,943.0019
QLD-Mackay,207.69093,139.80031,149.23215,184.13435,179.48836,213.26184,430.6094,280.79764,196.03947,235.78323,159.14671,194.56866
QLD-Outback Queensland,209.07446,248.95735,121.10057,229.53247,240.82274,246.6227,372.0576,338.60495,399.111,273.96252,166.42094,172.84564
QLD-Southern Queensland Country,502.30377,311.90897,376.29877,431.16672,339.5601,415.17014,449.1545,383.58322,389.06808,381.69666,333.43427,382.0499
QLD-Sunshine Coast,1968.675,707.5804,704.9059,925.0225,648.69727,708.9156,921.5878,968.7558,1083.4082,1144.8453,871.05084,923.1372
QLD-Townsville,302.3195,138.24841,260.733,230.37695,297.96677,285.47348,483.57373,427.71924,428.95898,338.5928,234.32292,223.07237
QLD-Tropical North Queensland,696.9761,351.87933,410.21155,501.94388,629.96655,735.78516,1054.834,1066.4625,936.896,981.851,596.31067,360.44424
QLD-Whitsundays,192.60722,87.47437,143.73943,177.02362,129.21164,160.34558,194.97098,204.06117,275.67114,327.5608,150.68018,297.8222
SA-Adelaide,1050.4928,487.51987,646.90015,647.0664,573.5301,530.9548,604.08044,513.2604,564.2894,671.8236,630.0952,849.5903
SA-Adelaide Hills,49.877686,18.970848,36.179005,30.837421,23.786354,28.742832,41.081543,18.072277,29.591072,46.042946,38.68745,23.659163
SA-Barossa,58.777252,23.01626,36.504025,53.63445,41.11358,36.117443,55.302013,22.185713,39.646374,57.40949,49.63837,43.786015
SA-Clare Valley,57.006004,21.871,55.41279,30.490456,37.158638,26.771297,35.458633,22.133816,29.440807,37.110176,43.070446,26.97071
SA-Eyre Peninsula,228.93643,85.3931,145.46982,183.8254,98.20437,105.33347,113.48999,140.69997,120.857285,203.1715,131.7746,97.49544
SA-Fleurieu Peninsula,471.61526,137.91042,141.27019,187.32318,105.61728,117.29699,130.0792,70.869865,81.32558,141.83435,121.34732,125.78828
SA-Flinders Ranges and Outback,127.67914,142.33382,113.66824,176.06105,159.48964,171.81929,236.16705,175.67593,211.87085,285.76498,146.53262,86.305824
