,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,45418.95,20219.43,23986.94,27619.328,21492.422,22026.445,27255.787,24437.893,24780.004,28156.088,23794.75,23821.588
NSW,15146.149,6078.6787,7201.0015,8682.244,6332.3438,6092.71,7658.628,6559.7417,6898.4604,8437.987,7058.6436,7402.546
NT,390.06595,372.46606,424.63943,514.01733,586.7565,800.8498,1060.656,982.894,786.5263,730.3736,503.28122,465.5163
QLD,9310.243,4525.989,4934.9995,6134.485,5275.0356,5564.7646,7468.803,6963.2363,7259.225,7354.0137,5781.203,5581.02
SA,3100.9475,1273.7307,1657.6758,1891.5361,1396.5455,1328.4427,1541.8473,1298.1526,1376.2776,1957.219,1570.334,1634.6964
TAS,1768.2848,909.7105,1057.957,1016.3626,636.2059,620.3747,538.60675,430.3954,503.56528,682.80414,739.0497,647.5654
VIC,10448.442,4141.573,5299.8403,5505.0513,4357.7485,4066.328,4766.2446,4009.8284,4073.678,4759.965,4871.109,4744.5107
WA,5254.809,2917.2788,3410.8218,3875.6353,2907.782,3552.9746,4221.004,4193.6445,3882.267,4233.7207,3271.129,3345.734
NSW-Blue Mountains,220.30922,142.06116,167.69226,237.57378,167.19405,168.30893,201.45366,148.72122,158.69112,204.93434,156.81421,139.71451
NSW-Canberra,634.7678,369.6038,490.83035,501.84894,424.9403,381.89423,536.7051,434.17517,460.77762,574.56555,385.36734,410.84503
NSW-Capital Country,315.6926,182.70619,235.21446,291.17337,202.14178,194.38545,214.07953,177.76085,194.62692,244.16666,254.46782,231.91891
NSW-Central Coast,872.2453,263.67966,313.447,346.5376,194.87482,217.09451,231.99289,217.00682,226.89777,307.5238,253.4284,340.56406
NSW-Central NSW,643.96924,323.1745,368.13123,539.45215,364.68506,372.60693,415.7861,333.3883,389.31152,590.0417,379.43674,375.465
NSW-Hunter,1271.7766,515.49567,683.61487,725.01263,546.43994,518.6486,585.06226,547.59717,570.8413,656.7493,583.31635,689.1732
NSW-New England North West,542.9178,216.6736,313.6966,387.44165,284.6728,303.06558,308.05133,299.85892,289.23633,353.10928,326.80075,229.07234
NSW-North Coast NSW,3634.053,1120.8118,1248.7534,1715.5309,1176.9081,997.0008,1350.0198,1157.3907,1298.635,1636.9824,1405.9971,1387.547
NSW-Outback NSW,87.690704,48.442398,69.49448,125.73426,123.29942,125.28016,160.9637,179.14305,178.9586,153.5884,155.78813,219.04016
NSW-Riverina,234.60327,161.44044,176.25421,280.04294,183.4286,171.54922,199.36781,145.86734,197.21184,236.78842,143.96207,210.74487
NSW-Snowy Mountains,285.99124,105.11627,153.91306,172.75491,82.74109,135.94724,559.18353,438.14105,283.53946,165.63635,132.3114,163.98485
NSW-South Coast,3050.4941,835.2236,920.83673,1194.3593,619.82684,628.5989,702.803,620.43933,632.4376,994.1044,800.166,937.567
NSW-Sydney,2953.6877,1614.7158,1856.073,1895.7367,1766.5072,1696.6348,2002.5714,1697.6436,1763.8337,2116.8474,1846.6296,1795.8966
NSW-The Murray,397.95148,179.53418,203.05038,269.04526,194.68384,181.69415,190.58783,162.60791,253.46164,202.94882,234.15735,271.0129
NT-Alice Springs,55.470196,127.17123,56.99437,70.4569,78.79144,109.966156,135.86594,118.469444,131.55663,120.7891,82.508316,54.037785
NT-Barkly,19.792007,17.530575,16.773666,30.03057,19.634357,19.091692,37.77039,42.949444,30.968664,28.771538,24.37719,19.42425
NT-Darwin,167.46599,107.03535,186.39854,190.71509,277.12234,391.903,479.2945,488.76782,301.09326,267.07947,182.2857,242.68724
NT-Katherine Daly,30.047218,26.78807,35.463562,61.644047,66.02259,54.829,126.856186,108.01619,100.20024,107.152824,68.89185,60.422874
