,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,48831.285,24290.988,27692.771,30475.178,25483.947,24984.47,32138.342,26673.512,29444.11,33692.703,28565.652,26548.393
NSW,15763.782,7508.4814,8556.511,9891.884,7888.6094,7645.722,9490.787,7868.659,8731.136,10095.612,8930.083,8605.242
NT,661.06177,580.3286,638.76556,673.7506,748.7655,948.9142,1365.134,970.87854,1068.6135,1169.4236,680.3503,592.1953
QLD,9550.897,5411.663,5733.8022,6766.583,6071.3896,6128.4556,8301.786,7733.658,8065.5,8563.477,6697.0977,6054.8594
SA,3272.5166,1654.3918,1947.0981,2014.6487,1804.2445,1685.7878,2154.6611,1572.2107,2015.7225,2500.6604,1839.6277,1648.3906
TAS,2002.84,958.9738,1164.1832,1046.124,810.4781,691.76514,763.45447,473.3769,663.7855,924.4044,918.2784,763.3222
VIC,11796.426,5217.482,6145.183,6281.865,5100.533,4811.877,6314.311,4979.899,5430.8735,6459.308,6211.2646,5649.531
WA,5783.7534,2959.668,3507.227,3800.3228,3059.9263,3071.9456,3748.2065,3074.826,3468.4812,3979.8196,3288.9573,3234.8474
NSW-Blue Mountains,253.39467,194.59904,212.95251,262.55658,216.39926,232.45499,315.0842,225.05942,245.93863,238.988,211.05772,196.47964
NSW-Canberra,640.0394,583.7224,584.0684,619.2256,591.60474,566.44775,649.7545,608.96936,588.1033,671.88385,614.0194,582.7205
NSW-Capital Country,409.31033,169.89975,268.94284,281.3786,251.95702,250.09436,292.45474,225.85919,281.21832,325.56738,263.619,256.58432
NSW-Central Coast,794.30786,292.53513,342.6336,323.3212,249.59952,219.02979,266.63828,204.8091,330.53595,403.38458,311.5374,362.7341
NSW-Central NSW,690.3115,524.33746,661.05804,711.5423,580.26434,606.3246,668.68054,560.4072,707.0331,717.99835,565.1336,634.11865
NSW-Hunter,1210.9225,570.1502,682.40753,859.7813,590.8674,573.8173,768.7488,670.7515,660.6493,793.3697,716.316,731.2287
NSW-New England North West,472.33987,265.90338,331.56894,444.6734,367.5451,305.49225,432.60858,383.29788,382.80484,480.3737,308.68866,453.19092
NSW-North Coast NSW,4078.1428,1419.6027,1474.2345,1934.431,1422.2686,1221.8131,1503.6609,1219.678,1469.1039,1909.5835,1778.3607,1609.8204
NSW-Outback NSW,139.31036,111.34322,141.86693,164.24142,172.73775,156.20546,212.90184,170.69235,197.14632,200.51688,132.17554,170.0304
NSW-Riverina,260.14746,220.8388,207.90247,244.74557,222.84688,211.88504,254.53238,210.82375,244.78596,252.26251,235.44551,198.1661
NSW-Snowy Mountains,337.39578,183.2505,177.8551,230.00934,114.19174,166.50821,595.95026,526.4736,442.29654,285.8551,191.7199,148.1364
NSW-South Coast,2771.5916,803.5057,985.6563,1216.6033,628.2051,749.14166,763.0264,529.17224,688.9765,943.9351,979.8494,846.578
NSW-Sydney,3369.6763,1940.4131,2220.0012,2271.809,2200.781,2137.4712,2465.6255,2115.0947,2193.2607,2555.6572,2361.9092,2170.8833
