,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,50094.457,25142.797,27776.08,30890.25,26424.143,26018.994,32396.76,27642.383,29805.727,33904.773,28802.584,27512.129
NSW,15780.846,7616.0366,8533.148,10054.874,8082.632,7838.11,9562.144,8105.2944,8899.211,10205.794,8988.773,8770.638
NT,475.14346,566.516,573.4663,624.3438,772.8967,953.35126,1277.5487,951.3745,1016.9176,1075.308,613.3481,603.2575
QLD,9801.118,5717.3276,5915.99,7019.3887,6401.436,6360.7935,8351.04,7799.3887,8035.2456,8673.347,6822.4736,6392.982
SA,3876.7778,1813.353,2036.8271,2136.9321,1967.623,1864.1062,2231.2,1789.5945,2103.0007,2563.3748,1955.2374,1854.1469
TAS,2085.0679,985.0232,1137.5981,1036.6785,836.6237,722.3747,740.2755,517.5743,663.93616,908.67053,900.8254,789.5589
VIC,12238.027,5329.043,6056.8057,6232.8076,5237.8887,5080.581,6502.6333,5310.789,5598.035,6492.8765,6189.0073,5723.414
WA,5837.467,3115.498,3522.2444,3785.223,3125.038,3199.6785,3731.9216,3168.3616,3489.383,3985.4028,3332.921,3378.1372
NSW-Blue Mountains,250.91507,202.74045,211.66832,274.93018,230.97232,246.17413,319.38504,239.94753,257.2265,246.11218,215.38028,209.49397
NSW-Canberra,644.5695,591.822,583.491,630.5538,603.93036,578.61633,654.1655,624.98975,599.46814,679.1161,618.28625,592.2777
NSW-Capital Country,406.20685,176.00317,266.7118,292.67624,264.07123,264.13458,295.47955,242.13206,293.60687,331.64505,267.3625,267.49692
NSW-Central Coast,800.48584,299.7637,341.6158,336.8133,264.1528,233.80977,273.4549,222.7829,343.80594,412.84457,316.8709,375.48972
NSW-Central NSW,699.81177,534.51764,662.4169,726.69806,597.6792,623.6382,678.9575,582.1009,722.73444,730.316,572.40295,648.5508
NSW-Hunter,1210.7983,578.30884,680.5446,870.9776,604.446,586.7691,773.6341,686.2778,671.6368,801.16766,719.6962,741.1527
NSW-New England North West,472.73468,275.5824,330.85834,458.99243,384.2568,320.90283,442.40387,404.36838,397.25818,492.81784,314.4087,466.6983
NSW-North Coast NSW,4083.093,1428.3502,1473.818,1948.5284,1438.9712,1238.6902,1512.9441,1239.4646,1485.1489,1921.3018,1783.8279,1622.0398
NSW-Outback NSW,141.93704,117.659355,138.46216,174.26657,185.68953,167.92857,217.05911,186.36322,206.25798,208.33223,134.9314,185.11491
NSW-Riverina,264.95355,228.2139,205.00986,256.3857,237.59406,226.3188,260.7307,229.23953,258.08868,260.43378,239.45795,210.61406
NSW-Snowy Mountains,336.33328,192.69875,177.7536,243.02591,128.99554,181.82468,600.0421,545.6676,455.70963,293.61728,197.3899,162.32265
NSW-South Coast,2773.8035,807.4906,980.33954,1224.529,638.7599,758.8603,763.46564,541.7312,696.6898,947.35187,980.2185,854.5755
NSW-Sydney,3363.5195,1946.9685,2217.2683,2282.5637,2214.092,2150.5266,2468.5532,2129.983,2205.5198,2563.1362,2365.3745,2181.28
NSW-The Murray,331.6834,235.91736,263.19037,333.93384,289.0207,259.91547,301.86838,230.24629,306.06003,317.60193,263.16577,253.5301
NT-Alice Springs,66.88962,54.34694,71.20493,93.13392,113.31409,183.52007,181.0239,118.24521,160.80414,269.8476,59.635834,59.309715
NT-Barkly,9.437714,17.119778,19.51065,19.785038,32.701817,36.943913,41.111084,30.83202,34.92966,34.545708,18.77744,17.750725
NT-Darwin,155.60817,251.4114,197.27747,224.66365,295.55673,415.1221,693.44257,488.20984,435.80832,442.74368,278.9937,283.65292
NT-Katherine Daly,53.750195,64.91093,98.23751,84.28194,107.03403,85.52989,110.20496,97.70586,141.50117,93.40769,73.479164,69.925446
NT-Lasseter,36.913895,31.843897,46.247185,59.079056,67.60702,76.70518,80.78117,62.70042,78.96329,70.59614,45.629185,35.06322
NT-Litchfield Kakadu Arnhem,97.19857,82.220856,76.30783,76.3103,83.446,82.705574,90.821236,81.648026,87.060326,84.704025,72.22147,71.657265
NT-MacDonnell,55.34528,64.66217,64.680695,67.08992,73.237045,72.82451,80.16385,72.033134,77.85074,79.46318,64.61128,65.89817
QLD-Brisbane,2466.7356,1363.7513,1453.7281,1820.1414,1536.3872,1414.1365,1843.8898,1733.4541,1793.3159,1987.941,1771.845,1546.9337
QLD-Bundaberg,198.01416,182.10002,187.72739,195.76938,202.7531,199.69899,231.23077,204.36713,214.6344,227.10896,184.63152,179.57343
QLD-Capricorn,319.78958,265.25674,275.80835,299.893,309.02353,290.48303,375.61954,304.95923,326.88205,334.95862,311.0045,305.6771
QLD-Fraser Coast,282.8237,160.05164,221.75526,230.01532,213.13034,253.66754,285.61957,287.5109,413.96893,301.12778,221.56976,309.35898
QLD-Gladstone,185.14748,175.36171,178.10004,185.45747,194.82962,190.1662,224.37576,196.19592,202.9186,219.30473,175.12234,172.6916
QLD-Gold Coast,1840.303,876.2189,865.96216,995.1163,761.28186,820.8285,1175.5923,1063.377,969.8804,1281.052,1080.7684,1004.2471
QLD-Mackay,344.13327,324.4441,330.36032,338.35913,345.166,340.82147,374.49902,347.71298,354.90674,370.53918,327.3997,322.14478
QLD-Outback Queensland,374.20996,308.75308,303.32178,308.65546,312.39688,309.9962,344.06647,314.85812,323.5656,336.7668,296.40836,290.55133
QLD-Southern Queensland Country,498.0816,487.8368,489.53796,496.98434,506.155,504.8753,539.0394,510.7672,518.5557,530.3954,486.58923,485.80423
QLD-Sunshine Coast,1861.5663,689.6525,736.4847,1011.6942,765.7483,698.82733,1009.24854,978.12213,1149.9507,1277.5315,919.1071,938.02496
QLD-Townsville,432.72787,348.76483,282.526,335.591,358.03467,375.50058,450.4075,417.03543,433.51538,419.461,304.20422,271.8866
QLD-Tropical North Queensland,776.8358,404.4949,400.005,559.14667,671.9239,744.88556,1232.8412,1160.7892,1037.3397,1087.7609,543.70276,417.41528
QLD-Whitsundays,220.74994,130.64114,190.67273,242.56544,224.60562,216.90637,264.6098,280.2399,295.8119,299.399,200.1211,148.67238
SA-Adelaide,1013.6162,685.481,690.62115,653.2748,711.4285,655.1551,687.76215,755.9078,791.1553,789.5539,661.0401,713.1381
SA-Adelaide Hills,129.84564,57.25289,67.084496,71.728516,65.97885,67.9144,81.8252,66.55855,73.93991,80.87361,65.7357,61.951786
SA-Barossa,124.36258,50.859146,60.663445,65.71754,62.104614,62.03782,80.74094,63.366486,68.673386,77.349075,59.28962,55.462875
SA-Clare Valley,108.45456,43.50042,53.346664,58.333145,53.715553,54.954086,67.18444,54.379562,61.311188,68.58557,51.997147,48.173096
SA-Eyre Peninsula,224.45511,140.81671,130.58469,174.63303,163.11736,122.47013,205.87057,146.62729,145.64159,176.16856,129.64786,141.8888
SA-Fleurieu Peninsula,608.58124,162.03333,202.16783,185.8667,136.59003,97.62639,158.91745,81.05112,132.07947,328.53442,176.19798,179.16713
SA-Flinders Ranges and Outback,248.34703,238.20456,209.14711,264.05927,278.3915,297.328,374.50735,249.01135,309.3217,336.67352,261.01743,147.90268
SA-Kangaroo Island,140.58412,39.129677,55.400574,60.726425,57.59718,46.77411,78.23822,43.332024,60.03633,100.4463,56.381664,62.969498
SA-Limestone Coast,458.4686,137.73827,208.58792,169.17255,133.49162,136.95752,136.86147,79.80791,121.101616,173.63925,150.0581,137.28625
"SA-Murray River, Lakes and Coorong",177.5021,59.23928,89.552765,76.99085,88.12178,83.26318,86.4827,64.72108,89.61374,100.04473,91.79886,65.121544
SA-Riverland,193.26965,85.77468,117.15846,155.28635,112.63934,119.21516,120.89906,94.64951,129.39479,149.97777,134.84814,86.54553
SA-Yorke Peninsula,449.2909,113.32312,152.51227,201.14305,104.44672,120.41023,151.91032,90.181854,120.73162,181.5283,117.224686,154.53946
TAS-East Coast,357.21622,95.48727,122.60294,117.30972,60.055687,91.87055,88.179,43.366684,73.78184,88.793976,119.32714,133.54285
TAS-Hobart and the South,939.5512,422.11438,484.94025,500.7892,349.3029,298.26428,321.6229,188.69646,262.47928,390.89188,358.98422,290.0536
