,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,49128.215,22666.459,26322.436,30335.51,24287.182,24445.463,29924.48,26531.797,27491.78,31643.434,27070.709,26336.86
NSW,16821.99,7100.961,8125.405,9914.549,7490.549,7139.298,8893.999,7565.179,7994.921,9675.941,8326.953,8412.66
NT,500.18286,436.62866,604.9234,632.3637,757.47516,1011.20544,1314.2444,1195.2393,1035.7251,937.81885,601.0325,544.37646
QLD,9947.381,5173.6045,5391.9297,6750.031,5874.675,6132.459,8081.3438,7751.915,7912.8555,8272.725,6637.8193,6312.6836
SA,3241.2263,1503.0764,1842.8998,2048.4102,1651.3665,1519.8779,1802.2853,1459.9384,1599.2341,2220.0112,1779.0656,1801.3612
TAS,1886.3177,976.153,1118.5375,1096.6765,726.9952,700.89325,602.8353,483.99304,583.21857,770.08594,838.4059,752.96216
VIC,11565.183,4863.5317,6040.7383,6269.194,5074.909,4806.794,5747.9526,4804.0063,4870.3403,5858.722,5847.189,5619.795
WA,5165.933,2612.5015,3198.0024,3624.289,2711.2168,3134.9353,3481.8193,3271.5256,3495.4917,3908.1362,3040.236,2893.0217
NSW-Blue Mountains,306.83936,151.40593,209.54582,313.53574,243.0651,226.29178,274.16916,186.76712,202.55061,285.58408,198.22688,168.63503
NSW-Canberra,716.64154,509.49222,609.0858,624.7115,545.1759,493.4478,657.94635,552.90735,576.27264,700.243,520.67523,539.5361
NSW-Capital Country,393.71927,198.90317,216.67824,292.24008,213.60583,206.51947,233.54408,198.10458,220.09647,273.84943,273.0817,270.65198
NSW-Central Coast,796.80176,287.35492,323.68073,312.9706,205.17278,203.86467,253.48927,215.88065,254.20644,310.39886,267.54373,349.1828
NSW-Central NSW,767.13544,469.3678,532.2941,716.73596,534.0236,541.94116,590.18713,496.77362,520.01117,741.2914,556.2954,506.74832
NSW-Hunter,1359.8378,578.3026,784.58545,840.205,623.00836,588.2526,706.3201,639.705,675.7394,757.9433,704.8824,789.1365
NSW-New England North West,597.16516,270.7088,297.8493,475.8977,355.12344,342.43326,381.26105,364.7179,337.29858,431.81897,371.0312,331.52316
NSW-North Coast NSW,3873.285,1328.545,1421.377,1882.982,1359.0363,1173.939,1511.6082,1305.65,1461.7168,1828.1525,1622.222,1604.9374
NSW-Outback NSW,121.35114,71.52286,92.51083,142.11194,144.91972,136.12029,204.49055,194.44775,187.07463,171.87749,150.91089,120.76032
NSW-Riverina,288.3991,196.0257,160.54523,349.062,224.24503,185.16609,203.68408,173.14,217.66887,264.7872,181.35522,243.04907
NSW-Snowy Mountains,318.58746,157.6077,176.66754,219.92879,119.108795,168.4121,590.4103,482.78677,316.22433,186.94598,179.9543,190.81256
NSW-South Coast,3388.425,848.2586,954.60284,1268.3082,610.30414,660.5624,726.42944,574.0083,630.1396,996.88385,837.07263,922.3572
NSW-Sydney,3525.9187,1852.9044,2156.0452,2188.509,2098.1782,2015.8708,2357.7117,2011.5514,2096.2058,2512.8389,2225.9822,2077.9465
NSW-The Murray,367.8833,180.56128,189.93614,287.35046,215.58112,196.47552,202.7473,168.73898,299.71606,213.32706,237.71982,297.38345
NT-Alice Springs,62.303856,78.365616,92.27336,89.06775,89.54907,174.58794,185.06834,132.7121,174.00574,169.61757,76.76045,61.324924
NT-Barkly,19.022171,7.439047,11.301563,24.213472,13.521007,13.962449,33.747498,38.90648,25.175194,20.794949,19.289665,13.487662
NT-Darwin,227.22842,171.3809,256.9657,250.11642,381.98224,466.96774,581.3779,619.1613,406.02112,384.89542,234.51726,254.90312
NT-Katherine Daly,45.0578,27.806292,64.25516,80.424995,88.272675,76.271385,196.02031,143.68561,158.56992,133.13008,73.0889,66.49392
NT-Lasseter,46.249157,27.826733,27.051407,52.258884,51.296833,69.98266,104.629585,77.8525,64.51525,74.4383,41.63984,18.833351
NT-Litchfield Kakadu Arnhem,39.051517,65.130325,94.00857,76.45633,73.72189,150.39886,153.72922,123.6392,147.71684,95.17946,96.15257,70.113396
NT-MacDonnell,61.26997,58.679733,59.06767,59.825848,59.131554,59.03442,59.671375,59.282097,59.720985,59.76312,59.58377,59.220123
