,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,47600.203,26566.566,28799.979,33238.277,26964.832,27538.748,33130.184,29046.11,30543.93,34234.797,30624.947,30855.715
NSW,16090.119,8388.622,9041.958,10757.079,8326.336,8547.068,9948.581,8717.95,9406.857,10640.234,9476.495,9747.287
NT,667.7404,519.10956,564.5892,688.24945,753.06036,993.88324,1107.3438,1065.6309,919.473,946.8564,615.57886,635.73065
QLD,10004.6,6178.401,6034.7207,7520.792,6639.95,6813.5264,8698.227,8256.916,8444.778,8784.671,7636.8047,7428.661
SA,3100.132,1713.4995,1932.9012,2156.2095,1808.497,1850.2048,2054.6096,1755.7233,1868.6133,2312.7842,2129.5757,2044.871
TAS,1828.0801,1257.7775,1029.2401,1202.9459,788.53467,719.91925,756.8217,611.6284,734.6974,987.85394,974.31836,833.798
VIC,10732.251,5268.9863,6406.683,6881.11,5408.8125,5381.633,6453.1455,5481.4575,5753.8745,6690.6743,6204.3774,6342.192
WA,5177.2754,3240.168,3789.8882,4031.88,3239.643,3232.5122,4111.4575,3156.81,3415.6348,3871.7295,3587.7996,3823.1658
NSW-Blue Mountains,272.7268,197.99146,190.82132,251.29695,207.66208,226.0144,258.92465,205.43137,226.99374,260.63193,225.37895,248.39899
NSW-Canberra,631.4796,636.02313,584.452,670.7435,599.60394,607.2782,738.1885,603.36816,651.50256,672.11127,625.28046,571.6505
NSW-Capital Country,427.05713,213.38461,285.26804,267.51685,244.72758,226.92049,277.09604,235.64503,305.3029,347.01974,226.98236,307.59122
NSW-Central Coast,797.52484,272.61963,291.609,318.32846,273.528,217.46672,216.79729,182.72089,295.3921,362.67935,256.52615,360.4505
NSW-Central NSW,799.9088,589.00806,597.6297,908.2041,620.0318,798.8355,581.78314,652.1904,646.00525,799.6433,611.29205,688.49475
NSW-Hunter,1294.1398,831.3872,928.64026,1062.1958,856.68994,749.1214,984.6828,865.952,842.6862,957.1245,957.60223,970.0154
NSW-New England North West,506.10043,259.78574,295.85217,392.0039,347.8798,307.67413,403.78,390.27725,344.57404,509.34653,324.85275,377.77576
NSW-North Coast NSW,3917.8203,1409.8815,1603.3829,2026.1995,1319.4232,1392.0996,1588.7118,1329.3386,1522.5942,1950.6781,1666.2659,1889.3662
NSW-Outback NSW,168.28293,124.381454,153.76218,166.46617,165.3148,184.54495,222.61491,169.47087,351.96854,205.1124,161.45453,140.68002
NSW-Riverina,266.64917,236.33609,265.6488,267.48264,239.89607,251.77788,298.09552,244.50359,250.01572,260.71014,245.69588,262.78156
NSW-Snowy Mountains,365.826,237.16145,146.27364,274.37018,122.87565,174.3793,590.3695,607.7762,449.30118,250.81271,193.19856,178.36092
NSW-South Coast,2742.3215,961.9315,1001.0451,1372.826,661.3666,742.57697,781.9956,606.82477,760.0898,1021.76965,1057.7511,1012.0121
NSW-Sydney,3601.5015,2153.1204,2460.6187,2531.4443,2443.3186,2433.3542,2737.1711,2397.3284,2504.7026,2756.68,2668.8657,2502.0408
NSW-The Murray,298.77948,265.61075,236.95439,248.00087,224.0174,235.02458,268.37024,227.12273,255.72826,285.9161,255.34903,237.66765
NT-Alice Springs,124.844826,64.38533,68.192474,98.87372,97.43411,169.89658,159.07607,99.997086,94.94215,216.25551,84.03977,73.46394
NT-Barkly,26.659414,23.025745,18.422947,22.349644,27.384457,21.881237,34.492023,45.38134,22.832657,29.780865,19.27042,19.565247
NT-Darwin,278.80542,208.4302,229.56422,261.33972,286.73087,458.91852,580.27234,573.92224,412.0561,380.1936,255.40334,292.54437
NT-Katherine Daly,78.196,80.14418,79.66624,119.54171,143.70609,132.76527,126.55904,152.20386,173.34148,111.37199,91.03851,90.65451
NT-Lasseter,48.465694,29.334497,47.9067,59.183487,72.70612,83.813095,70.70934,64.06602,84.50078,75.745636,39.993523,34.31944
