,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,50083.12,24889.79,28063.441,33101.45,26367.137,26490.848,32959.793,29034.21,29825.295,33633.453,29501.477,28849.23
NSW,16481.37,7696.0737,8714.433,10514.119,8130.9033,7743.4585,9729.205,8288.674,8775.483,10286.35,8991.287,9060.26
NT,564.6647,395.57092,587.1246,675.371,735.9576,983.59937,1281.3644,1158.0894,992.9398,908.54395,572.0971,554.55707
QLD,10581.54,5911.725,5936.021,7520.4453,6459.559,6685.449,8935.083,8415.66,8651.23,8809.097,7383.607,7062.252
SA,3340.332,1542.3066,1909.6389,2221.1152,1729.3914,1590.3975,2034.7911,1628.1108,1727.889,2382.9983,1916.8022,1898.2388
TAS,2009.6141,1103.1067,1214.3468,1247.8746,800.83295,785.4849,720.17053,591.9659,701.71814,904.3132,959.42706,858.4777
VIC,11665.85,5317.424,6276.1934,7000.696,5487.8267,5235.3115,6472.9644,5450.247,5490.43,6446.958,6467.149,6219.854
WA,5439.7407,2923.5806,3425.6848,3921.824,3022.667,3467.1433,3786.2134,3501.4644,3485.6045,3895.1978,3211.1108,3195.5884
NSW-Blue Mountains,287.14362,175.3594,218.6559,301.0317,241.36565,234.90424,283.3432,209.5027,216.35173,265.4247,210.75177,202.21036
NSW-Canberra,758.79675,536.20715,613.6848,658.2147,522.41736,485.7732,723.922,582.8805,609.83514,713.54456,531.4212,528.1827
NSW-Capital Country,396.0982,205.4637,242.80507,287.30637,221.05139,215.49167,259.16022,208.54082,237.39618,293.3408,284.218,275.93228
NSW-Central Coast,832.1097,246.25888,320.095,299.97983,227.4561,194.76714,217.24678,185.48245,256.1011,324.05328,255.49915,328.4414
NSW-Central NSW,812.24005,527.181,597.97925,814.1568,574.11786,622.0194,641.4224,551.9759,591.6386,800.91534,608.65735,575.95465
NSW-Hunter,1356.881,726.9133,867.57227,965.0914,746.5818,698.0475,839.0008,767.4627,795.62726,866.1601,834.5505,892.45593
NSW-New England North West,609.59924,223.42622,275.02792,454.37073,312.67795,303.18475,355.10107,331.38663,323.249,429.25705,341.4409,313.01373
NSW-North Coast NSW,3754.8096,1422.9479,1537.4196,1972.0184,1524.0939,1272.8955,1631.7018,1426.5721,1553.2129,1971.1372,1745.721,1753.7646
NSW-Outback NSW,122.50505,57.77039,86.17472,187.71404,163.15791,148.07367,219.12726,216.58908,258.2674,223.90369,168.59924,132.21613
NSW-Riverina,291.2496,210.12767,201.68875,346.42886,253.0978,210.42805,245.22676,191.09247,253.46535,301.09488,199.06172,239.15408
NSW-Snowy Mountains,356.43866,163.19864,187.27852,225.15234,101.162125,160.42699,722.39404,525.6871,341.54446,183.7758,179.51973,197.94972
NSW-South Coast,3043.9424,881.6981,982.09186,1276.9672,667.56134,726.1798,763.9458,639.47345,677.5538,993.4461,913.97784,978.7461
NSW-Sydney,3500.603,2126.7808,2402.3801,2436.7498,2364.6357,2288.2888,2617.81,2291.5925,2378.7876,2696.5056,2480.7532,2340.864
NSW-The Murray,358.95374,192.74092,181.57942,288.938,211.52618,182.97798,209.80249,160.43533,282.45212,223.78995,237.11588,301.37433
NT-Alice Springs,88.39937,59.652027,77.32078,98.56063,84.10054,141.79211,163.5867,103.75734,135.30374,170.26007,74.21399,60.846916
NT-Barkly,26.563818,11.296121,11.562081,29.322311,14.9374275,16.331564,39.61985,43.148167,23.546503,27.237534,20.038721,14.738757
NT-Darwin,227.44707,178.32957,260.30365,263.1521,350.65524,480.41507,554.1438,607.42926,410.03998,349.176,225.45439,269.5122
NT-Katherine Daly,54.190792,29.261206,86.767426,106.42887,109.354195,115.55078,216.25542,157.30846,184.44482,134.03708,93.18611,81.509094
NT-Lasseter,54.279022,25.88229,29.349604,56.467854,54.502487,75.59124,110.16253,79.19974,70.47066,79.810905,37.300053,18.996956
NT-Litchfield Kakadu Arnhem,68.65632,58.542515,87.075356,80.37258,87.749725,119.115746,157.12715,130.38232,133.1944,107.784615,85.48995,73.38857
NT-MacDonnell,45.128326,32.607162,34.745655,41.06665,34.657887,34.802887,40.46882,36.863995,35.939682,40.23776,36.41392,35.564598
QLD-Brisbane,2702.8289,1583.7998,1610.6409,1984.5442,1705.9705,1688.4071,2113.1619,1899.7667,1942.8423,2094.5964,1900.748,1888.6232
QLD-Bundaberg,239.51883,89.518974,88.344955,184.01466,136.28098,125.552956,203.63103,195.97385,209.08998,155.25813,211.42877,170.70393
QLD-Capricorn,313.50836,223.59576,217.91507,329.17334,240.62917,292.84933,438.29697,372.8337,380.6522,352.47116,291.5119,261.3708
QLD-Fraser Coast,438.49173,113.27389,147.04941,255.85199,162.10074,166.10966,286.3901,263.2127,314.6113,283.2067,203.73448,254.6295
