,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,51194.54,26731.182,29001.027,36272.49,28386.258,28743.533,34246.914,30978.42,33415.47,36989.547,32545.564,32273.033
NSW,16954.025,8357.297,9103.579,11458.168,8702.961,8813.767,9910.503,9302.183,10097.435,11329.649,9923.601,10105.474
NT,596.6156,492.46207,483.71268,703.3072,766.1524,907.64044,1057.5879,1087.481,1049.1694,873.82214,581.7206,626.23566
QLD,10701.135,6156.9917,6039.6426,8146.651,7181.5674,7564.6245,9299.341,8845.705,9637.816,9542.836,8222.879,7894.485
SA,3517.4978,1647.2507,1969.2385,2322.1982,1822.4729,1875.2096,2142.184,1804.6241,2075.9429,2459.684,2226.213,2145.269
TAS,1913.8345,1186.1364,1200.0817,1426.084,887.14166,879.24963,878.05096,688.0296,857.27637,1108.1609,1018.215,906.0705
VIC,11961.665,5659.913,6555.384,8028.312,5656.1714,5512.535,6883.049,5823.795,5962.543,7287.071,6799.665,6750.112
WA,5549.7544,3231.1235,3649.3936,4187.7725,3369.7893,3190.5059,4076.2007,3426.608,3735.2878,4388.3223,3773.269,3845.3804
NSW-Blue Mountains,356.43243,241.35349,268.602,321.50287,276.21704,291.4127,279.99695,280.68335,316.97345,358.34995,309.22,319.44598
NSW-Canberra,725.82263,624.1142,564.56903,711.5014,641.94995,637.89514,665.68317,679.735,672.4274,707.37463,670.6657,641.92706
NSW-Capital Country,433.6209,269.41504,342.04413,337.5558,308.29657,297.51633,313.80222,321.0048,353.84332,389.3243,310.37344,349.59784
NSW-Central Coast,916.5008,312.50052,340.54352,418.4578,304.8783,288.58258,275.84933,274.5775,368.4232,439.92184,339.83005,433.4271
NSW-Central NSW,899.6395,617.4723,665.9132,1004.66296,681.9977,857.536,642.1944,719.6726,765.2352,912.0525,684.60425,770.5336
NSW-Hunter,1305.8273,695.473,753.3755,995.19086,716.9157,679.3513,869.2623,763.09753,790.0901,909.8388,856.78204,884.56726
NSW-New England North West,583.019,297.08014,365.82617,459.69037,415.11298,376.6789,437.4982,459.06055,438.80893,578.6646,402.9922,453.32254
NSW-North Coast NSW,3736.1677,1256.4772,1416.677,1937.6139,1260.8824,1197.913,1479.6176,1286.9269,1483.0546,1822.8247,1552.4553,1687.8942
NSW-Outback NSW,216.01993,96.52987,167.27698,258.75125,227.11679,212.26842,202.8302,218.8492,394.6229,271.51926,213.72237,186.5965
NSW-Riverina,333.87445,243.61642,263.00375,327.76935,264.1715,273.44116,301.6361,277.14252,308.1116,319.49524,295.6586,286.65753
NSW-Snowy Mountains,451.77628,280.76367,206.83829,361.38177,183.82663,236.18954,638.9837,667.89606,542.35455,348.29578,269.5461,234.00359
NSW-South Coast,2920.9514,916.0651,987.1922,1391.476,680.9576,735.9131,772.7182,639.49475,785.07324,1055.6663,1010.53625,1020.30646
NSW-Sydney,3668.9421,2198.7935,2475.2542,2598.4592,2470.9902,2425.2168,2705.2603,2415.1743,2534.4463,2817.3083,2662.0205,2534.4924
NSW-The Murray,405.43192,307.643,286.4626,334.15463,269.64783,303.85153,325.16956,298.8678,343.96997,399.01303,345.1945,302.70126
NT-Alice Springs,123.9104,74.7067,76.07115,122.365486,89.77862,129.24138,149.2745,110.84292,101.30407,116.56886,105.69194,92.25056
NT-Barkly,17.741823,24.571545,20.351524,29.275959,36.039047,23.657524,45.63942,59.097374,49.421535,42.4239,22.010805,26.058376
NT-Darwin,267.80283,259.20126,220.83978,265.09357,260.5444,424.1627,506.46603,498.91638,394.3564,400.4321,229.8389,289.00775
NT-Katherine Daly,69.54115,51.813267,54.937794,123.259056,141.01096,135.0922,131.58887,182.06073,192.04608,102.511635,69.97845,75.95515
NT-Lasseter,40.52361,28.707088,46.2518,64.89006,80.11875,82.790436,82.18481,82.317665,107.83075,86.040375,39.11207,35.56505
NT-Litchfield Kakadu Arnhem,67.31987,33.65518,43.55577,69.09775,119.735954,88.07878,100.85881,107.668106,150.36998,85.06232,89.22899,78.29875
NT-MacDonnell,9.775881,19.807024,21.70486,29.32525,38.92461,24.61746,41.57544,46.57774,53.840576,40.782917,25.859407,29.100016
QLD-Brisbane,2793.6719,1367.8389,1350.7572,1941.1744,1575.2804,1835.839,2109.2273,1799.1691,2032.7896,1984.6016,1974.5426,1879.7443
QLD-Bundaberg,244.38118,183.5875,200.25136,233.97969,248.9662,229.91866,263.99875,271.10397,303.4026,264.61465,248.6949,246.82278
QLD-Capricorn,397.14243,329.87338,293.82327,379.67566,401.98615,343.51486,440.59494,411.65213,469.3673,448.1811,427.60516,380.209
QLD-Fraser Coast,442.4483,173.35765,201.87888,298.69598,261.2467,273.4018,280.79868,423.71255,407.06638,376.99414,345.5643,321.32834
QLD-Gladstone,209.74869,168.88577,183.4897,214.1575,222.50372,210.52832,212.66118,224.60791,267.34998,245.27643,221.0016,208.00743
QLD-Gold Coast,1740.1492,946.8346,864.7935,1214.1858,802.7061,987.3716,1419.281,1260.5892,1168.7002,1341.9249,1213.6146,1100.4343
QLD-Mackay,383.93515,336.9585,355.56903,384.66876,396.8166,386.4001,388.8928,401.1414,444.19327,422.89056,398.7264,385.99463
QLD-Outback Queensland,382.68423,320.6959,336.1849,423.17563,446.99585,441.57986,462.44724,446.91852,597.38617,470.5841,433.38904,451.38034
QLD-Southern Queensland Country,536.35913,474.88702,491.21423,575.8602,526.96136,542.1482,537.0021,598.2371,638.0569,590.99695,571.93097,599.6071
QLD-Sunshine Coast,2012.2953,817.4515,843.2338,1107.38,867.90674,789.5347,1072.0994,1063.8505,1269.1222,1345.585,1004.7571,1023.415
QLD-Townsville,445.18805,297.02682,268.1844,390.47018,429.23788,381.04413,526.6448,415.19946,476.55118,491.7439,386.99985,405.91766
QLD-Tropical North Queensland,778.1714,538.7294,431.19318,696.6574,730.3371,875.601,1290.926,1249.8655,1207.3864,1232.8236,697.4582,607.47797
QLD-Whitsundays,334.9613,200.86412,219.06897,286.56927,270.62244,267.7426,294.76785,279.65692,356.44482,326.61874,298.59375,284.1465
SA-Adelaide,1152.2561,582.11316,726.4104,750.7479,680.3601,732.3557,746.3386,741.5727,779.76117,849.5118,799.04236,805.75934
SA-Adelaide Hills,92.664444,48.422897,49.204037,75.68769,66.02117,60.130253,66.978325,64.00144,76.30178,80.83037,71.2656,67.03811
SA-Barossa,80.65058,44.157146,49.951103,66.58093,56.788162,55.062115,59.92009,58.73456,70.92915,75.00224,65.80992,61.70907
SA-Clare Valley,73.52928,34.974083,40.102524,56.46967,47.01263,45.671307,50.533543,49.20635,60.68892,65.397675,56.11718,52.180325
SA-Eyre Peninsula,169.22452,131.02617,149.03447,177.69946,145.79616,134.70013,163.96684,145.74355,160.16531,166.28568,159.55844,159.86436
SA-Fleurieu Peninsula,535.42316,164.95941,161.71335,233.17088,118.25332,121.87945,151.27759,92.448,105.60961,210.23997,153.14636,198.41545
SA-Flinders Ranges and Outback,272.57846,200.30086,227.23978,254.22313,250.30019,255.83578,298.05386,280.54575,282.1429,374.07034,337.51602,248.21486
SA-Kangaroo Island,104.06049,26.099117,34.147175,60.589775,39.455902,39.466206,54.51311,37.574253,66.52891,82.84692,72.19057,54.068012
SA-Limestone Coast,301.61478,156.90857,203.74014,183.38258,158.55942,132.52722,162.25345,66.869385,132.64154,150.85919,165.95207,143.8046
"SA-Murray River, Lakes and Coorong",132.36148,63.367336,106.8882,96.471695,70.86931,75.7004,75.51711,82.33077,87.97477,111.15618,89.93871,90.66266
SA-Riverland,194.51369,80.592064,76.65222,127.56192,110.21688,101.2164,102.95807,85.7532,119.81523,142.7742,131.5262,104.10716
SA-Yorke Peninsula,408.62094,114.329956,144.15509,239.61249,78.83958,120.66455,209.87357,99.84406,133.38367,150.70955,124.14952,159.44528
TAS-East Coast,343.47107,131.38239,150.83926,184.90845,89.23751,95.94063,81.6871,59.778732,111.65153,118.31892,131.05646,131.06003
TAS-Hobart and the South,838.36115,489.78204,494.89548,514.00055,348.32993,317.24786,317.3256,253.40385,305.56516,434.16714,408.6477,368.64102
TAS-Launceston and the North,328.64658,322.5487,284.22623,286.02457,211.01523,214.26598,174.44612,150.47955,197.45612,225.17828,222.01389,180.84279
TAS-North West,301.79858,175.20882,191.47719,342.45898,170.00372,188.63196,215.22072,168.23482,170.59651,243.1495,172.50313,152.80273
TAS-West Coast,101.556984,67.21434,78.64355,98.69141,68.55529,63.163223,89.37148,56.132656,72.0071,87.34699,83.99388,72.72392
VIC-Ballarat,197.38669,147.19467,163.09866,199.18039,158.32639,170.05809,176.00183,168.20555,179.04173,205.71729,177.19739,174.52654
VIC-Bendigo Loddon,299.91397,218.56177,279.5537,279.46167,249.84146,241.03583,253.52496,258.58002,246.84726,275.6515,242.81892,263.70767
VIC-Central Highlands,144.7799,100.64369,121.01736,150.34218,112.36114,106.505974,125.38479,120.71411,127.856094,132.84908,122.39598,125.19335
VIC-Central Murray,523.5576,225.26044,225.47401,397.40393,159.43515,196.02185,215.3032,124.17133,170.57962,283.8309,275.2452,232.50995
VIC-Geelong and the Bellarine,831.25446,254.57582,394.9656,405.29456,252.87224,213.97163,296.46347,290.8635,242.00966,434.61215,310.36206,422.74985
VIC-Gippsland,755.3324,420.46918,285.9939,445.26102,203.2344,224.85568,303.43246,219.56895,336.554,329.80853,338.13766,338.74225
VIC-Goulburn,227.62096,199.51576,195.1424,242.89224,149.60672,179.61404,164.38925,152.3444,185.07527,164.4969,182.19025,180.89064
