,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,50887.043,26392.385,28665.309,36188.504,28140.799,28533.727,34311.74,30966.295,33541.56,36803.87,32450.844,32023.857
NSW,16597.645,8144.171,8862.99,11200.766,8649.664,8624.493,9715.086,9335.835,10290.163,11080.258,9766.833,9931.831
NT,597.0863,461.8651,468.10498,715.65204,763.0787,902.92035,1028.8558,1077.8899,1097.796,903.6437,564.11163,652.99835
QLD,10738.323,5988.6567,5948.274,8324.8955,7173.8335,7658.935,9465.686,8850.602,9665.193,9765.395,8324.142,7885.575
SA,3496.5676,1657.2461,1958.6581,2317.5996,1814.4618,1887.6812,2139.3801,1801.3257,2042.5668,2470.9956,2213.5276,2131.3567
TAS,1925.9963,1190.0753,1216.6543,1430.0038,879.1976,892.09064,876.288,674.55566,844.45654,1096.786,1009.2196,899.46155
VIC,11954.3,5602.8936,6519.5806,7889.517,5601.1147,5426.2896,6947.165,5853.5337,5942.9614,7283.785,6765.297,6679.8374
WA,5577.125,3347.48,3691.0476,4310.074,3259.444,3141.3218,4139.275,3372.5508,3658.4255,4203.011,3807.7153,3842.7966
NSW-Blue Mountains,329.45792,229.29327,254.13698,305.5691,275.0359,279.44653,268.87915,283.44543,333.49908,344.78244,299.58044,310.20233
NSW-Canberra,704.2241,606.68616,545.06915,692.273,637.5979,623.8445,649.83636,681.71094,685.875,687.62634,658.0109,627.771
NSW-Capital Country,406.6356,253.34302,327.29193,317.7924,304.1903,286.1426,298.9308,322.8154,366.41226,370.85516,299.4404,336.10565
NSW-Central Coast,887.1882,296.6188,322.82742,399.83038,300.08432,273.66132,261.77338,277.21512,381.4359,422.2999,328.57437,421.38965
NSW-Central NSW,875.71405,601.67944,646.75146,986.4909,676.6626,842.1898,628.4277,722.7145,778.5303,892.97205,672.9063,757.0351
NSW-Hunter,1280.5989,679.08044,733.91327,977.24664,712.1045,664.2987,854.5337,765.21704,802.2161,890.8461,844.59717,870.72064
NSW-New England North West,557.6161,279.82187,348.75455,443.0737,409.90186,364.1756,422.22284,459.72894,451.12952,558.8226,389.73376,439.07898
NSW-North Coast NSW,3708.7986,1242.0929,1400.1957,1919.3118,1255.9766,1183.6019,1465.234,1288.272,1494.9364,1804.4156,1541.6869,1674.9663
NSW-Outback NSW,193.94376,80.95778,149.66373,238.3491,222.19861,199.25476,186.10947,219.62381,406.22894,250.09885,200.5145,172.5352
NSW-Riverina,308.6349,231.08966,248.12369,309.08795,262.41663,259.0255,288.9835,279.23563,323.12564,303.0637,286.39697,275.65698
