,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,47894.23,25031.746,26687.56,32538.383,25475.598,26101.625,31230.025,27702.227,29151.105,33037.19,29535.436,29389.727
NSW,16012.359,7927.747,8477.497,10440.198,8010.5664,7917.547,9243.799,8362.399,8968.53,10253.366,9036.193,9343.889
NT,659.13477,473.64215,483.80035,642.07513,733.66,914.7766,975.271,1028.1237,951.681,837.0129,616.44965,635.8602
QLD,10064.69,5790.8843,5529.1377,7380.7993,6322.5337,6824.1543,8556.961,8109.065,8464.8125,8613.526,7445.9087,7236.71
SA,3237.0374,1611.5682,1897.8177,2108.046,1696.0074,1735.1338,1961.1727,1631.9458,1814.8685,2218.1846,2030.2322,1996.0668
TAS,1716.503,1058.598,1029.3301,1204.1495,770.9725,744.9549,749.30255,599.7187,726.2807,942.0727,872.3245,758.65234
VIC,11038.803,5185.1313,5833.8286,6936.9175,4965.1567,4841.5444,5972.456,4949.4775,4978.7637,6378.0293,6093.911,5917.643
WA,5165.702,2984.1755,3436.149,3826.191,2976.6926,3123.5142,3771.0632,3021.4941,3246.1704,3794.9927,3440.4058,3500.9004
NSW-Blue Mountains,288.73422,210.18196,223.47571,248.54616,226.83946,227.55524,233.03386,214.66782,237.33054,282.14706,246.01752,265.41522
NSW-Canberra,657.1211,593.5432,519.6542,638.51483,592.68066,573.69135,617.79065,612.0217,591.6655,630.6739,607.40326,587.1971
NSW-Capital Country,366.98526,238.18565,297.47983,264.65762,258.90317,233.47783,266.58194,255.50612,273.91577,312.71924,246.94832,295.94293
NSW-Central Coast,850.6585,282.85358,297.01447,347.38928,257.02698,225.43915,228.08247,208.52397,289.8288,365.12872,277.78442,380.29022
NSW-Central NSW,832.54694,587.46326,621.3829,932.58575,632.88007,794.38226,595.2619,653.3673,685.2662,835.1145,621.6697,716.6711
NSW-Hunter,1239.2869,665.54126,708.68445,922.9653,667.6668,615.17236,822.95355,696.33167,709.5255,833.1925,793.5195,830.6869
NSW-New England North West,516.44916,267.7198,322.59222,388.13647,366.94492,314.2015,390.60583,392.98083,359.7196,502.6648,341.57925,400.6416
NSW-North Coast NSW,3667.2324,1225.0315,1370.9922,1863.2013,1210.6252,1132.4619,1431.0546,1218.1748,1400.5269,1744.1127,1487.8114,1631.8324
NSW-Outback NSW,151.71147,66.4538,123.41209,188.12733,177.41579,149.26694,155.86601,151.9909,313.9482,195.87923,150.9258,132.66057
NSW-Riverina,266.14905,212.54938,217.8208,255.33606,215.27887,210.5935,254.77292,210.74364,228.52509,243.14624,232.0724,232.24207
NSW-Snowy Mountains,383.1364,249.06635,161.12457,286.4347,133.31038,170.41202,589.251,598.56335,459.46112,269.32748,204.79836,177.80022
NSW-South Coast,2856.1414,886.1499,943.7728,1321.0769,633.0747,673.2353,726.9838,573.8718,706.81335,980.9844,948.19366,967.2739
NSW-Sydney,3599.0908,2164.9414,2427.267,2522.0952,2416.9106,2357.6702,2654.1865,2343.664,2448.849,2736.4873,2594.6897,2476.3247
NSW-The Murray,337.11453,278.06616,242.8235,261.13196,221.00815,239.98752,277.3728,231.99123,263.15543,321.78815,282.7804,248.90909
NT-Alice Springs,133.11,71.318474,75.667694,113.82063,84.45744,130.03928,137.46388,101.98866,87.1006,110.94753,110.306656,93.196045
NT-Barkly,26.412504,22.914215,20.776403,21.314234,32.605576,25.475548,35.059566,51.47277,36.73724,37.660866,27.741848,27.866995
NT-Darwin,277.16595,255.74916,220.42897,255.14996,255.84277,424.95184,494.0767,489.88144,379.84018,394.51614,234.29266,290.1192
NT-Katherine Daly,79.15476,49.340866,55.42121,115.40387,136.47652,136.72229,119.85587,174.48929,178.67534,98.38603,75.601524,77.6908
NT-Lasseter,48.42086,25.76524,45.747757,55.627995,75.51895,83.34157,70.25344,73.50921,93.79937,80.369446,43.927345,36.53498
NT-Litchfield Kakadu Arnhem,75.89506,31.773607,44.041267,60.014645,115.10621,88.40727,88.65798,99.020325,136.32156,79.90447,94.17912,80.16032
NT-MacDonnell,18.975582,16.780613,21.717031,20.743801,33.652546,25.8388,29.903585,37.762016,39.206696,35.22838,30.40045,30.291842
QLD-Brisbane,2743.9512,1340.1733,1312.0286,1882.2935,1510.4291,1779.4886,2052.3152,1743.2909,1943.3431,1913.7585,1914.8483,1829.4111
QLD-Bundaberg,196.42018,156.739,161.90596,176.46265,184.24799,174.19937,207.4855,215.76588,214.33136,194.51192,189.8496,197.04105
QLD-Capricorn,347.67325,300.34415,253.78609,319.6455,334.69397,285.7299,382.4591,353.2921,377.1172,375.34888,366.9011,328.42957
QLD-Fraser Coast,394.64865,145.0927,162.19174,240.32097,194.96614,217.02914,224.06888,367.05283,316.9683,305.99487,285.7986,270.1689
QLD-Gladstone,160.15419,140.66751,143.98064,155.21149,157.1931,153.94827,156.13292,168.42456,178.30176,174.66316,161.91245,158.09964
QLD-Gold Coast,1687.6206,917.3203,824.3763,1152.2432,734.44147,927.9812,1359.3645,1201.4164,1075.8071,1267.3436,1151.3176,1048.3752
QLD-Mackay,333.56503,308.2413,316.0491,324.05515,329.9818,328.34497,330.34552,343.1338,352.91306,350.10156,338.02255,334.77737
QLD-Outback Queensland,334.64417,293.19772,297.25235,364.9826,381.33258,384.61343,405.54147,390.07645,506.29675,398.6729,373.52737,400.4373
QLD-Southern Queensland Country,488.7372,447.36734,452.31876,517.4291,460.94333,485.15433,480.29913,542.0758,548.4421,519.6909,513.0059,549.9735
QLD-Sunshine Coast,1964.9758,788.2964,803.30853,1048.9658,801.3307,732.617,1015.47314,1006.5416,1178.6075,1274.7715,944.73785,971.941
QLD-Townsville,397.60645,270.3734,230.69298,333.58463,364.73447,325.23538,471.02988,360.15344,387.3346,421.7242,328.78265,357.08563
QLD-Tropical North Queensland,728.1496,510.64648,391.40375,637.7973,663.6882,819.36115,1234.4469,1194.32,1118.0094,1161.2202,637.7358,557.20184
QLD-Whitsundays,286.54428,172.42458,179.84283,227.80785,204.55106,210.45105,237.99797,223.52158,267.34006,255.72392,239.4692,233.7677
SA-Adelaide,1122.5933,576.4382,717.4927,727.8604,666.46136,718.65265,727.4985,723.6987,752.8404,824.0239,778.29846,789.0578
SA-Adelaide Hills,69.33854,44.726295,42.641815,57.712284,54.909,48.17483,51.123016,49.147377,53.53276,60.38871,54.79739,54.74319
SA-Barossa,58.281837,42.445343,44.985767,50.542892,46.967842,44.306004,46.16728,45.084587,50.286636,56.719955,50.604664,50.492012
SA-Clare Valley,51.668785,33.184326,34.985466,39.962746,37.68876,34.932686,36.51151,35.87727,40.941887,46.985416,40.79233,40.668976
SA-Eyre Peninsula,146.99834,129.29489,143.84686,160.58139,136.79933,124.18963,150.13333,133.03055,139.93298,147.2864,144.41412,148.93044
SA-Fleurieu Peninsula,510.31912,161.36241,155.62639,214.32095,108.47773,109.59354,134.90176,77.346725,84.31827,188.99321,136.17433,185.10452
SA-Flinders Ranges and Outback,250.00444,196.93668,221.5973,235.771,239.12836,243.51012,282.45505,265.32718,259.4431,352.31815,320.7129,235.24731
SA-Kangaroo Island,81.2183,23.077862,28.379602,43.174488,28.563944,27.736649,39.386505,23.840836,45.54779,63.247456,56.381428,41.97553
SA-Limestone Coast,279.29596,155.14383,198.9173,166.83742,149.15575,121.631775,148.55183,53.840954,112.21799,132.04572,151.24413,132.8469
"SA-Murray River, Lakes and Coorong",108.2488,59.851875,100.309326,77.3828,59.646873,63.331985,59.776806,66.72258,65.29953,90.35869,72.64658,77.36363
SA-Riverland,171.07494,76.524315,69.48897,109.37875,98.183914,88.7415,87.228386,70.41933,96.22994,122.09702,114.087135,90.78959
SA-Yorke Peninsula,387.99515,112.58212,139.54628,224.52086,70.024506,110.33234,197.43869,87.60983,114.27722,133.72014,110.07864,148.84695
TAS-East Coast,301.73373,104.10974,115.16512,138.50298,64.9175,68.28239,53.81873,40.85851,84.74626,83.634895,100.52918,99.80161
TAS-Hobart and the South,800.066,464.78842,461.0041,470.28284,324.91818,289.9403,291.96442,235.69995,278.8782,401.4078,379.68158,339.3848
TAS-Launceston and the North,289.85837,298.67816,251.35034,243.2019,189.51144,188.57721,149.85825,134.1002,173.05,193.97217,194.51558,152.63132
TAS-North West,261.86633,149.2692,157.24342,297.56845,146.8805,161.51852,189.36505,150.31418,144.74268,209.41904,142.95172,123.3201
TAS-West Coast,62.978653,41.75242,44.567165,54.593388,44.744785,36.636402,64.2961,38.745808,44.863567,53.638733,54.64648,43.514503
VIC-Ballarat,153.76453,125.40399,129.39905,148.37642,126.89611,139.79413,135.05577,129.30402,134.30664,164.00279,145.46472,136.50815
VIC-Bendigo Loddon,254.66508,196.56526,244.89381,227.63608,216.87912,209.72908,210.8824,217.38892,199.64543,232.53505,209.09483,224.06496
VIC-Central Highlands,100.575356,76.84059,85.84369,97.56125,79.06961,74.37346,81.6659,79.30994,81.52366,89.90022,88.46041,85.44325
VIC-Central Murray,482.46292,202.36145,191.09584,345.78088,126.54695,163.82358,171.90108,81.4219,123.80318,241.46176,242.14568,193.10698
VIC-Geelong and the Bellarine,787.42615,231.02782,360.43506,352.36124,218.70108,180.54703,252.20981,247.39798,193.5016,390.34378,275.97083,381.88004
VIC-Gippsland,710.577,398.91144,252.43857,393.04086,171.4365,193.52565,261.1095,178.91846,290.8285,286.51996,304.82343,299.5785
VIC-Goulburn,185.42004,176.75186,161.38806,191.91295,116.50018,147.80576,121.955376,110.739586,138.88258,121.58254,148.45137,141.4465
VIC-Great Ocean Road,1361.7408,470.0576,532.7736,578.08295,322.45053,259.879,326.12488,303.95462,280.59756,361.16742,409.57367,495.231
VIC-High Country,750.97687,231.01582,344.23135,480.86563,325.9511,271.11566,532.5382,492.28595,392.94894,342.36475,370.79013,328.59592
VIC-Lakes,420.87476,209.04224,248.49336,356.0362,204.86453,160.18414,172.01244,70.59665,120.95762,237.21977,215.74791,156.96309
VIC-Macedon,92.28391,70.05615,74.49988,86.56266,74.27706,65.484535,73.42061,79.26645,68.241554,75.479805,78.25599,74.55063
VIC-Mallee,190.23114,170.03075,184.01807,246.37984,251.39828,165.57632,222.78108,167.82922,183.90082,276.63153,196.32913,153.73009
VIC-Melbourne,2860.507,1645.2705,1992.4009,2268.306,1877.7517,1989.9302,2406.116,1992.6019,1939.6434,2483.3403,2294.3127,2173.5364
VIC-Melbourne East,156.77296,130.88411,141.12724,145.29501,137.85469,125.071014,142.12828,127.027466,128.1381,142.50587,141.83762,152.32506
VIC-Murray East,55.494606,40.33577,41.661686,48.94135,42.63615,38.148407,39.71131,40.543213,41.05574,48.811523,45.483635,46.79079
VIC-Peninsula,1276.5212,351.15155,341.6956,393.56592,232.75511,240.09554,331.849,164.25002,244.71004,308.05594,367.8468,333.32425
VIC-Phillip Island,768.2299,183.59723,208.4653,216.47432,133.02505,112.43738,177.3862,163.57298,129.0492,229.88301,246.087,202.9848
