,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,48030.76,25160.553,26792.72,32920.348,25610.188,26264.996,31412.54,27835.219,29482.656,33296.34,29610.762,29489.309
NSW,16074.155,7966.624,8559.298,10577.0625,8110.7227,8075.092,9295.249,8452.358,9122.703,10408.192,9125.934,9418.154
NT,578.4819,462.3241,444.06003,617.43536,694.009,858.64795,962.54266,1017.5912,931.90173,777.89716,559.7873,589.1691
QLD,10013.3955,5800.3623,5519.677,7452.137,6357.6074,6854.154,8596.52,8084.522,8550.603,8683.012,7497.0356,7209.614
SA,3279.3545,1610.7789,1882.9932,2130.1436,1667.8119,1707.7012,1950.314,1585.633,1802.7677,2203.746,2011.5986,1984.9635
TAS,1739.4023,1066.9451,1043.4983,1225.0088,769.2096,748.5849,748.59924,572.37305,714.9431,943.3046,872.8168,760.5536
VIC,11172.477,5266.488,5920.9297,7058.8105,5028.5967,4940.914,6063.6494,5070.2524,5075.508,6463.281,6113.7295,6029.316
WA,5173.507,2987.0337,3422.2656,3859.7473,2982.2297,3079.899,3795.6743,3052.4858,3284.2375,3816.9053,3429.8652,3497.538
NSW-Blue Mountains,295.38992,213.49644,229.84396,259.41614,234.06775,239.34004,237.39348,220.80272,248.15623,293.58694,253.18483,271.54294
NSW-Canberra,661.274,596.8131,525.9193,648.7337,600.04767,584.88306,621.2703,618.80756,603.0065,641.76245,613.92084,592.74
NSW-Capital Country,370.1802,240.91974,302.81396,273.71884,265.34158,244.50739,269.7867,261.12378,283.86777,323.1552,252.82663,300.14398
NSW-Central Coast,852.62305,285.83362,302.58112,356.14993,264.21713,236.60007,232.01881,214.71982,299.53653,374.95938,284.21103,385.49265
NSW-Central NSW,837.701,589.8329,627.21326,942.3567,639.7869,805.1728,598.2254,659.3549,695.1406,845.96326,627.6003,721.6834
NSW-Hunter,1243.2406,668.16174,714.15814,932.7587,674.5792,626.63916,826.0247,703.1079,721.04346,844.49036,799.6208,835.38574
NSW-New England North West,521.81036,269.90256,327.58017,398.01227,373.00128,324.66888,393.6697,398.1386,369.78763,513.3264,347.044,405.1634
NSW-North Coast NSW,3671.8516,1228.2856,1377.4292,1873.4994,1218.5162,1144.7919,1435.2478,1226.0073,1413.2421,1755.9813,1495.3162,1638.4337
