,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,53880.395,24896.309,28446.264,35295.1,26637.857,27133.885,33751.914,29060.297,31234.682,35537.25,29781.895,29811.309
NSW,17945.154,7794.509,8845.262,11401.961,8212.601,7922.057,9861.496,8186.159,8985.211,10743.133,9075.94,9516.845
NT,631.56384,412.5168,508.2648,694.51654,735.03,941.7489,1282.279,1262.6528,959.7825,1062.9921,675.37,558.32904
QLD,11458.571,5665.586,5970.0073,7901.522,6492.798,6909.26,9109.322,8586.47,9270.455,9319.656,7327.0996,7209.436
SA,3641.5564,1612.6759,1915.0104,2402.2532,1816.378,1706.0045,2139.639,1659.1439,1876.3301,2473.671,1988.8623,1938.8553
TAS,2176.9521,1100.9747,1200.8131,1287.3599,798.0645,798.7298,861.96014,590.6398,745.59485,943.72235,951.46643,939.78564
VIC,12288.665,5424.0693,6523.19,7420.679,5569.5215,5483.274,6513.644,5285.6787,5578.3325,6542.83,6315.513,6266.8
WA,5737.9316,2885.9805,3483.7163,4186.812,3013.4617,3372.8108,3983.5713,3489.5557,3818.9785,4451.2344,3447.6462,3381.2515
NSW-Blue Mountains,389.3119,168.49313,208.87021,353.0761,239.77185,247.70157,320.6923,192.4696,215.40538,304.74988,223.53464,204.56134
NSW-Canberra,828.74896,517.1722,607.8104,702.9949,571.3677,524.8625,735.3084,541.3561,623.8513,749.01605,553.0612,586.1866
NSW-Capital Country,435.29712,195.76929,260.85764,376.36057,246.7754,227.52473,277.06116,202.66083,257.10962,329.07,308.8235,262.6104
NSW-Central Coast,942.68207,309.25397,299.056,419.3091,246.68402,248.0242,288.95013,218.86586,261.4675,343.21494,279.22546,410.85272
NSW-Central NSW,978.1211,483.847,564.05927,857.4702,537.59155,575.19763,675.414,508.70914,589.7721,876.031,702.1425,586.7973
NSW-Hunter,1685.175,705.5648,831.3035,1113.8568,724.17487,680.6961,816.8038,717.1723,753.15173,881.4449,798.0731,891.2926
NSW-New England North West,645.5635,279.30206,372.347,477.12097,338.30045,365.19073,405.59146,378.97226,358.1474,456.30606,364.77435,326.05887
NSW-North Coast NSW,3967.1711,1429.1887,1523.84,1997.9552,1340.174,1257.9912,1585.3793,1369.6329,1545.1304,1930.0836,1600.5046,1655.5
NSW-Outback NSW,195.00273,95.933495,111.13811,219.10623,180.60677,150.7002,233.18915,181.65303,298.3981,233.60748,189.55194,303.2821
NSW-Riverina,376.3091,188.86336,248.457,401.70538,262.05573,228.16005,284.19708,201.69875,246.9135,330.145,226.08037,268.83603
NSW-Snowy Mountains,394.01074,174.70445,185.7107,267.22684,136.42163,183.22284,583.18994,503.69464,374.82202,243.1865,195.59778,212.27817
NSW-South Coast,3057.6785,922.8871,1009.1266,1343.8267,823.47485,720.9325,822.1554,685.1354,717.872,1059.6111,880.23663,1030.6897
