,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,51519.28,24718.68,27845.238,34950.055,25911.238,27378.293,33596.883,28579.467,30876.95,34936.28,29410.385,30083.117
NSW,17213.771,7703.9287,8643.295,11134.46,7989.902,7851.644,9644.773,8017.9927,8794.183,10472.63,8872.394,9441.009
NT,635.5841,431.41718,512.6249,801.7117,725.08405,1035.1697,1397.947,1273.6257,1015.23206,1125.5846,726.3196,663.67346
QLD,10886.802,5581.0146,5811.176,7690.974,6296.8433,6862.6514,8937.284,8428.206,9112.768,9081.401,7170.798,7171.5947
SA,3564.0576,1639.166,1914.1849,2563.9458,1782.6993,1855.1951,2311.4822,1663.1925,1950.8741,2553.3906,2065.4912,2114.825
TAS,2041.7991,1097.6669,1174.0013,1283.7037,766.07697,823.64795,863.6309,573.2704,732.9811,926.55237,943.6132,969.6305
VIC,11595.748,5396.9214,6362.835,7322.08,5400.1997,5575.139,6488.0483,5170.9233,5489.1587,6393.592,6224.5664,6336.562
WA,5581.5137,2868.5679,3427.1196,4153.1875,2950.4233,3374.8423,3953.7156,3452.254,3781.7532,4383.125,3407.2017,3385.8213
NSW-Blue Mountains,328.13504,161.10475,193.98909,330.82996,223.75397,240.45906,299.9959,179.88312,198.14383,284.2436,206.85982,198.33011
NSW-Canberra,771.5072,511.69357,593.04834,681.43884,556.14197,520.59076,717.64124,529.2043,609.17706,729.57355,538.3001,581.608
NSW-Capital Country,389.19327,189.42758,247.78499,357.6924,230.87733,219.99794,258.07455,191.49422,241.13074,309.71298,297.43268,260.00607
NSW-Central Coast,897.43835,302.7953,286.7775,406.45944,231.27269,245.37144,276.11765,208.49413,248.43706,327.90448,268.65982,409.06876
NSW-Central NSW,927.2663,478.23,547.7125,835.3098,520.96747,567.0998,660.01654,495.17847,576.4818,851.6118,686.8623,580.02216
NSW-Hunter,1632.8712,700.35236,821.5951,1097.068,709.00214,676.5019,800.6248,705.5333,740.4411,867.7953,784.85986,887.13007
NSW-New England North West,589.84247,272.49548,357.87973,456.40524,323.3758,361.1859,396.17184,365.96082,351.18054,437.6832,350.9175,320.61984
NSW-North Coast NSW,3915.6482,1422.9875,1506.0165,1974.4288,1323.1566,1252.8918,1565.9927,1356.6465,1528.6475,1904.6367,1582.9885,1645.4867
NSW-Outback NSW,137.59073,88.2823,96.76331,199.24574,164.93597,147.07098,225.01898,170.86389,288.99734,215.47943,172.7393,297.22925
NSW-Riverina,331.91293,181.10231,233.23209,386.65866,244.94534,225.56287,267.2496,189.88464,231.98929,310.66055,211.67082,262.45844
NSW-Snowy Mountains,334.99,167.64827,172.5586,250.48253,120.667046,178.93503,570.50055,493.0626,362.18317,227.07848,180.23524,207.80331
NSW-South Coast,3009.768,916.4271,994.874,1328.1761,808.2882,715.9308,805.31995,673.3696,702.9958,1041.1683,867.3576,1026.3986
NSW-Sydney,3502.1309,2124.7434,2359.3667,2503.3467,2313.8103,2279.3616,2576.185,2271.9343,2429.6455,2710.4785,2468.1,2444.9841
NSW-The Murray,445.476,186.6375,231.69691,326.91843,218.7075,220.68431,225.86424,186.4827,284.73178,254.60268,255.4088,319.8635
NT-Alice Springs,90.1431,81.80505,53.418118,118.41676,73.749954,122.81449,163.9667,118.92974,133.59178,190.74419,126.45762,77.97201
NT-Barkly,37.392868,15.94092,18.672867,55.553123,22.204058,42.856888,61.692036,42.336838,50.42312,50.00277,35.50819,38.453087
NT-Darwin,207.49182,168.83586,225.78244,251.86649,301.23596,411.7929,573.4487,646.1282,406.32803,451.76486,245.35733,272.20822
NT-Katherine Daly,126.67675,50.48841,77.02188,127.15564,122.241486,171.56403,213.53127,164.36444,153.63629,155.94925,118.846306,101.10526
NT-Lasseter,59.93624,32.228214,37.82248,82.337204,66.68962,97.539764,132.2723,81.419044,83.24002,101.124916,56.078316,45.80799
NT-Litchfield Kakadu Arnhem,64.39056,49.924606,67.544945,106.4066,100.43573,127.890884,169.26265,172.71442,126.031845,114.16436,102.7464,78.425606
NT-MacDonnell,49.55281,32.194107,32.362125,59.97583,38.527233,60.71072,83.7733,47.733208,61.98094,61.834236,41.32543,49.701317
QLD-Brisbane,2824.7844,1566.8032,1599.1777,1979.7285,1726.2289,1697.3014,2047.5763,1842.8014,2001.9141,2067.58,1882.5743,1831.8099
QLD-Bundaberg,259.82123,94.83081,108.09525,193.52576,152.18633,144.02342,210.15523,210.0974,241.57927,171.65155,193.61682,187.67918
QLD-Capricorn,333.88135,204.05084,212.75984,354.86014,256.3462,333.5178,412.3302,394.1226,407.95016,385.40134,276.77798,282.14752
QLD-Fraser Coast,395.36688,100.88958,123.30132,247.77554,139.53203,187.98312,264.90735,285.07248,304.71115,286.7235,202.62099,229.70917
QLD-Gladstone,171.16342,154.97955,157.52661,186.43953,155.14929,175.80795,184.39377,157.0579,168.62231,175.18665,169.87292,179.08366
QLD-Gold Coast,1994.347,945.12897,943.18616,1188.7773,850.36066,936.7955,1212.5443,1152.677,1369.4827,1415.2599,1279.2935,1038.5679
QLD-Mackay,349.0561,236.3734,233.46246,288.46112,290.93967,342.8696,428.8616,365.4566,330.41168,373.31552,269.89478,278.80173
QLD-Outback Queensland,326.69122,334.80722,239.48413,382.2995,363.79663,368.7629,499.0283,478.87347,548.21045,408.7821,303.74594,342.59042
QLD-Southern Queensland Country,565.2906,333.81503,442.64847,535.2781,400.0115,490.41467,579.91296,468.51477,500.08032,543.6656,414.8441,514.0464
QLD-Sunshine Coast,2215.4207,812.84,821.7383,1057.6487,781.3492,795.4741,1104.2655,1079.5828,1266.065,1345.8794,978.998,1063.0759
QLD-Townsville,386.25717,191.00589,274.0271,354.3168,306.03268,338.27798,540.13666,537.9195,477.1302,397.72238,271.067,291.28662
QLD-Tropical North Queensland,769.7153,468.5638,462.6075,637.9603,678.4418,828.8148,1146.5857,1168.8081,1151.7905,1134.9735,687.1052,555.1815
QLD-Whitsundays,295.00705,136.92688,193.16116,283.90292,196.4687,222.60857,306.58557,287.22275,344.82007,375.26086,240.38571,377.61472
SA-Adelaide,1196.0947,643.65247,777.476,823.2526,700.64404,654.9072,787.89496,667.5985,718.92725,820.5975,743.5028,897.0612
SA-Adelaide Hills,65.77347,49.83993,51.979923,77.02902,49.991108,68.80883,78.39699,51.198612,62.150475,68.10684,63.753334,71.191956
SA-Barossa,82.68401,29.905674,44.672535,88.35782,42.895943,60.283005,78.82416,33.824787,53.73119,73.58397,71.538994,64.904945
SA-Clare Valley,68.013214,26.192472,53.298878,63.493507,44.198387,46.973846,66.288475,31.854391,43.58384,57.11821,59.19102,49.360016
SA-Eyre Peninsula,219.31715,110.46396,155.53944,198.23238,141.23457,115.65394,177.17546,143.44156,128.32422,192.55829,137.64198,129.02733
SA-Fleurieu Peninsula,489.7243,168.22675,160.99355,228.06328,128.0048,141.08678,174.09683,94.00404,117.90332,194.66357,154.82487,176.72241
SA-Flinders Ranges and Outback,221.1849,212.10397,165.92996,312.09747,238.5432,276.17923,399.37726,309.6553,405.36792,513.2572,322.6947,180.92224
SA-Kangaroo Island,112.70216,39.967537,48.405025,86.76928,38.679996,41.325035,61.93074,30.404156,41.19403,68.644966,51.121643,62.075676
SA-Limestone Coast,331.86047,147.12033,157.16374,206.34088,134.58752,143.74475,145.5403,95.00783,110.03168,164.96606,144.57565,147.21089
"SA-Murray River, Lakes and Coorong",167.22812,48.87706,78.97327,109.044846,71.438576,72.76649,85.059265,59.36364,77.47286,104.879654,87.29094,81.20558
SA-Riverland,220.025,57.583725,87.367836,162.40106,85.55223,107.94556,110.32466,72.26995,96.91045,130.1162,104.5196,94.25984
SA-Yorke Peninsula,389.45078,105.23201,132.38487,208.8634,106.9289,125.52039,146.57333,74.56983,95.276764,164.89809,124.83559,160.88277
TAS-East Coast,434.81647,160.76567,172.64796,248.02626,80.81095,128.49976,89.072815,63.479412,117.98788,111.1099,126.88248,150.63167
TAS-Hobart and the South,782.71954,468.6739,496.07568,493.2289,353.01355,349.79428,401.8711,266.15005,321.65814,411.052,385.65475,392.75967
TAS-Launceston and the North,361.0313,217.15147,239.65833,222.42966,145.3163,153.06366,163.05733,129.0932,120.0764,174.4276,188.74661,175.9822
TAS-North West,381.41132,200.47804,205.54837,246.59494,147.71005,148.32541,162.02751,95.04403,137.96967,175.97366,188.38814,196.93654
TAS-West Coast,81.8203,50.59778,60.071026,73.423935,39.22614,43.964836,47.60218,19.503736,35.28903,53.989132,53.94126,53.32042
VIC-Ballarat,208.5625,113.97728,151.84665,179.90125,128.49368,154.67671,157.17215,122.39081,141.83688,170.75777,156.28595,149.72177
VIC-Bendigo Loddon,393.44263,196.69896,237.83727,319.61972,172.73572,265.0822,242.74994,190.58936,204.63156,247.30109,222.21121,215.64717
VIC-Central Highlands,146.44087,53.73203,251.6182,153.32709,64.4152,78.22682,94.701096,64.542656,78.13858,102.63423,107.803986,88.34572
