,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,51891.13,25690.967,29349.352,35131.875,27668.363,28023.39,34441.094,29956.584,32110.76,36734.98,30834.996,30518.756
NSW,17343.047,7976.3867,9073.601,11371.72,8483.539,8166.38,10039.683,8432.994,9152.707,11026.445,9340.935,9673.528
NT,524.76013,458.06335,547.49097,711.24945,790.5809,1006.7928,1372.755,1349.1847,1026.1708,1138.3816,741.1992,611.78723
QLD,10988.694,5854.7666,6241.954,7930.8525,6766.768,7166.965,9293.312,8821.655,9465.515,9600.279,7631.021,7413.8076
SA,3500.063,1690.9565,1989.1145,2413.6714,1911.2123,1796.1215,2215.0728,1739.1521,2005.3517,2636.6184,2102.9758,2036.3195
TAS,2066.6143,1153.8212,1261.7046,1267.0123,861.2704,845.53485,894.20374,638.514,801.95795,1024.0677,1013.52374,983.0707
VIC,11865.279,5602.475,6676.233,7242.999,5762.1465,5590.381,6589.3574,5433.8135,5791.314,6780.2754,6465.679,6365.886
WA,5602.6846,2954.4927,3559.264,4194.366,3092.8477,3451.2107,4036.7122,3541.2708,3867.7485,4528.917,3539.6597,3434.356
NSW-Blue Mountains,339.93564,183.15292,225.51288,346.5713,259.15067,267.92596,331.06763,210.81993,224.41972,324.3409,243.20758,215.80026
NSW-Canberra,786.11945,530.26825,623.1824,696.16534,592.0128,541.75696,746.5215,560.7838,633.8701,768.7032,570.39685,597.22363
NSW-Capital Country,402.9572,206.55634,277.9423,377.87262,267.76135,242.39938,289.43405,218.65857,267.80908,351.7683,330.5075,275.39728
NSW-Central Coast,905.05975,318.9775,311.89496,418.9263,261.3508,263.35022,295.98148,237.10493,269.29224,360.94257,296.8557,421.79443
NSW-Central NSW,938.2065,497.07132,577.85815,847.9001,558.20764,590.43994,691.0397,524.91705,605.6088,894.31415,719.9072,595.3865
NSW-Hunter,1643.9133,718.8065,852.9379,1117.0892,745.3303,699.65936,830.7407,734.0686,768.1145,908.62213,817.8549,904.6098
NSW-New England North West,593.7329,293.7103,389.4604,468.16794,357.25464,383.44125,423.40076,392.0333,375.36267,476.6961,386.02972,335.74725
NSW-North Coast NSW,3923.0,1444.4429,1536.3297,1995.5935,1355.915,1276.2666,1592.5873,1389.5503,1553.6775,1942.99,1616.34,1663.5835
NSW-Outback NSW,141.57999,109.4688,129.13866,215.45651,199.31879,168.56079,251.89853,198.98877,312.806,253.21524,207.76035,314.32556
NSW-Riverina,342.83914,199.27386,263.79007,408.72046,279.0867,245.70811,292.79797,222.09058,256.55975,349.39883,244.03262,280.2643
NSW-Snowy Mountains,345.31506,185.40314,203.7927,266.37775,156.88672,199.57361,598.29517,522.10443,387.7971,266.4378,213.00919,223.48509
NSW-South Coast,3018.7815,934.58453,1023.423,1343.6919,842.2872,736.89984,830.7787,705.5748,727.3684,1078.3,898.8387,1041.7413
NSW-Sydney,3511.7302,2146.072,2393.9883,2523.417,2354.1467,2306.6477,2610.0671,2301.4895,2459.0864,2756.2378,2505.3533,2465.7605
NSW-The Murray,449.87662,208.59877,264.3496,345.76993,254.8287,243.75119,255.07211,214.80939,310.93585,294.47842,290.84088,338.40958
NT-Alice Springs,69.40851,84.64624,55.212097,101.61066,83.47804,120.11932,160.33566,128.46164,135.39314,189.91449,125.15234,68.771324
NT-Barkly,20.510843,19.971241,24.367233,44.185684,32.09825,39.289276,56.995586,54.03061,51.798836,53.576954,40.66137,32.0588
NT-Darwin,192.90904,172.46545,232.67365,242.58429,311.07086,408.17435,568.4181,655.15656,407.05276,456.60226,250.57706,266.41168
NT-Katherine Daly,107.68819,55.09247,84.39847,112.17818,130.90498,167.9303,211.85678,177.92111,156.47426,154.89049,119.968346,92.06399
NT-Lasseter,46.534065,36.82869,42.870358,73.74545,77.389534,93.71956,128.405,90.453705,85.00341,105.684586,58.30482,40.781517
NT-Litchfield Kakadu Arnhem,53.460793,53.725967,71.77347,94.92001,109.68498,124.88092,168.98926,183.46225,128.50264,119.84683,107.82486,73.80846
NT-MacDonnell,34.248695,35.333305,36.1957,42.025215,45.954247,52.67906,77.754585,59.69876,61.945763,57.865967,38.71045,37.89141
