,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,10289.0625,10204.962890625,10225.13671875,10257.1728515625,10211.74609375
1,10219.27734375,10250.90625,10063.3408203125,10150.8203125,10106.287109375
2,10081.857421875,10039.5849609375,9975.87890625,10144.1015625,10021.162109375
3,9878.111328125,9932.759765625,10033.5791015625,10133.5732421875,10143.0146484375
4,9602.1484375,9929.5478515625,10076.658203125,9886.525390625,10145.4453125
5,9848.7998046875,9820.1953125,9971.0517578125,10035.2939453125,9945.47265625
6,10215.15234375,9763.4619140625,10116.6708984375,9922.1474609375,10017.6474609375
7,9658.435546875,10058.8896484375,9809.537109375,9858.8232421875,10030.091796875
8,9800.5205078125,10381.75,9795.12109375,9672.185546875,9855.189453125
9,9590.7626953125,9892.7001953125,9868.08984375,9616.28125,10015.68359375
10,9873.931640625,10140.90625,9956.841796875,9989.6845703125,9679.556640625
11,9656.5224609375,9891.5849609375,9730.2548828125,10157.5078125,9564.296875
12,9801.9072265625,10021.041015625,9799.81640625,9658.3544921875,9647.9375
13,9728.5166015625,9906.1162109375,10057.1171875,9527.1875,9750.3125
14,9580.2333984375,9601.720703125,9738.6171875,9704.1689453125,9606.71484375
15,9446.4013671875,9872.0810546875,10063.6689453125,9508.09375,9828.9296875
16,9940.251953125,9675.2900390625,9751.68359375,9769.943359375,9927.6767578125
17,9490.34765625,9642.1640625,10005.0478515625,9187.0205078125,9629.41015625
18,9241.55859375,9674.3388671875,10001.7373046875,9888.716796875,9823.9853515625
19,9472.646484375,9584.7109375,10070.0146484375,9693.2666015625,10064.6650390625
20,9771.6728515625,9835.41015625,9964.779296875,9710.169921875,10210.2509765625
21,9218.873046875,9404.892578125,9718.5,10288.7392578125,9905.34375
22,9020.369140625,9321.69140625,9909.216796875,9341.185546875,9536.587890625
23,9180.6533203125,9514.619140625,9558.349609375,9879.185546875,9648.2275390625
24,8940.287109375,9772.52734375,9513.1875,9378.4921875,9424.2841796875
