,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,44489.84375,45321.92578125,44315.30859375,45315.16015625,44875.53125
1,43989.0625,43962.8671875,43407.015625,44322.05078125,43837.53515625
2,42556.01953125,43743.359375,43261.578125,43712.890625,43161.7421875
3,42776.37890625,42904.7578125,41987.08203125,42626.8203125,42382.8828125
4,41879.3515625,42725.66796875,41987.61328125,42796.625,42765.0703125
5,41514.734375,41694.8828125,41562.25,42920.81640625,41555.69921875
6,41605.546875,41387.44921875,42590.48046875,42288.07421875,40836.64453125
7,41865.171875,41228.94140625,40796.375,41650.015625,40430.80078125
8,40014.296875,41262.2421875,40473.3828125,40778.41015625,41121.6484375
9,40068.65625,40734.91796875,40805.20703125,40996.21875,40684.46875
10,41051.96875,40619.58984375,40298.83984375,40426.39453125,39264.8359375
11,39200.66796875,41278.40625,39573.0078125,40739.71875,39800.41796875
12,38438.2578125,40251.51171875,38936.390625,40195.68359375,38669.8125
13,38261.28125,40140.93359375,39083.6953125,39120.44921875,39897.1796875
14,38443.42578125,38277.0703125,37726.7421875,39438.55078125,38324.33203125
15,37752.90234375,39493.5078125,37894.765625,38726.23046875,37751.734375
16,37101.0390625,37817.81640625,37526.51953125,38821.96484375,38699.5078125
17,38028.33984375,38227.29296875,37261.37890625,38288.81640625,37118.15234375
18,36365.5,37603.8125,36197.33203125,38122.1328125,35692.640625
19,36699.15625,35960.98828125,36538.0703125,37314.12890625,36429.68359375
20,37262.90234375,37026.9921875,36392.6328125,36256.64453125,35892.375
21,33980.484375,35175.75,36580.5,36271.58203125,35334.30859375
22,34981.59375,33533.46875,34465.3203125,35172.50390625,34513.74609375
23,33280.34375,32661.6875,36139.05078125,35633.1796875,35482.234375
24,34011.51953125,34489.265625,34113.7109375,35641.08203125,35212.890625
25,33642.10546875,32270.587890625,34740.21875,33618.05078125,33658.48828125
26,33504.3828125,33589.33203125,33642.9375,33295.05859375,33190.671875
27,33775.55859375,32764.080078125,32569.107421875,36050.33203125,33630.8203125
28,32894.515625,32481.837890625,33621.5078125,35264.7578125,32307.587890625
29,32377.669921875,30626.787109375,31551.775390625,33591.34375,33088.8828125
30,32572.12890625,30796.716796875,30996.345703125,32616.900390625,32193.921875
31,32356.470703125,30360.349609375,32546.140625,32783.96875,31997.19140625
32,32067.0,30867.294921875,31733.419921875,33077.55078125,31651.19921875
33,30636.291015625,30516.265625,30767.232421875,32589.0078125,31261.390625
34,30536.4453125,30515.23828125,30701.00390625,31609.4375,30623.662109375
35,30227.66796875,30660.533203125,30811.908203125,31132.015625,30831.05859375
36,31286.294921875,29635.275390625,30336.19921875,31176.796875,29993.046875
37,31008.0078125,30535.3671875,29954.142578125,30995.88671875,31984.99609375
38,30277.416015625,30514.80078125,30743.236328125,33021.08984375,31779.904296875
39,30235.15234375,29555.587890625,29910.11328125,30669.3671875,29477.38671875
40,31222.36328125,30412.578125,31089.021484375,30200.966796875,31595.9921875
41,29497.828125,29547.015625,29861.1953125,29889.857421875,31633.93359375
42,28876.740234375,29015.30859375,31340.30078125,29523.5078125,29747.65625
43,28582.619140625,29224.912109375,30251.396484375,29000.27734375,31626.140625
44,29240.25,29502.86328125,29485.173828125,28911.904296875,28912.421875
45,27357.8671875,27690.912109375,28674.9453125,29536.646484375,30092.162109375
46,29703.265625,28225.892578125,28896.921875,29410.26171875,28374.337890625
47,27671.05859375,29148.63671875,26230.69140625,29603.4296875,27752.74609375
48,28098.794921875,27416.97265625,28813.15234375,29753.97265625,28650.109375
49,28504.54296875,28618.4375,28590.51171875,28146.9296875,28735.953125
50,28792.91015625,28584.890625,29001.49609375,29807.533203125,28052.099609375
51,27454.68359375,29023.8203125,27079.18359375,27432.75390625,29366.84375
52,27792.900390625,25977.220703125,29417.73828125,27020.396484375,28488.359375
53,26339.205078125,26584.708984375,27344.958984375,26530.953125,27439.146484375
54,28342.0703125,27238.142578125,28728.17578125,27019.3984375,27789.609375
55,28602.3203125,27379.716796875,27125.68359375,28048.75,27777.21484375
56,29230.166015625,27055.0,27349.658203125,27244.05859375,27260.091796875
57,26612.974609375,27396.181640625,27799.92578125,26087.83203125,28044.029296875
58,27814.580078125,27996.65234375,26545.025390625,26411.17578125,26551.4921875
59,27254.767578125,28064.720703125,27199.533203125,28237.515625,27536.216796875
60,26437.505859375,26596.36328125,27631.232421875,27671.181640625,26103.109375
61,27336.15625,25415.662109375,26894.95703125,26621.62890625,27158.662109375
62,26536.431640625,24926.640625,25662.052734375,27268.986328125,24867.890625
63,26510.171875,24815.61328125,27668.099609375,27446.146484375,25590.50390625
64,26422.841796875,26404.88671875,26940.373046875,25829.8203125,26596.1015625
65,24530.8046875,26137.22265625,25816.830078125,25784.98828125,25315.451171875
66,27055.49609375,26335.279296875,26213.4609375,26868.296875,26598.859375
67,24791.083984375,26315.36328125,25249.923828125,26199.109375,26983.056640625
68,25656.90234375,24727.658203125,25763.9296875,26175.015625,26564.92578125
69,27272.7265625,25177.25390625,26740.98046875,24823.75,25534.876953125
70,26912.94140625,25870.298828125,26018.203125,25504.38671875,24681.337890625
71,26668.763671875,25441.408203125,25452.55078125,25383.486328125,27267.421875
72,25713.75,25024.484375,27175.603515625,25593.48046875,25366.6796875
73,24063.62109375,24988.349609375,24623.046875,25842.283203125,23763.26953125
74,24526.51171875,25691.419921875,27366.501953125,24474.603515625,26561.03515625
75,26080.169921875,23995.68359375,24569.4453125,25417.892578125,23835.29296875
76,24004.0,23730.341796875,25436.84765625,24574.224609375,25531.912109375
77,24583.396484375,24247.38671875,24729.546875,24747.220703125,23230.990234375
78,24998.041015625,23219.8125,23288.19140625,25072.267578125,24287.0234375
79,24879.462890625,25113.8359375,23747.64453125,24094.787109375,23199.25390625
80,26373.740234375,24009.962890625,22704.751953125,24166.4921875,23269.462890625
81,25110.234375,22768.193359375,24804.966796875,23512.775390625,24843.80859375
82,23126.06640625,21941.841796875,24489.23828125,23968.30859375,21955.7109375
83,24296.5078125,22866.783203125,24057.650390625,24062.2421875,23853.380859375
84,23725.23828125,23824.791015625,24031.8671875,24898.546875,23479.671875
85,24097.484375,22516.564453125,23314.19140625,22793.728515625,22068.068359375
86,23938.583984375,22932.03125,23333.73828125,23548.640625,21937.69140625
87,21536.796875,22933.41796875,23269.158203125,22991.7109375,22329.919921875
88,22730.13671875,22025.806640625,23969.892578125,23417.81640625,22366.01171875
89,22649.390625,22147.146484375,23317.783203125,23860.982421875,22780.00390625
90,22480.0546875,22628.203125,22487.671875,22532.5546875,21571.970703125
91,22830.96484375,22435.982421875,21841.216796875,22752.033203125,22151.11328125
92,22749.849609375,23131.162109375,23169.1796875,24556.548828125,21467.765625
93,23116.404296875,20894.591796875,23325.8203125,23955.08984375,21863.3125
94,21197.8203125,21289.078125,22001.13671875,22354.091796875,21148.181640625
95,24050.267578125,22639.546875,22569.396484375,23207.525390625,21530.01171875
96,21653.220703125,21996.435546875,22633.40234375,22565.70703125,22455.38671875
97,21689.62109375,21759.05078125,21528.7109375,23246.11328125,22345.13671875
98,21302.419921875,21725.5546875,22385.47265625,21466.841796875,20888.76953125
