,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,9123.26953125,9182.669921875,8965.947265625,9075.8046875,9064.208984375
1,9031.095703125,9004.6494140625,9222.97265625,9044.4140625,8860.974609375
2,9284.6611328125,8924.294921875,8939.1533203125,8895.8916015625,8993.9052734375
3,9108.1806640625,9129.9951171875,9061.5107421875,8845.7119140625,8912.6171875
4,9011.3369140625,8990.7890625,8944.515625,8964.7744140625,8901.7158203125
5,8976.7138671875,8977.4423828125,9000.0556640625,8989.6923828125,8967.626953125
6,8955.7421875,8991.666015625,8944.513671875,8874.3330078125,8833.7314453125
7,8958.7548828125,8984.93359375,8945.80859375,8997.00390625,9007.8369140625
8,8917.1220703125,8997.63671875,8872.0556640625,9048.8203125,9044.732421875
9,8954.7490234375,8994.0947265625,8955.623046875,8967.65234375,8949.7265625
10,9071.9921875,8994.4453125,9002.8916015625,8952.2060546875,9052.201171875
11,8980.0322265625,8974.8984375,8959.9130859375,9079.3232421875,8973.9814453125
12,9026.1064453125,8972.7041015625,8939.78515625,8860.9765625,8958.0751953125
13,9046.431640625,8979.4619140625,8987.6142578125,8869.7509765625,8982.603515625
14,9060.076171875,8959.9755859375,8969.68359375,9067.66015625,8932.53125
15,8994.2060546875,8952.17578125,8968.19140625,8952.6611328125,8996.2216796875
16,8928.6533203125,8890.595703125,8980.544921875,8841.8037109375,8934.5517578125
17,8936.66015625,8894.3515625,9027.2431640625,8825.5732421875,8953.455078125
18,8989.998046875,9043.4208984375,8984.6044921875,8942.46875,8938.2431640625
19,8963.8447265625,8994.857421875,8982.2578125,8826.3603515625,8978.7890625
20,8940.6591796875,8945.837890625,8978.8720703125,9107.9814453125,8968.001953125
21,8966.8115234375,8988.3779296875,8976.7841796875,9046.9775390625,8957.7509765625
22,8910.6201171875,8952.021484375,8981.849609375,9036.3984375,8977.7109375
23,8861.0576171875,8933.7373046875,8982.7734375,9000.80078125,8909.61328125
24,8864.83984375,8982.2548828125,8979.953125,9056.6796875,8939.2109375
25,8954.185546875,8953.6455078125,8974.08984375,8930.6240234375,8952.5302734375
26,8942.5927734375,9120.779296875,8968.306640625,8998.1953125,8969.8935546875
27,9113.3310546875,8970.126953125,8999.3916015625,8966.0673828125,8931.7578125
28,9027.4833984375,8956.67578125,8985.5615234375,9001.7373046875,8948.0458984375
29,8940.5546875,8945.9482421875,8969.705078125,8956.6953125,8965.8427734375
30,8990.087890625,9025.376953125,8975.90234375,8971.3916015625,8977.1796875
31,9013.4189453125,8944.7333984375,8979.173828125,8951.5,8926.11328125
32,8906.6484375,9000.9404296875,8969.1171875,8925.18359375,8968.5234375
33,8938.353515625,8934.2568359375,8978.9033203125,9082.3427734375,8948.3193359375
34,8861.9619140625,8933.04296875,8969.8603515625,8819.2822265625,8923.931640625
35,9033.3046875,8959.9921875,8968.12890625,9019.4775390625,8957.544921875
36,8833.9384765625,8933.84765625,8975.462890625,9043.73046875,8917.0908203125
37,8925.126953125,8923.1943359375,8988.1474609375,8939.7802734375,8903.3173828125
