,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,11412.0986328125,11381.0498046875,11410.2568359375,11378.267578125,11384.9462890625
1,11384.943359375,11359.5830078125,11328.4423828125,11251.68359375,11171.66796875
2,11077.3330078125,11174.8349609375,11160.3330078125,11400.8779296875,11361.6982421875
3,10953.5712890625,11129.7138671875,11137.6142578125,11030.279296875,11177.4208984375
4,10863.34765625,10678.3017578125,11009.32421875,11056.630859375,10921.8486328125
5,11117.3974609375,10977.7314453125,10961.728515625,11238.0849609375,11352.5478515625
6,11073.4248046875,11350.232421875,10812.91796875,10764.7060546875,11345.541015625
7,11121.3203125,10690.955078125,10825.62890625,10621.4677734375,11086.1015625
8,10200.5634765625,10623.4892578125,10737.5546875,10927.0478515625,10722.6630859375
9,10399.8623046875,10768.5830078125,10785.0439453125,11061.91796875,11013.8955078125
10,10095.05859375,10246.3896484375,10820.1640625,10791.0849609375,10277.630859375
11,9982.150390625,11109.681640625,10270.2451171875,10481.9150390625,10573.208984375
12,10121.521484375,10521.8818359375,10568.5498046875,10281.685546875,10934.8271484375
13,10374.6640625,10765.1005859375,10341.6142578125,10322.2978515625,10908.673828125
14,10301.3955078125,10419.9189453125,10419.0439453125,10113.4765625,10572.0048828125
15,10141.1689453125,10256.8505859375,10329.2626953125,10461.5234375,10030.2880859375
16,10478.8603515625,10605.02734375,10634.119140625,9786.8642578125,10616.1103515625
17,10870.6337890625,10534.677734375,10524.90234375,10745.3017578125,10346.84765625
18,10645.8515625,10051.02734375,10046.646484375,10442.189453125,10220.5107421875
19,10587.8212890625,10285.376953125,10600.0869140625,10273.5322265625,9962.65625
20,10962.1396484375,10388.2041015625,10429.4453125,9711.4228515625,9896.2880859375
21,10467.1484375,10576.05859375,9826.3671875,10380.5146484375,10477.9814453125
22,10394.74609375,10180.271484375,10040.4169921875,9961.28515625,10336.1240234375
23,10538.673828125,10435.5166015625,10228.3935546875,10096.7998046875,10148.6474609375
24,10453.47265625,10050.279296875,10388.8369140625,9536.2919921875,10140.0732421875
25,10016.6796875,10345.52734375,9576.0537109375,10017.6455078125,10059.0068359375
26,10686.6103515625,10238.54296875,10045.3330078125,10556.1474609375,10284.5126953125
27,11269.171875,10017.763671875,9872.3984375,9778.3935546875,10559.1591796875
28,10071.9580078125,9854.033203125,10684.37109375,9936.97265625,10221.9609375
29,10325.5419921875,10141.4541015625,10090.744140625,9909.41015625,10444.2373046875
