,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,22423.232421875,14802.1357421875,16182.208984375,25213.849609375,17980.744140625
1,17234.109375,17648.216796875,19707.828125,21758.205078125,16656.90234375
2,16495.412109375,16900.23046875,15683.8134765625,17924.900390625,12415.62109375
3,13826.7021484375,13312.8359375,14187.052734375,13659.8857421875,14113.357421875
4,15280.626953125,13762.68359375,12819.2158203125,13959.1005859375,12813.1669921875
5,13484.45703125,13487.6259765625,14492.1787109375,13287.9130859375,13328.044921875
6,13254.9765625,13397.34375,12334.3994140625,13251.45703125,12417.3505859375
7,12970.7734375,12767.4521484375,12798.958984375,12733.0078125,12538.9501953125
8,12657.5390625,12529.2939453125,12911.04296875,12436.36328125,12665.8056640625
9,12603.259765625,12766.4228515625,12252.427734375,12154.0751953125,12067.0703125
10,12821.2216796875,12293.2978515625,12389.20703125,12376.064453125,12422.2890625
11,12302.87109375,12473.7587890625,11743.125,12475.0302734375,12416.572265625
12,12299.3662109375,11971.935546875,12355.2783203125,12086.201171875,11963.3466796875
13,12195.3525390625,12065.814453125,12262.4228515625,12037.0517578125,12400.1552734375
14,12257.3984375,12464.29296875,12106.9912109375,12003.2900390625,12009.4072265625
15,12378.75,11312.123046875,12424.11328125,12055.798828125,12358.197265625
16,12409.4765625,11925.5927734375,12149.6650390625,11602.4990234375,12058.33984375
17,12056.1318359375,11856.3515625,11725.1767578125,11926.0146484375,12265.580078125
18,11559.8662109375,12116.2333984375,12029.87109375,12610.7890625,12206.9306640625
19,11992.3125,11530.51953125,11734.7109375,12398.8369140625,12093.7216796875
20,11741.025390625,11549.791015625,11981.62109375,12315.009765625,11988.185546875
21,11707.1103515625,11994.06640625,11690.271484375,11891.068359375,12093.9892578125
22,12039.70703125,11856.9150390625,11652.7021484375,12008.9453125,11895.7197265625
23,11752.125,11191.392578125,11230.2001953125,11412.708984375,11429.8984375
24,11912.478515625,11694.7900390625,11921.6064453125,11745.625,11240.6484375
25,11464.03125,10831.751953125,11333.4091796875,11653.978515625,11341.4765625
26,11574.794921875,11463.396484375,11877.9921875,11501.49609375,11204.8134765625
27,11246.7392578125,11404.9521484375,11146.9609375,11515.42578125,11433.4267578125
28,11198.2822265625,11059.1982421875,11197.0068359375,11064.5634765625,11073.1337890625
29,10973.0146484375,11629.6533203125,11543.90234375,11418.8359375,11349.0087890625
30,11123.7578125,11118.14453125,10993.791015625,11933.0107421875,12020.25
31,11570.0546875,11375.3642578125,11314.677734375,11352.1083984375,11540.3642578125
32,11509.74609375,11497.5908203125,11345.35546875,11930.7626953125,11132.0634765625
33,11501.4091796875,10845.9033203125,11441.15234375,10971.4912109375,11269.9150390625
34,10498.0654296875,11086.4873046875,10872.1796875,11022.8994140625,10978.7607421875
35,11147.4853515625,10965.2431640625,11398.2607421875,11467.4267578125,11096.8125
36,11331.75390625,10836.7001953125,11287.3212890625,10864.4560546875,10534.7265625
37,10507.29296875,10917.4296875,10836.0322265625,10727.6728515625,10557.251953125
38,11787.41796875,10493.22265625,11411.98046875,10638.728515625,10541.125
39,11724.5712890625,10379.162109375,10986.5498046875,10660.025390625,10962.8896484375
40,10677.6796875,11543.2578125,11584.4521484375,11267.3818359375,10561.7919921875
41,11077.46484375,10689.8740234375,11033.103515625,10952.75390625,10833.5439453125
42,11243.5791015625,10408.6533203125,10649.23046875,10934.0234375,11004.126953125
43,10867.8212890625,10626.3330078125,11500.228515625,10949.34765625,10909.603515625
44,10841.064453125,10702.162109375,11526.7529296875,11225.4892578125,9973.5302734375
45,11135.69921875,11195.224609375,10691.1494140625,11096.685546875,10749.103515625
46,10626.48046875,10947.7099609375,10731.7412109375,11235.3232421875,10664.458984375
47,10439.7060546875,11090.25,10855.619140625,10943.1123046875,11162.4287109375
48,10654.2978515625,10551.6357421875,10777.0869140625,10812.3603515625,10350.0126953125
49,10355.642578125,10641.0390625,11074.662109375,11321.5693359375,10950.8251953125
50,10535.689453125,10773.87890625,10384.87109375,11288.12109375,10871.9443359375
51,10616.1904296875,11317.4052734375,10952.7890625,10348.0234375,10673.0341796875
52,10356.4462890625,10934.8232421875,10490.8876953125,10707.103515625,10644.3681640625
53,10534.5,10707.55859375,10554.6748046875,10374.50390625,10651.6328125
54,11020.19140625,10106.869140625,10312.400390625,11204.32421875,10720.45703125
55,9897.43359375,10271.8212890625,10311.36328125,11264.1875,11031.951171875
56,9890.5908203125,10508.7890625,10171.8583984375,10960.68359375,11026.82421875
57,10476.7001953125,10861.00390625,10539.916015625,10802.5595703125,11239.0478515625
58,10631.0927734375,10823.54296875,10249.736328125,10597.5771484375,10734.9228515625
59,9952.193359375,9862.5771484375,10278.1240234375,10422.607421875,11336.5546875
60,10618.55078125,10499.3662109375,10199.0283203125,10462.5224609375,10430.564453125
61,10461.6708984375,9851.0419921875,10676.125,11430.2802734375,10722.3984375
62,10082.7900390625,10261.5283203125,10404.9228515625,10889.7177734375,11175.79296875
63,10217.396484375,10057.6376953125,11096.6162109375,10810.1328125,10804.4072265625
64,9979.974609375,9801.5341796875,10685.5,10769.54296875,10574.087890625
65,10357.787109375,10247.15234375,11508.4931640625,10153.9833984375,10231.5849609375
66,11482.2255859375,10012.2109375,11099.013671875,10639.40625,10595.486328125
67,10816.814453125,10510.2158203125,10905.787109375,10592.611328125,11059.892578125
68,10880.1123046875,10020.4091796875,11194.4462890625,9937.0234375,10264.802734375
69,10454.2998046875,10136.09765625,11587.087890625,10635.0322265625,9894.025390625
70,10604.3896484375,10024.8056640625,11123.3515625,10265.51953125,10162.9248046875
71,10013.8642578125,10380.5859375,11077.794921875,10310.37890625,10243.74609375
72,10570.81640625,10143.126953125,10376.228515625,10200.982421875,10745.8603515625
73,10182.1220703125,10278.9443359375,10374.4775390625,10616.6728515625,10370.626953125
74,10286.2421875,9968.75,10758.8115234375,10198.8681640625,11065.416015625
75,9903.978515625,10142.33984375,10359.4169921875,10208.7978515625,10609.1552734375
76,10935.439453125,10271.9287109375,10559.68359375,10194.375,10993.6650390625
77,10422.60546875,9890.9501953125,10334.5771484375,10411.0546875,10734.8447265625
78,10496.7431640625,10622.9521484375,10646.44921875,10507.541015625,10173.6103515625
79,10141.8896484375,10456.10546875,10583.2216796875,10722.0966796875,10558.9248046875
80,10123.41796875,9820.4755859375,10698.642578125,11264.4287109375,10769.166015625
81,9622.169921875,10013.9716796875,10832.8916015625,10942.7998046875,10883.89453125
82,10398.5087890625,10705.2353515625,10653.5390625,10903.5966796875,10447.4267578125
83,9726.4814453125,10047.4482421875,10791.9453125,10847.35546875,10899.830078125
84,9804.501953125,10000.333984375,9728.39453125,10603.509765625,10913.05859375
85,9469.7158203125,9784.3583984375,10326.375,10329.3427734375,11460.4072265625
86,9701.6435546875,9976.6396484375,10170.8125,10615.7626953125,10120.6845703125
