,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,43798.98828125,44849.3203125,43538.94140625,44205.5390625,43124.015625
1,42044.45703125,42652.8203125,42849.49609375,42404.5859375,42413.8671875
2,41165.8515625,41898.81640625,41689.96875,42496.6171875,41460.2421875
3,42106.55859375,42556.859375,40755.1015625,40830.59765625,40722.3671875
4,42020.015625,40975.87890625,41448.7734375,40840.734375,40199.73828125
5,40623.74609375,41993.82421875,40378.43359375,40713.15625,41148.609375
6,40920.2890625,42116.27734375,39263.9296875,39635.69140625,40196.25
7,40333.3828125,40829.140625,38416.5,40008.609375,39589.05078125
8,38998.1171875,39899.30859375,40858.94921875,39934.09375,37609.75
9,37960.1953125,39886.6796875,39310.96484375,39591.9921875,39539.07421875
10,38128.390625,40099.28515625,39676.6484375,39110.7578125,41523.44921875
11,37887.62890625,39863.25,38478.3046875,39433.1640625,41642.0390625
12,39678.1796875,38295.88671875,39696.078125,41303.58203125,38355.375
13,39425.76171875,40113.546875,37309.8671875,39132.484375,36536.07421875
14,38886.58984375,38987.05859375,37203.015625,38331.08984375,37709.8671875
15,37852.76171875,38064.03125,39144.97265625,37820.7421875,37407.421875
16,36734.1640625,38349.578125,37429.86328125,36427.28125,38441.11328125
17,38661.34765625,38869.58203125,38361.125,40595.890625,35963.19140625
18,35748.02734375,37687.33203125,38531.8671875,37195.68359375,35558.10546875
19,35895.30078125,38380.4140625,36787.5859375,36834.06640625,36227.33984375
20,35317.9453125,37447.29296875,37085.3046875,38716.5859375,35763.75
21,33734.09765625,39306.55078125,39256.70703125,37526.96875,37050.4453125
22,34237.8359375,40073.0234375,36197.5078125,37251.09375,35880.296875
23,35304.46875,39116.58984375,35682.69921875,38016.30859375,36648.61328125
24,36307.41796875,38582.1328125,36542.12890625,38143.70703125,35794.04296875
25,35625.6171875,35765.640625,34778.03125,36921.5546875,36526.078125
26,35637.92578125,37522.0546875,34907.93359375,37065.5234375,37937.29296875
27,35584.72265625,38198.16015625,36458.703125,39432.02734375,35384.28515625
28,36948.1796875,37378.9609375,34989.75390625,36552.7578125,34937.62890625
