,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,11360.705078125,11250.75390625,11301.5849609375,11257.439453125,11265.1025390625
1,11270.5,11258.0517578125,11259.873046875,11221.6455078125,11242.400390625
2,11282.2294921875,11240.0302734375,11225.458984375,11209.8837890625,11255.9365234375
3,11292.65234375,11213.9658203125,11191.6875,11189.0634765625,11239.3828125
4,11284.7841796875,11189.501953125,11203.7060546875,11164.130859375,11211.2880859375
5,11200.271484375,11192.38671875,11217.7998046875,11173.7109375,11182.623046875
6,11160.2353515625,11206.267578125,11207.22265625,11163.9140625,11212.025390625
7,11281.38671875,11190.0498046875,11185.2216796875,11122.4599609375,11176.291015625
8,11183.1708984375,11183.1689453125,11150.2001953125,11184.1318359375,11164.7744140625
9,11210.71875,11168.8671875,11166.439453125,11134.267578125,11186.962890625
10,11108.3017578125,11169.962890625,11123.1552734375,11120.4541015625,11143.3876953125
11,11078.982421875,11151.650390625,11096.447265625,11185.2119140625,11167.205078125
12,11118.9541015625,11158.5341796875,11097.3193359375,11174.6455078125,11185.7529296875
13,11149.9072265625,11163.6005859375,11078.6689453125,11147.5869140625,11174.79296875
14,11127.37890625,11136.6318359375,11104.0751953125,11131.0390625,11173.39453125
15,11079.033203125,11128.865234375,11117.6962890625,11095.51953125,11105.9033203125
16,11114.5849609375,11105.724609375,11172.30859375,11086.8251953125,11183.02734375
17,11087.75390625,11102.2265625,11067.64453125,11087.2939453125,11179.3046875
18,11037.35546875,11109.8779296875,11043.4990234375,11064.958984375,11108.50390625
19,11046.8125,11168.62109375,11069.8203125,11077.5302734375,11084.4306640625
20,11131.2666015625,11128.435546875,11070.501953125,11118.318359375,11077.697265625
21,11064.6455078125,11096.5556640625,11069.3671875,11068.9091796875,11121.75
22,11072.4482421875,11037.07421875,11021.376953125,11150.9892578125,11094.3583984375
23,11076.826171875,11101.4228515625,11027.685546875,11074.482421875,11085.216796875
24,11060.6748046875,11051.3935546875,11020.6171875,11047.7099609375,11094.9990234375
25,11057.1796875,11071.138671875,11012.6669921875,11051.22265625,11030.4501953125
26,11027.37890625,11074.76953125,10958.662109375,11065.28515625,11083.3896484375
27,11038.341796875,11020.16015625,10905.8193359375,11013.205078125,11071.5341796875
28,11019.7255859375,10987.3603515625,10979.509765625,11024.25,11060.0810546875
29,10994.705078125,10990.505859375,10938.4521484375,11003.1494140625,11011.892578125
30,10920.2333984375,11023.9833984375,10845.7255859375,10980.4560546875,11044.30859375
31,10936.994140625,11050.904296875,10908.00390625,10974.3603515625,11064.4306640625
32,10916.58984375,11015.939453125,10889.3720703125,10990.3232421875,11010.4853515625
33,10960.212890625,10988.6943359375,10919.966796875,10960.58984375,10996.919921875
34,10894.9033203125,10879.4931640625,10906.3837890625,10945.7802734375,10988.8408203125
35,10911.041015625,11047.58203125,10806.2109375,10999.86328125,11006.1337890625
36,10906.388671875,11005.4541015625,10747.912109375,10969.8896484375,11000.7900390625
37,10957.439453125,10969.9169921875,10788.5244140625,11036.396484375,11009.900390625
38,10852.958984375,10946.6220703125,10842.4853515625,10885.1123046875,11054.4580078125
39,10890.072265625,10888.7294921875,10841.1533203125,10962.9560546875,11019.216796875
40,10853.16796875,10895.9873046875,10750.6689453125,10927.7177734375,10961.1953125
41,10778.1123046875,10898.041015625,10721.263671875,10951.25,10986.6396484375
42,10903.337890625,10850.375,10808.8115234375,10945.1533203125,10957.72265625
43,10866.4677734375,10956.91796875,10785.568359375,10959.2470703125,10890.330078125
44,10816.1474609375,10784.9443359375,10827.59375,10849.6953125,10995.94921875
45,10867.646484375,10834.978515625,10659.001953125,10791.587890625,10902.69921875
46,10715.5751953125,10788.783203125,10659.072265625,10764.0947265625,10913.2177734375
47,10863.18359375,10892.6884765625,10695.3349609375,10851.5625,10903.8271484375
48,10817.7080078125,10860.3759765625,10583.166015625,10779.08984375,10931.7919921875
49,10702.341796875,10943.5234375,10654.994140625,10722.611328125,10896.962890625
50,10701.939453125,10752.615234375,10655.8779296875,10803.962890625,10841.48046875
51,10684.466796875,10730.34375,10644.9658203125,10797.6181640625,10770.7216796875
52,10686.1064453125,10767.0693359375,10533.048828125,10783.70703125,10798.478515625
53,10698.416015625,10702.041015625,10685.9267578125,10760.6767578125,10808.833984375
54,10677.9599609375,10830.1259765625,10487.904296875,10785.767578125,10848.8681640625
55,10635.576171875,10734.552734375,10422.673828125,10777.306640625,10814.4560546875
56,10843.037109375,10727.1630859375,10592.6787109375,10761.47265625,10834.6591796875
57,10630.7958984375,10706.3603515625,10626.9970703125,10710.8017578125,10933.8564453125
58,10817.724609375,10812.71875,10500.396484375,10704.6484375,10728.0517578125
59,10578.5302734375,10655.4541015625,10571.3984375,10696.0390625,10768.6943359375
60,10632.2275390625,10625.2685546875,10348.7275390625,10689.7109375,10767.431640625
61,10564.12890625,10588.8427734375,10468.4873046875,10698.9560546875,10695.0517578125
62,10515.7607421875,10565.3095703125,10409.3046875,10682.2255859375,10580.0908203125
63,10610.794921875,10629.9814453125,10458.63671875,10618.9521484375,10660.875
64,10512.998046875,10721.291015625,10449.6396484375,10679.44921875,10815.1953125
65,10595.4228515625,10582.826171875,10333.7001953125,10704.275390625,10693.939453125
66,10374.568359375,10499.7646484375,10359.7900390625,10653.9365234375,10685.1787109375
