,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,14445.0859375,14669.900390625,14623.06640625,14635.435546875,14544.2890625
1,14361.8271484375,14501.935546875,14622.787109375,14338.9189453125,14423.5927734375
2,14287.67578125,14474.7587890625,14595.08203125,14224.376953125,14175.8349609375
3,13965.1533203125,14331.8642578125,14403.1357421875,13955.3359375,14007.474609375
4,14040.505859375,14138.7001953125,14443.93359375,13695.98046875,14218.267578125
5,13896.0908203125,14045.2216796875,14191.029296875,13729.541015625,14272.4345703125
6,13960.830078125,14089.94921875,14322.314453125,13298.89453125,13862.6064453125
7,13552.50390625,13868.4306640625,14225.4873046875,13465.5517578125,13743.0849609375
8,13743.25390625,14164.6943359375,13911.00390625,14249.0087890625,14296.701171875
9,13596.18359375,14066.2587890625,13885.232421875,13090.498046875,13764.5751953125
10,13854.3779296875,13966.498046875,14026.4365234375,13282.1220703125,13591.021484375
11,13173.8193359375,13912.115234375,13858.4228515625,13818.16796875,14070.3779296875
12,13250.541015625,13704.7626953125,13965.501953125,13250.54296875,13451.5185546875
13,13105.79296875,14030.5087890625,14012.0625,12995.1787109375,13838.083984375
14,13725.1591796875,13710.1435546875,14119.5322265625,13049.1162109375,14027.212890625
15,13009.95703125,13839.166015625,13985.6748046875,13536.3251953125,13925.4794921875
16,12707.939453125,13496.6787109375,13666.958984375,13487.9052734375,13807.0703125
17,13026.1044921875,14217.603515625,13911.8955078125,12535.1044921875,13757.869140625
18,12776.625,13319.501953125,13811.1552734375,12836.662109375,13940.392578125
19,13640.12890625,13341.169921875,13961.1484375,12853.6171875,13904.1474609375
20,12817.0107421875,13601.12109375,14030.373046875,13100.6572265625,13590.22265625
21,12852.4677734375,13493.146484375,13872.5029296875,13541.1044921875,13715.0166015625
22,13062.9892578125,13829.3505859375,13694.2802734375,12411.287109375,13389.33203125
23,13184.8740234375,13161.4482421875,13814.26953125,12893.75390625,13273.8837890625
24,13284.564453125,13529.2783203125,13578.9580078125,13013.0859375,13463.1806640625
25,13253.189453125,13136.185546875,13559.0322265625,13012.26953125,13638.90234375
