,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,13632.265625,13866.78125,15348.9658203125,15621.37109375,12968.4052734375
1,10267.0634765625,11751.8896484375,11973.8388671875,12902.2685546875,11331.8564453125
2,11782.0009765625,11676.0537109375,11799.1640625,12368.7314453125,11178.83203125
3,11554.203125,10854.8154296875,12453.5224609375,12435.3056640625,10523.2001953125
4,10111.431640625,10619.6123046875,10681.5732421875,11040.9130859375,11170.23828125
5,8473.841796875,11561.1904296875,11601.11328125,12873.5576171875,9658.3779296875
6,9078.71875,11036.9033203125,10029.6865234375,12699.33203125,10456.3427734375
7,7255.234375,10170.5712890625,11672.8701171875,13103.6435546875,11361.7177734375
8,9642.3154296875,10868.6025390625,10903.3896484375,11862.8759765625,10776.4990234375
9,10762.5654296875,10106.1103515625,11786.1484375,11733.2734375,11076.0458984375
10,8613.412109375,12442.4775390625,12794.94921875,11701.6826171875,10239.19921875
11,10623.3232421875,9160.65234375,11232.1611328125,9807.146484375,11328.6123046875
