,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,145967.34375,146080.953125,147067.171875,146723.328125,146266.71875
1,144659.796875,144902.765625,144987.015625,146821.140625,144406.015625
2,144808.015625,144785.703125,145102.75,143511.296875,144820.09375
3,142743.515625,143980.8125,144862.0625,144223.53125,144282.328125
4,142215.359375,142347.265625,144046.125,144548.921875,144193.828125
5,140420.828125,143607.46875,146263.859375,143131.140625,142765.796875
6,140596.765625,142985.890625,144005.734375,141220.4375,140904.53125
7,141284.796875,142432.84375,142065.171875,141509.078125,140905.265625
8,137670.625,140266.4375,142509.203125,142006.578125,142077.984375
9,137236.921875,140383.515625,141525.765625,141766.796875,143253.6875
10,136127.734375,138807.5625,141451.609375,140564.453125,140829.953125
11,136347.09375,139392.5,143299.03125,138027.265625,143065.078125
12,135913.4375,140751.625,140828.40625,137324.234375,141170.953125
13,136273.0,136313.71875,139903.171875,136193.765625,139366.203125
14,133213.03125,132874.390625,139034.484375,136475.65625,137167.21875
15,134289.421875,134165.0625,136744.625,132712.9375,137944.625
16,129286.4609375,138986.609375,137152.96875,131820.578125,137776.046875
17,131049.8515625,133335.953125,135652.625,132103.109375,137933.9375
18,128444.1171875,133581.109375,132815.234375,131423.953125,136106.140625
19,126558.6328125,132927.359375,139531.546875,125693.6796875,139394.546875
20,127933.2421875,131911.796875,135429.171875,124700.4140625,133975.90625
21,122437.8125,131638.734375,136235.5,126229.5625,134146.46875
22,118800.4921875,124993.1953125,135677.296875,124397.9375,133708.8125
23,124847.5234375,124556.2421875,135273.421875,124125.6875,135163.546875
24,124413.0390625,122466.6484375,133343.703125,119699.8984375,130291.0546875
25,125377.28125,118484.7578125,131077.46875,118534.0078125,131511.09375
26,138989.828125,119004.5625,130750.90625,113640.3046875,130105.0234375
27,118003.7265625,119998.0234375,128339.875,117141.4453125,126920.5625
28,117401.7578125,116371.90625,133838.3125,118104.4453125,125919.0234375
29,126295.8984375,118725.1640625,128703.4921875,121184.1015625,126225.1640625
30,123979.90625,117092.5,124162.8515625,115215.1875,129667.78125
31,111629.4296875,129060.5390625,123540.3671875,128686.6484375,134573.796875
32,116462.0390625,112645.71875,119566.15625,108369.5390625,124982.3125
33,116404.25,120995.21875,125870.59375,126656.8359375,133548.921875
34,122003.7734375,110664.8359375,119826.3828125,106156.3125,122202.8984375
35,122096.9296875,120121.46875,125470.4375,113783.2578125,122822.5234375
36,120119.0234375,118673.34375,124348.6015625,125923.28125,129048.96875
37,117118.5859375,110924.7890625,121322.3046875,112919.0078125,119035.1953125
38,111713.1171875,111982.8125,114951.9296875,103672.3984375,131116.390625
39,114547.3515625,104236.09375,113911.1953125,108172.3828125,128028.75
40,110101.9296875,107395.71875,120238.5703125,109864.2265625,120689.0
41,109447.2734375,111555.0,117184.84375,103246.9375,119719.90625
42,126012.8984375,112146.7109375,121888.3671875,105882.8828125,117609.5625
43,106098.9453125,102380.2578125,109118.84375,108892.4921875,120860.96875
44,107238.4609375,104917.0,116484.0234375,116748.75,119335.4765625
45,113812.09375,104608.84375,106807.4453125,106096.6640625,113604.5859375
46,110732.78125,102728.8984375,115406.1015625,102950.6875,118080.3125
47,115850.1875,107366.3203125,107856.3828125,107822.1015625,113058.2734375
48,119371.1953125,124026.125,105009.46875,104451.84375,111860.9375
49,109902.1796875,104061.78125,107980.9921875,107139.3125,119762.9609375
50,98802.125,109156.4921875,103145.9921875,112089.0546875,110388.2890625
51,103283.1953125,103886.9609375,98955.2265625,107785.4609375,109451.3828125
52,104788.0078125,105482.09375,98593.7421875,102871.7421875,121802.6171875
53,109721.625,121872.0390625,104902.6015625,112709.3125,120103.5859375
54,106013.8828125,103564.375,108922.7578125,107315.34375,108746.4140625
55,112263.9296875,105225.3203125,110077.25,95804.6171875,107632.3671875
56,114737.65625,99136.7265625,111123.15625,100471.1875,112659.0
57,100952.1875,99854.5546875,100673.7421875,95975.4296875,111997.5234375
58,92765.40625,104769.625,104181.1015625,103945.9140625,112595.5
59,105740.3515625,104773.9765625,99946.0390625,102507.3984375,105100.4921875
60,101405.1875,100624.7578125,128575.7265625,102195.3125,105667.4296875
61,115664.3359375,102171.71875,102855.59375,100941.2265625,117819.8671875
62,117777.7734375,119107.1328125,99646.125,95633.6015625,100025.5078125
63,116726.7734375,97169.8125,103075.3515625,92619.96875,102174.6640625
64,104623.9375,103097.2890625,102130.1953125,98837.4140625,103430.4140625
65,99806.03125,102231.4375,95533.0625,97535.5078125,96459.8984375
66,115983.75,97665.4140625,100187.125,101787.2890625,99600.8984375
67,106445.1171875,102351.1640625,118982.9609375,102910.0390625,103598.375
68,106964.875,95000.1328125,102795.84375,110052.7265625,94162.90625
69,117224.1875,100693.4609375,102721.53125,110990.3359375,101571.90625
70,113012.5859375,94674.3828125,105383.4375,109919.25,104533.1015625
71,116073.0859375,107872.5390625,103245.7265625,98839.53125,100530.9296875
72,100236.40625,99411.375,115863.46875,97835.375,100906.125
73,108881.5234375,92417.0703125,107056.0390625,93322.7578125,106489.28125
74,97808.09375,94275.0390625,107143.34375,124977.0546875,102350.125
