,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,226705.625,227792.203125,228816.796875,228147.4375,225486.421875
1,214458.453125,213793.515625,213573.328125,214274.0,209093.25
2,205553.5,201394.046875,205331.0625,199336.859375,199990.453125
3,192477.953125,195138.109375,196814.046875,191834.5,191078.953125
4,181454.234375,184907.859375,185968.765625,186251.984375,176053.046875
5,174422.328125,167603.125,177364.890625,172430.640625,166688.25
6,164211.3125,164823.453125,168392.296875,175485.046875,158653.421875
7,155038.421875,156102.609375,155528.203125,155125.609375,150393.515625
8,148678.171875,147428.453125,155860.09375,151122.265625,143550.703125
9,150828.0625,139332.390625,150659.8125,150314.5625,138491.640625
10,142710.640625,142683.71875,149257.28125,139572.734375,137796.125
11,137107.703125,136744.078125,148417.140625,139019.390625,131248.71875
12,135582.890625,139231.875,138638.625,135559.484375,138135.578125
13,127824.0390625,134062.359375,133651.140625,129932.5,137526.765625
14,125883.6875,128375.625,127571.0078125,125969.1484375,124426.65625
15,121455.59375,146604.34375,129754.5234375,121480.2421875,118000.625
16,117940.6640625,117377.6875,119941.1328125,120170.53125,129873.6640625
17,118459.4765625,113267.0625,121239.0625,120552.375,116877.4296875
18,117660.7109375,123490.9609375,116617.9296875,124677.0234375,111775.4609375
19,108120.2890625,113646.4375,117580.0859375,121650.8515625,114522.625
20,110116.0703125,113019.6484375,112855.0234375,114337.2265625,107012.1875
21,105615.6015625,107397.1015625,108858.0234375,108477.8515625,104835.7109375
22,103599.5,111901.3984375,104456.6875,107242.1484375,102155.8984375
23,98393.4140625,115232.59375,119127.5625,104574.34375,105412.1875
