,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,189020.953125,189405.6875,190644.109375,192932.890625,188555.5
1,181988.234375,182226.6875,181201.75,182155.421875,179313.25
2,171209.484375,173922.546875,175930.203125,174629.796875,171130.234375
3,163771.765625,169252.796875,167143.921875,169018.109375,166714.859375
4,160396.234375,164578.234375,160142.140625,165171.484375,154426.4375
5,151320.328125,151999.828125,153835.734375,153067.046875,145442.25
6,142664.171875,145480.375,148298.171875,149509.3125,141729.390625
7,137702.875,138528.03125,140365.609375,142367.359375,135249.515625
8,128311.4921875,132757.609375,137940.84375,134166.375,131131.515625
9,126599.1328125,125693.8984375,133155.953125,126182.3046875,125625.4140625
10,125068.75,131414.5625,131996.453125,127729.0625,119344.3046875
