,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,193953.25,274597.03125,225938.125,207118.796875,198160.609375
1,240897.984375,199432.0,247455.921875,211762.75,224827.453125
2,206429.859375,204439.171875,186294.609375,222381.921875,235580.453125
3,257340.375,199762.875,180983.953125,169409.546875,199085.375
4,193268.453125,187995.171875,211438.078125,215909.875,235594.078125
5,209124.828125,192972.890625,187697.046875,214590.078125,182391.140625
6,176513.796875,195852.171875,219021.578125,170764.734375,190960.515625
7,155785.984375,186726.578125,194998.671875,170888.03125,196385.796875
8,191493.5,188367.578125,205278.9375,237164.453125,218280.046875
9,155030.984375,183912.375,209324.4375,196878.421875,189228.875
10,188822.109375,197041.765625,192580.75,174874.171875,166420.515625
11,132912.453125,180590.078125,166939.203125,216396.921875,160816.09375
12,161190.171875,189908.0625,181674.3125,166940.515625,164324.75
13,196702.515625,143675.96875,186114.734375,206353.421875,238816.75
14,128423.4921875,178166.984375,152858.390625,181124.484375,148703.8125
15,173685.046875,173264.484375,170165.453125,200190.828125,159634.125
16,183336.265625,147971.875,176703.734375,154843.546875,182398.078125
17,155540.15625,128317.4140625,181593.8125,174553.1875,157418.984375
18,152363.359375,149035.265625,161564.21875,166026.1875,178250.296875
19,135163.953125,155950.890625,137421.265625,202126.609375,162848.0
20,165971.328125,195273.015625,149867.203125,148291.71875,163836.140625
21,113207.6640625,152802.234375,198528.921875,171119.203125,151699.875
22,167164.9375,143830.640625,168635.484375,204432.171875,182414.859375
23,141049.25,161955.4375,157696.609375,178878.0,178743.828125
24,143006.328125,140960.9375,144899.21875,171856.859375,148227.4375
25,146196.015625,149153.859375,172533.484375,185656.671875,178947.5
26,134273.734375,143370.75,167889.375,147321.125,151643.1875
27,150784.9375,124045.1171875,167119.796875,145397.890625,171411.828125
28,124472.5390625,116782.4921875,143966.078125,157171.625,157663.109375
29,158525.171875,157813.734375,161676.671875,173480.609375,160044.875
30,156573.953125,141593.125,159682.921875,162325.578125,135401.5
31,137992.640625,128264.2890625,136575.6875,157206.6875,126359.375
32,114804.7109375,120381.96875,159630.75,132494.328125,195856.875
33,127821.3515625,145889.171875,165355.9375,144200.640625,144616.75
34,123916.8515625,148383.265625,116169.8984375,204079.625,133583.234375
35,133422.0625,125471.5625,163109.640625,159056.453125,142969.328125
36,136912.234375,126570.1875,152157.046875,174075.796875,137256.765625
37,154582.359375,159385.6875,141480.140625,212008.578125,168293.234375
38,118098.6484375,145584.109375,137612.40625,127355.1953125,169492.5
39,153196.734375,142902.578125,183902.109375,185679.5625,140660.53125
40,119430.1171875,146771.4375,165461.796875,175006.578125,158740.1875
41,121485.9140625,158989.703125,158490.0625,175736.6875,170071.296875
42,129865.4375,159506.8125,170390.859375,148469.171875,159583.453125
43,133205.65625,133608.453125,124555.5,144560.6875,155126.8125
44,122908.9609375,169441.671875,144360.921875,145532.8125,147919.125
45,140139.765625,132755.3125,150741.046875,131339.109375,117558.7734375
46,204292.703125,152976.625,137540.890625,126091.2734375,144603.328125
47,157921.25,148266.828125,157226.421875,161007.078125,129924.3359375
48,182360.8125,120498.0234375,129869.9609375,133574.25,154978.171875
49,165394.140625,112108.0859375,137870.234375,140864.515625,115858.0546875
50,135076.078125,115176.875,113535.0625,157321.4375,119262.3046875
51,164230.140625,146665.265625,119288.0078125,171492.9375,165145.6875
52,141553.640625,119283.3671875,147077.890625,136786.421875,142825.140625
53,162828.40625,136689.984375,140793.015625,145147.015625,143078.984375
54,137268.328125,118520.6328125,126774.9375,145861.421875,120270.0625
55,165941.5,132521.015625,116108.0078125,143125.921875,131654.578125
56,140184.25,139438.515625,156845.234375,134527.109375,138707.578125
57,129093.0390625,170853.9375,127898.4609375,111515.96875,140032.28125
58,129586.4609375,108609.28125,133989.59375,127649.0078125,149862.90625
59,133793.734375,103169.65625,129506.4140625,140613.609375,132152.0
60,139893.34375,176979.828125,150609.625,119451.4765625,129850.9140625
61,134471.296875,138887.734375,114687.1640625,184851.3125,123313.3046875
62,128454.0625,107565.375,136343.15625,151170.109375,126093.3515625
63,119595.4453125,111706.0625,136143.171875,109198.8984375,135731.609375
64,99241.3046875,133657.546875,146255.65625,117199.5078125,166497.390625
65,112748.8359375,142340.421875,117679.2421875,165643.125,134853.9375
66,118796.6875,114722.09375,136917.578125,138022.40625,119763.25
