,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,343277.34375,352250.53125,349028.25,349427.15625,345316.40625
1,340251.03125,345333.09375,344938.875,350195.34375,340454.375
2,334153.0,343440.59375,339276.875,343303.34375,337231.5
3,332225.78125,341571.5625,333752.34375,341364.875,331409.5
4,326356.75,336113.21875,333124.5625,337868.34375,326075.84375
5,326086.78125,330915.28125,332045.625,334170.9375,322039.59375
6,322949.09375,329725.9375,330448.15625,327262.78125,315463.96875
7,320455.71875,323111.96875,322800.40625,326715.09375,318112.78125
8,313493.65625,322306.59375,318906.125,323214.65625,310082.34375
9,308645.8125,315148.40625,316327.3125,317900.28125,304939.6875
10,308771.28125,311751.03125,308345.09375,319297.0,301806.375
11,302507.21875,303698.65625,302058.09375,315220.25,305985.65625
12,302622.84375,300201.75,310100.71875,304911.46875,282048.96875
13,299681.03125,301306.75,303962.40625,305494.28125,274251.53125
14,293148.71875,289222.84375,292541.53125,296278.25,293636.71875
15,270933.71875,298235.46875,279044.59375,301490.03125,285908.0625
16,270146.53125,291751.09375,275829.46875,288946.40625,264341.3125
17,280753.21875,273288.84375,279111.09375,282212.625,264302.1875
18,263270.625,265972.65625,263431.0625,278962.78125,286909.09375
19,261893.828125,295594.75,274211.40625,256803.25,251225.484375
20,266254.6875,293700.71875,262682.65625,260500.546875,250949.796875
21,247233.578125,265743.15625,254523.265625,269069.09375,265127.15625
22,251932.796875,260029.546875,257534.296875,254927.390625,249890.203125
23,246171.578125,274264.75,286954.71875,252235.890625,252824.125
24,243999.953125,273858.4375,229783.296875,235050.578125,265953.84375
25,256431.484375,261646.3125,243038.953125,245687.421875,253422.25
26,250462.890625,257238.390625,250207.875,251633.9375,242848.390625
27,229127.265625,254457.953125,220048.0625,233628.046875,229626.328125
28,227508.390625,262683.75,227475.9375,236042.1875,236603.078125
29,256245.796875,247181.703125,237893.375,233294.828125,249088.0625
30,240510.046875,230634.484375,233898.125,233718.015625,257730.109375
31,267898.5,252687.515625,244529.046875,246956.546875,253173.140625
32,265377.96875,241539.625,207572.828125,238355.453125,217660.1875
33,262944.34375,252703.765625,217519.609375,244994.296875,217648.421875
34,245776.671875,223450.625,231556.375,256837.6875,239418.25
35,267897.625,240537.015625,207219.546875,203530.671875,212054.734375
36,228491.359375,249936.0625,256207.625,232252.25,236699.921875
37,228239.75,270186.65625,224265.625,226939.4375,251469.796875
38,237241.859375,241573.953125,209342.3125,230348.25,240005.8125
39,255756.671875,203899.515625,246292.0625,210429.625,210356.75
40,218725.625,236311.015625,216586.296875,225948.515625,210059.046875
41,268069.71875,253563.015625,203176.4375,222816.6875,232013.8125
42,236126.125,230933.0625,209153.953125,239782.578125,236806.265625
43,241378.796875,227168.5625,237651.453125,222825.703125,234366.265625
44,226192.171875,260341.8125,242607.578125,218002.921875,221047.890625
45,232259.046875,223620.890625,205504.0,218303.125,227518.609375
46,200614.8125,237414.859375,201704.703125,202557.015625,213197.6875
47,251599.375,221855.265625,228105.671875,192432.328125,220167.484375
48,218778.546875,233021.0625,215037.515625,212840.109375,278723.59375
49,242615.0625,203020.0625,223561.453125,204100.125,244288.296875
50,237096.9375,197415.140625,231496.421875,220944.578125,220593.625
51,220108.6875,230968.6875,217319.0,234530.171875,229680.0625
52,226737.796875,229217.875,207472.421875,217988.703125,190398.859375
53,211678.921875,208346.5625,237445.265625,204363.171875,212595.078125
54,214743.578125,209268.125,215360.421875,204239.4375,235475.578125
55,234241.109375,206248.0625,230201.140625,231408.234375,222199.5
56,201888.234375,226104.890625,196619.046875,206570.546875,206455.921875
57,225773.234375,200417.25,211922.671875,215954.171875,200234.75
58,220250.015625,223678.0625,241351.578125,216095.125,228136.4375
59,225774.546875,233070.921875,218385.328125,210961.890625,200101.140625
60,240071.921875,214321.171875,209776.765625,189048.8125,203782.953125
61,230547.125,229384.421875,213122.234375,208997.4375,216236.578125
62,216934.0625,215442.8125,200468.015625,181351.953125,223334.640625
63,215077.515625,222849.640625,183678.953125,190393.609375,217032.828125
64,198737.25,197756.265625,230837.0,200480.078125,217953.203125
65,200882.625,225780.0,199401.546875,204174.171875,191726.578125
66,209944.4375,181093.421875,192328.8125,202409.3125,200918.875
67,226387.828125,214064.75,198799.234375,203949.296875,194484.328125
68,202377.75,196290.703125,211305.796875,205314.671875,224502.109375
69,273480.40625,184915.125,236732.640625,183976.375,219482.828125
70,236658.640625,196293.875,182277.375,194148.6875,222517.5625
71,198713.421875,199644.125,186689.890625,183243.046875,203508.6875
72,194039.984375,177159.703125,228614.640625,191308.109375,229218.171875
73,181813.796875,205274.171875,232743.953125,210753.640625,186017.8125
74,226342.765625,203984.421875,186893.296875,203807.234375,210713.015625
