,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,721078.4375,719006.3125,719473.25,718111.8125,720515.0
1,703405.3125,689540.375,661360.0,703846.3125,704427.1875
2,671683.3125,652341.8125,677401.875,696985.9375,691486.6875
3,652293.75,596932.5625,568215.25,666811.6875,643972.8125
4,657116.3125,580431.4375,519833.90625,603686.8125,634947.625
5,611922.25,518985.09375,680180.625,581294.9375,541579.9375
6,583950.25,535071.75,531346.5,495908.46875,546314.875
7,594985.9375,603577.4375,526773.25,578887.25,529476.5625
8,594281.75,578120.0625,649505.4375,484400.59375,479970.96875
9,569227.0625,494387.25,532199.8125,683692.75,584049.8125
10,614340.8125,501869.21875,533498.125,602333.0625,511862.15625
11,492789.5,559885.6875,570051.3125,489464.78125,556746.1875
12,524036.875,443525.09375,582567.3125,540153.4375,498581.40625
13,528897.75,584899.4375,612228.6875,581861.5625,525392.0
14,551974.9375,509597.90625,562272.875,523142.0,458818.90625
15,514650.0,476116.78125,581880.9375,510293.84375,504653.75
16,526911.5625,562261.9375,577946.25,537346.0625,476633.875
17,500781.65625,596203.9375,534011.3125,513558.65625,554303.625
18,459411.375,539138.4375,548282.0,464975.53125,478782.65625
19,587528.4375,527687.1875,505435.75,487274.53125,519253.375
20,428097.40625,508241.0,505587.65625,450732.28125,473381.90625
21,537168.1875,504102.40625,517042.21875,467514.90625,538810.6875
22,471879.75,426883.34375,477423.25,435949.09375,527583.5625
23,529792.25,479329.65625,459113.375,480958.75,434698.46875
24,491892.75,508394.84375,548275.9375,455063.375,429970.46875
25,619188.5625,460055.90625,634982.375,474041.09375,457744.09375
26,512377.125,513153.5,596136.75,474244.09375,406081.96875
27,490193.53125,426245.46875,555565.5625,461772.90625,488105.40625
28,497694.59375,458897.5,439638.46875,409137.28125,465474.53125
29,422594.15625,481110.25,552577.25,483829.59375,461753.28125
30,589986.9375,449618.15625,431514.84375,453783.0,392449.0
31,518416.65625,421136.40625,437483.21875,476965.46875,519994.34375
32,460598.125,401689.71875,479453.15625,426740.40625,578803.0625
33,456750.96875,458183.0,441046.375,451442.0,455737.21875
34,457214.84375,442644.84375,511850.25,638153.9375,400044.75
35,461293.09375,409505.625,422200.34375,469430.71875,426334.75
36,476485.78125,465713.625,510908.375,424762.375,476267.40625
37,562180.75,571254.375,422237.53125,465192.59375,434514.28125
38,473693.5,433606.5,384266.90625,512461.96875,516259.78125
39,579555.6875,372450.625,431407.84375,443627.40625,394908.875
40,365243.125,460754.53125,412140.21875,412770.40625,434319.59375
41,428144.59375,456264.71875,463471.71875,468199.28125,454607.25
42,479101.96875,463200.84375,431132.75,451721.875,428576.71875
43,468739.34375,489316.59375,376381.375,492066.75,357753.84375
44,456034.0,507221.40625,402731.125,425694.90625,470940.0
45,521163.96875,485549.625,460619.09375,552596.75,423620.71875
46,448564.15625,445511.78125,437243.84375,416231.78125,404425.65625
47,408568.84375,481611.125,443837.59375,335306.21875,430872.53125
48,430674.125,434265.34375,438965.125,421579.09375,523623.09375
49,422570.59375,509191.65625,426400.28125,381023.15625,432327.625
50,511686.96875,418345.46875,493034.625,490642.15625,422706.375
51,387093.0,374855.75,389545.625,411622.03125,459472.25
52,366005.90625,457306.09375,436631.28125,374642.125,410427.25
53,404108.59375,441446.75,364996.71875,410331.53125,394702.84375
54,415644.15625,409731.03125,370055.75,413056.28125,419463.84375
55,377722.125,432494.90625,415080.03125,389978.5,414466.90625
56,353307.625,377526.46875,427862.75,372419.65625,407043.28125
57,448368.84375,456976.15625,435552.0,334135.0625,354290.84375
58,452345.96875,392073.65625,485791.25,595640.1875,472769.78125
59,365873.46875,498842.34375,485867.875,411852.5,360142.21875
60,368301.0,372876.15625,449087.78125,418048.46875,430629.0
61,412949.59375,467194.25,451961.625,424773.84375,422663.875
62,416258.59375,432634.28125,465566.375,457029.28125,419136.09375
63,447633.28125,414387.90625,452270.65625,408629.15625,394183.21875
64,336587.65625,376048.65625,475471.75,390575.71875,449177.65625
65,421657.09375,330503.84375,429021.40625,369481.46875,454948.34375
66,382947.25,454640.21875,403716.5,410415.15625,362251.0
67,367781.40625,424435.15625,423454.0,475988.09375,483592.75
68,408861.53125,410771.96875,420248.09375,548653.6875,456906.375
69,389441.28125,432231.28125,417969.625,396481.53125,468955.25
70,605951.375,402558.75,365268.90625,427785.90625,415931.53125
71,470457.25,376091.34375,424514.34375,405396.96875,439117.59375
72,448149.75,406666.65625,389590.15625,318000.65625,513165.15625
73,416762.59375,411881.5,516114.53125,365586.125,320948.625
74,492812.15625,349921.28125,391647.5,430929.25,390095.59375
75,450217.34375,434438.5,539452.0625,487333.90625,365759.78125
76,378188.03125,373025.90625,426330.03125,395913.90625,407367.875
77,362098.0,399769.15625,406974.75,485851.40625,525875.6875
78,373107.25,575250.4375,441966.84375,414697.46875,341548.71875
79,388785.0,387320.53125,397061.5,424872.15625,386757.34375
80,363476.15625,441450.15625,361117.59375,395333.96875,363133.5
81,363783.65625,389762.5,481431.625,480171.75,460692.0
82,343204.46875,396096.125,463845.75,413337.34375,379833.15625
83,343702.4375,479173.09375,409851.15625,364988.75,371435.96875
84,470507.34375,442088.84375,532324.25,369364.28125,536911.0625
85,454289.0,406783.34375,438770.15625,429955.46875,443618.21875
86,485075.40625,392869.625,399713.03125,359797.5,386016.0
87,307815.28125,515479.90625,463997.21875,468516.25,448777.90625
88,358900.875,388339.25,557902.5625,340493.40625,468927.84375
89,377376.40625,464787.625,473018.75,349776.71875,407621.75
90,361493.875,409412.53125,398819.0,421489.03125,421843.75
91,441610.0,411288.09375,484698.15625,392127.03125,422396.21875
92,337509.78125,414193.03125,479503.96875,339665.375,565122.75
93,408709.0,445210.0,458047.0,524660.4375,538285.1875
94,419887.65625,370270.90625,406556.15625,398144.59375,518783.84375
95,307951.75,370837.84375,382128.34375,530844.1875,433290.71875
96,372558.09375,425208.875,374823.78125,404261.375,445234.15625
97,397627.46875,388371.15625,456008.90625,399234.90625,485501.84375
98,389894.875,458728.46875,360202.75,417258.46875,393841.625
99,501434.34375,456817.21875,416217.15625,425881.5,408715.5
100,345488.15625,522619.40625,348530.28125,370394.5,421518.90625
101,430117.34375,409064.75,400281.15625,365267.0,469196.25
102,410530.875,431897.5,439520.0,457167.59375,431942.90625
103,424938.59375,424876.28125,349193.65625,390118.34375,455335.84375
104,345136.03125,443612.25,364994.625,496515.15625,385615.75
105,304747.5,439831.65625,353707.78125,409644.65625,344243.59375
106,410645.71875,438685.03125,378008.40625,592580.6875,421391.25
107,443871.59375,381978.875,503485.46875,456075.46875,337242.28125
108,396761.71875,580220.6875,519579.5,509144.96875,383748.53125
109,301527.09375,521048.53125,486208.625,350155.75,399071.65625
110,418068.5,381018.34375,412072.09375,390272.90625,372111.96875
111,381990.34375,382451.25,498147.59375,355252.84375,324284.90625
112,388356.46875,470417.0,418206.125,344485.0,453552.78125
113,351081.84375,458419.90625,632590.5,339678.9375,436575.0
114,664785.25,480156.40625,569771.8125,549874.9375,323095.09375
115,407594.65625,417987.78125,412644.5,574583.9375,416630.59375
116,420161.34375,426854.75,472544.53125,428124.34375,454981.96875
117,507017.15625,499734.65625,414451.21875,407141.78125,391107.78125
118,460327.875,428594.71875,375657.53125,377394.0,581858.4375
119,408286.59375,373562.90625,414312.96875,408117.875,332276.71875
120,435176.90625,340759.53125,463366.65625,343740.0625,442918.25
121,411322.09375,397244.28125,366352.84375,405022.53125,395880.90625
122,452276.90625,433328.0,432970.90625,436762.0,353482.0
123,381747.71875,334312.28125,554613.1875,515694.09375,464401.09375
124,473461.65625,536746.5625,412581.25,348582.03125,383367.625
125,432322.15625,450503.34375,490975.09375,563020.0625,380223.96875
126,363286.65625,355783.03125,454941.125,349428.6875,339383.75
127,474601.5,366130.15625,423675.65625,366466.65625,383116.78125
128,430063.75,359090.59375,328477.90625,371105.40625,381974.40625
129,425548.90625,423967.125,632419.8125,522270.84375,344279.4375
130,367853.75,451020.5,577773.3125,454107.34375,356668.40625
131,411860.09375,380381.875,472864.40625,408583.90625,320121.40625
132,372885.40625,500234.0,408689.375,429183.625,396146.59375
133,453379.34375,352722.0,394802.625,357505.375,387100.15625
134,453061.28125,469571.53125,432696.96875,418105.71875,323430.28125
135,477069.15625,466758.65625,396747.28125,495097.90625,374183.375
136,463200.625,409597.28125,349644.46875,462648.34375,353871.75
137,435898.875,493244.21875,402457.46875,369969.15625,525793.4375
138,413324.875,391908.46875,399279.28125,581933.5625,444825.875
139,436612.84375,396396.09375,467506.34375,386855.96875,340426.09375
140,435242.21875,402147.90625,412944.65625,554479.6875,357582.40625
141,401818.96875,490389.40625,468843.78125,427083.90625,342929.09375
142,480676.0,412870.03125,481358.90625,437521.75,419335.46875
143,542948.75,355017.375,492830.15625,466250.84375,324802.40625
144,418064.46875,418807.25,500087.53125,452721.40625,427813.75
145,465016.03125,387652.65625,424548.09375,394941.40625,439098.71875
146,331490.78125,455699.90625,381458.5,393520.0,354378.0
147,365293.53125,331130.53125,492786.34375,379418.53125,350385.0
148,558317.3125,337552.96875,471993.34375,353576.34375,476075.40625
149,357318.90625,438368.46875,457897.125,531309.4375,352763.03125
150,408370.34375,356507.59375,413539.84375,404916.5,458260.34375
151,358298.40625,362484.53125,390115.84375,340806.96875,397843.875
152,386235.84375,452319.625,520748.96875,407451.90625,403779.03125
153,405140.15625,358737.28125,410774.03125,349382.15625,394167.34375
154,394222.34375,370890.34375,419498.65625,459560.53125,429855.5
155,431565.15625,412272.84375,335907.96875,497140.59375,530350.625
156,464746.40625,306037.5625,399972.78125,418755.03125,487676.5
157,470496.46875,396471.84375,490068.65625,546753.9375,433350.65625
158,349966.65625,389335.96875,441851.65625,403367.0,421016.34375
159,428289.25,380154.53125,380209.0,357117.90625,453437.90625
160,498494.34375,370308.875,382783.75,438639.90625,494206.5
161,425891.71875,381885.375,363206.03125,406618.875,454707.65625
162,453998.65625,341286.3125,555480.0,340106.0,459886.375
163,411700.15625,337522.0,517039.09375,394619.53125,393686.59375
164,395418.78125,441658.25,419653.125,379211.15625,442033.40625
165,254136.0,307090.75,388590.40625,423189.625,544808.75
166,358398.125,400038.96875,365622.15625,374316.40625,408328.09375
167,307471.5625,374024.15625,416997.84375,401981.75,381718.96875
168,501633.03125,367246.15625,427464.90625,353902.28125,499182.25
169,388985.125,482483.5,478450.09375,421820.0,473183.90625
170,419067.34375,424558.75,601848.4375,413059.34375,466846.71875
171,359100.5,345603.5,395401.625,287139.6875,401138.25
172,382488.46875,478776.40625,408043.15625,532614.75,295035.28125
173,351837.0,394830.34375,375972.65625,387694.96875,472744.40625
174,392702.0,317645.40625,461168.46875,437549.0,384426.96875
175,460812.78125,483419.84375,402393.875,348534.59375,390482.65625
176,294334.0625,456107.34375,351764.53125,368068.75,465101.28125
177,334682.25,407450.34375,394901.78125,369187.90625,414014.03125
178,375832.875,443379.90625,400754.59375,362355.65625,352452.34375
179,361956.78125,392101.65625,422078.625,420126.34375,369428.0
180,357814.15625,321405.84375,344957.25,341589.34375,354254.0
181,421521.0,355775.5,614023.25,478503.90625,456982.125
182,342957.46875,434864.71875,494219.25,384894.21875,385317.09375
183,284069.90625,377144.09375,392061.84375,331354.21875,352121.21875
184,373603.25,575498.6875,409844.0,420202.75,411077.84375
185,412472.71875,402090.96875,395200.96875,466743.53125,291653.0625
186,315132.59375,331994.71875,427704.84375,414301.25,429393.90625
187,393867.25,416253.90625,449397.15625,396497.0,345128.125
188,450999.15625,361176.875,396076.09375,430252.65625,365155.65625
189,387872.59375,328380.71875,421787.0,459779.625,364544.15625
190,388470.34375,401894.15625,410163.09375,381874.28125,364919.53125
191,401091.46875,435723.90625,460494.65625,407546.40625,510648.84375
192,446591.40625,384081.09375,408250.5,559247.0,393392.5
193,361858.375,379251.53125,420169.0,357155.125,381497.5
194,386261.03125,323313.96875,479504.21875,348472.53125,466507.34375
195,403333.53125,374926.71875,435736.625,413470.59375,433119.78125
196,349484.96875,402477.09375,427211.09375,395300.875,503925.375
197,405142.75,491342.0,390747.78125,364509.875,403140.21875
198,450779.59375,429640.65625,414672.65625,457778.75,360811.59375
