,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,219206.40625,222754.75,221378.671875,222930.59375,221235.328125
1,216499.453125,221028.03125,218518.796875,221924.078125,217743.203125
2,215151.078125,219584.46875,217469.84375,217907.453125,218597.453125
3,213684.84375,217283.375,214713.25,217541.09375,215086.46875
4,213536.96875,213022.28125,212868.546875,216990.046875,213404.546875
5,210540.953125,212899.078125,214451.96875,215234.125,214041.296875
6,204898.375,208742.5625,211156.78125,211810.03125,212420.90625
7,204950.90625,211943.53125,208774.15625,210128.125,209232.609375
8,208008.84375,207524.703125,210447.953125,208468.046875,205319.609375
9,204783.890625,205413.953125,207759.15625,204502.34375,203133.515625
10,200728.984375,200926.1875,203924.71875,202642.421875,202653.40625
11,196969.0625,204770.203125,199197.625,199058.40625,201258.640625
12,202891.34375,191997.046875,202732.40625,200433.21875,195711.828125
13,205183.5625,195515.375,196809.109375,197833.53125,196021.15625
14,200305.0,192945.03125,187846.578125,186374.90625,188268.25
15,187865.21875,195696.453125,191430.328125,189501.53125,185466.21875
16,185173.484375,191387.265625,184079.109375,196963.40625,193691.625
17,182324.75,179639.078125,188751.53125,192703.09375,192482.828125
18,183898.59375,174584.171875,179219.375,177147.71875,186007.53125
19,172704.15625,173189.65625,179365.359375,185200.234375,189200.28125
20,186232.671875,174172.28125,173505.28125,173266.703125,175648.90625
21,167560.4375,163812.984375,187496.78125,170109.671875,177957.40625
22,176867.0,168708.90625,181833.859375,173798.953125,174919.5
23,182068.125,153114.296875,171390.15625,169518.53125,173627.25
24,166578.78125,166206.765625,180553.296875,168416.34375,176210.484375
25,172241.1875,157003.59375,179880.46875,163196.75,178454.359375
26,183520.625,163990.953125,183957.03125,167825.15625,174541.15625
27,164928.671875,166377.28125,168693.125,157824.046875,170246.28125
28,165439.515625,147281.765625,174102.109375,148776.96875,164974.3125
29,161673.703125,156267.90625,168292.671875,145950.921875,163067.40625
30,167219.96875,155262.96875,160961.015625,143650.453125,172268.109375
31,160187.71875,158854.828125,157977.375,146664.40625,168091.734375
32,174019.5625,152461.234375,149503.390625,168634.5,166012.28125
33,167791.15625,182804.421875,165468.921875,165013.09375,164536.359375
34,146170.828125,146931.5,153125.078125,149955.078125,178022.8125
35,164974.71875,156840.78125,158678.40625,163987.75,158103.875
36,161290.15625,145674.265625,155625.984375,142670.96875,172163.859375
37,158399.328125,145338.90625,138119.109375,151476.1875,155655.71875
38,146563.890625,168281.734375,151160.09375,137950.15625,157582.484375
39,148343.671875,152840.65625,144236.75,151658.71875,154471.484375
40,140470.203125,142999.671875,133438.40625,148816.9375,162805.71875
41,147781.296875,140590.421875,135669.828125,139674.28125,172236.5
42,165293.65625,147292.046875,158582.296875,132343.84375,144987.5
43,141441.703125,136229.5625,144451.71875,147735.203125,153383.65625
44,165469.21875,150958.515625,147352.25,147489.125,147743.65625
45,150937.3125,135122.140625,130931.875,134471.6875,151452.328125
46,140388.5625,129045.109375,152464.84375,149998.34375,152271.484375
47,138278.421875,138886.484375,124043.484375,168390.96875,148123.734375
48,156608.203125,143658.234375,130773.9375,133816.484375,162567.703125
49,139865.28125,141133.109375,142227.15625,134153.34375,155475.578125
50,139485.34375,132021.859375,130049.5,151699.28125,151233.21875
51,134482.4375,137580.578125,153275.40625,136546.8125,154171.40625
52,154646.1875,128194.4609375,122875.453125,128677.9609375,152109.953125
53,147313.484375,124271.828125,142117.96875,119726.3984375,137454.0
54,143405.765625,134111.9375,174550.15625,127953.171875,149663.5
55,132600.453125,136926.25,124679.1015625,142321.84375,156989.15625
56,146148.0625,121397.4609375,124182.0625,129576.765625,147949.140625
57,136933.09375,132018.921875,120085.703125,143253.78125,143941.953125
58,146468.53125,127882.8515625,122429.203125,119234.1484375,143910.46875
59,135761.1875,127134.125,130909.0859375,124612.625,145964.1875
60,138493.90625,134954.328125,140635.28125,131979.71875,127808.1484375
61,129416.546875,135634.125,119472.9765625,151613.78125,151455.46875
62,135918.421875,125241.4609375,132536.546875,119307.6875,136185.078125
63,137975.03125,136569.71875,135161.46875,133105.65625,142336.609375
64,126750.3984375,129465.921875,121508.203125,126161.8359375,148948.125
65,161799.671875,139160.5,135584.09375,132821.28125,152940.59375
66,130087.453125,125585.203125,126146.5390625,124669.015625,146067.109375
67,143193.8125,142026.71875,133237.328125,121393.546875,131467.96875
68,140654.203125,149548.40625,119548.1875,123926.515625,132768.328125
69,127164.703125,121235.953125,130508.046875,113254.0,152535.34375
70,140641.671875,142423.53125,125082.953125,116659.328125,137196.8125
71,130178.25,132575.46875,127073.453125,114883.75,137848.78125
72,122934.953125,122918.734375,126060.421875,113804.2734375,143699.90625
73,132062.046875,121690.328125,160742.71875,111638.6484375,124310.609375
74,124397.828125,114698.015625,122109.828125,134789.359375,138505.859375
