,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,17108.91796875,17480.92578125,18402.88671875,17132.91796875,18025.87890625
1,14772.6484375,14853.072265625,18964.341796875,16915.931640625,18302.4609375
2,17253.77734375,15843.3076171875,15295.384765625,14584.203125,17954.18359375
3,18550.806640625,14733.615234375,14336.416015625,14379.4326171875,15512.884765625
4,15309.134765625,14792.1533203125,13886.447265625,14345.794921875,14063.7939453125
5,14236.650390625,14444.802734375,13505.857421875,14103.8955078125,13972.6298828125
6,13610.7939453125,13088.2041015625,14121.330078125,12911.798828125,14858.0654296875
7,14110.0126953125,14894.400390625,14558.6484375,14408.8779296875,15878.0341796875
8,14657.4248046875,14935.9609375,14366.8515625,13660.8701171875,13672.9873046875
9,13398.314453125,14194.8359375,15219.4111328125,12768.24609375,14336.6220703125
10,12547.7294921875,13499.283203125,14308.828125,13562.5576171875,14088.908203125
11,15369.478515625,13447.6826171875,13017.9287109375,14513.7548828125,12907.4111328125
12,12965.955078125,13539.5595703125,16117.369140625,14867.1533203125,14530.7763671875
13,13619.2470703125,13129.041015625,13029.2099609375,13612.3515625,13042.1171875
14,13217.1376953125,14005.9921875,13240.78125,11198.7451171875,12147.865234375
15,14150.3330078125,13514.642578125,14186.734375,15051.859375,11750.333984375
16,13190.392578125,12699.84765625,13436.046875,13065.9794921875,15288.2685546875
17,14305.0595703125,12283.287109375,13107.720703125,13058.93359375,14449.1923828125
18,14338.96875,12173.416015625,13762.669921875,11557.4287109375,13583.291015625
19,12247.916015625,12446.8447265625,13435.6689453125,12476.7001953125,12378.677734375
20,12096.978515625,11376.701171875,14182.1591796875,12334.3134765625,14091.955078125
21,12014.7509765625,13984.986328125,14025.958984375,13308.685546875,12897.4765625
22,12315.404296875,12696.9814453125,13451.1533203125,12020.064453125,12390.568359375
23,13045.10546875,11849.171875,12126.890625,11706.36328125,12258.5546875
24,12197.8564453125,12383.232421875,13368.017578125,12319.0859375,13269.5107421875
25,12754.572265625,12255.724609375,14006.578125,12710.818359375,13205.484375
26,14121.0439453125,12114.806640625,14514.271484375,12864.646484375,14111.853515625
27,11293.8017578125,12578.845703125,12060.046875,12920.3955078125,12472.5029296875
28,13433.6982421875,10364.017578125,12591.765625,12902.63671875,13921.28125
29,14913.330078125,12833.3173828125,13256.267578125,12527.73046875,13632.3466796875
30,12428.009765625,11992.4375,13668.4814453125,10734.501953125,12694.1826171875
31,12054.896484375,11695.513671875,12259.38671875,13056.15234375,12478.2421875
32,14589.3095703125,11841.7685546875,12646.365234375,14229.4033203125,12027.2548828125
33,13507.2236328125,14069.7216796875,13186.9296875,13619.4794921875,11414.46875
34,13206.435546875,11994.36328125,11253.02734375,11829.220703125,14196.6796875
35,14220.5341796875,10758.3671875,11790.013671875,12995.1376953125,12861.396484375
36,12307.173828125,12809.712890625,12538.6318359375,10868.330078125,12990.318359375
37,13294.763671875,11964.470703125,12311.958984375,12684.0068359375,11894.158203125
38,11922.91796875,12121.576171875,12167.806640625,12517.546875,11405.0283203125
39,12559.759765625,11732.1015625,11683.5673828125,10688.111328125,14715.1015625
40,10021.953125,12678.658203125,12650.8935546875,12532.369140625,13100.158203125
41,11742.462890625,11838.912109375,12675.1689453125,12210.8251953125,12797.8447265625
42,11691.6923828125,11837.2548828125,11925.896484375,9275.017578125,13744.783203125
43,13015.041015625,9624.0927734375,11654.0087890625,13025.990234375,12162.3173828125
44,12633.765625,12977.2529296875,12892.66796875,9966.04296875,13215.685546875
45,11332.73828125,12758.197265625,11726.423828125,12275.712890625,12485.826171875
46,12466.6181640625,11561.8173828125,12877.4072265625,12689.5576171875,12280.4912109375
47,13543.8544921875,11351.1103515625,10467.5390625,11498.4755859375,12064.443359375
48,12270.7841796875,16634.57421875,11328.09375,11649.859375,12600.841796875
49,13300.2470703125,14688.1044921875,10286.4765625,11723.2255859375,12656.01953125
50,12788.126953125,13961.3330078125,11632.189453125,11361.353515625,12535.275390625
51,13740.029296875,13518.857421875,14345.501953125,11197.318359375,11735.48828125
52,13169.666015625,12045.177734375,14245.3828125,13020.033203125,11253.388671875
53,12786.32421875,12038.208984375,13689.361328125,11923.333984375,11437.009765625
54,13593.798828125,14233.6748046875,12374.2509765625,10306.8154296875,12572.541015625
55,12292.0703125,12816.716796875,11139.76953125,10855.083984375,11089.853515625
56,13033.205078125,12899.935546875,11987.962890625,10738.2109375,12936.693359375
57,11826.251953125,13077.3798828125,11222.005859375,11921.1884765625,12408.498046875
58,14832.6689453125,12698.310546875,11236.384765625,11156.6416015625,13115.2763671875
59,13895.8779296875,12451.91015625,11724.673828125,11511.41015625,12826.568359375
60,13749.013671875,12260.4560546875,10014.2939453125,10744.0634765625,12675.001953125
61,13095.732421875,13541.7236328125,9977.416015625,11311.427734375,11927.447265625
62,14406.0517578125,13472.5888671875,13033.7626953125,11502.3017578125,12101.9677734375
63,14302.560546875,12635.935546875,12551.361328125,12474.080078125,10862.5078125
64,13421.0107421875,12991.6416015625,11662.54296875,12892.576171875,10464.322265625
65,12636.552734375,12741.4638671875,14290.953125,13144.009765625,11698.337890625
66,12253.31640625,12420.248046875,11484.1103515625,12655.1259765625,11960.025390625
67,13164.6171875,13208.5908203125,12203.9267578125,13501.177734375,11578.166015625
68,12997.06640625,12363.419921875,11368.4248046875,11379.05078125,10403.513671875
69,11883.57421875,12824.7998046875,10858.384765625,11444.5517578125,12072.357421875
70,12247.509765625,12766.046875,11604.595703125,12039.9794921875,11419.8955078125
71,13554.412109375,13874.521484375,12439.228515625,11200.986328125,12082.7841796875
72,13052.244140625,14268.779296875,12368.3466796875,12094.509765625,12221.486328125
73,11702.94140625,12991.744140625,12521.4951171875,12022.232421875,9710.751953125
74,13538.8330078125,12629.8125,11651.240234375,12724.548828125,11369.3662109375
75,12292.046875,13190.4111328125,13617.732421875,13673.6220703125,11855.0322265625
76,13724.4375,12076.935546875,10933.9951171875,12873.095703125,11154.00390625
77,13853.6796875,13580.708984375,12474.4248046875,11104.802734375,10579.9892578125
78,11594.919921875,13010.6875,14007.017578125,12766.5654296875,11521.9384765625
79,10805.728515625,14104.849609375,11599.0673828125,13031.4541015625,12117.7412109375
80,13733.9111328125,12899.466796875,11830.3076171875,13359.1064453125,13053.5263671875
81,14477.9267578125,12640.552734375,10063.423828125,11691.548828125,11191.201171875
82,13776.490234375,12581.853515625,13683.2294921875,11464.0400390625,12205.623046875
83,13127.5966796875,12219.0009765625,11340.7509765625,12757.935546875,12481.3349609375
84,13923.0830078125,11877.662109375,12688.005859375,11331.1513671875,13574.453125
85,12706.8369140625,14122.2861328125,13432.732421875,12310.6435546875,14060.984375
86,12848.669921875,12257.2890625,13900.5498046875,10671.712890625,14417.173828125
87,12488.74609375,11321.8203125,12688.751953125,14058.720703125,13434.4111328125
88,13292.484375,12756.6015625,13838.693359375,11672.9462890625,14475.400390625
89,12690.275390625,13482.751953125,12159.67578125,12070.849609375,13405.537109375
90,12460.7275390625,12826.0400390625,11364.8994140625,12357.33203125,12879.4580078125
91,12796.4130859375,13159.802734375,13035.474609375,12937.615234375,11601.736328125
92,13197.9638671875,13789.4345703125,11309.2060546875,11704.78515625,13444.470703125
93,12046.5986328125,12408.6669921875,11381.3271484375,12594.6103515625,12579.2333984375
94,12879.533203125,11191.609375,12275.701171875,12204.6923828125,13861.9736328125
95,11589.28125,11927.130859375,10588.2705078125,12782.115234375,12711.06640625
96,12696.9736328125,12955.1640625,12253.6083984375,12687.8017578125,11141.9091796875
97,11043.044921875,11360.86328125,10932.587890625,11291.751953125,11521.6259765625
98,11635.0048828125,13232.1953125,12346.7333984375,11981.986328125,16307.5361328125
99,11094.0458984375,13997.1201171875,11971.369140625,10904.728515625,13352.3486328125
100,12594.14453125,14239.2373046875,11814.7958984375,11419.33984375,12035.515625
101,12257.357421875,13148.1875,12990.337890625,12038.2109375,12856.4990234375
102,11816.634765625,10411.939453125,13699.544921875,13164.1376953125,11611.1025390625
103,12524.4306640625,14946.6435546875,12246.669921875,12149.0634765625,12438.5390625
104,11110.0078125,12202.19921875,13139.8515625,12159.841796875,14133.296875
105,12310.837890625,10981.5517578125,13772.4248046875,11633.134765625,12079.5029296875
106,11069.970703125,12048.357421875,12929.349609375,12429.353515625,12118.115234375
107,11741.1484375,10751.6357421875,11543.0234375,12535.5390625,13513.8095703125
108,11796.205078125,11717.12890625,11289.8076171875,12653.580078125,11228.4248046875
109,11133.8095703125,12065.3916015625,14539.4404296875,10634.365234375,11770.013671875
110,11940.26953125,12330.955078125,12854.662109375,9979.9892578125,12017.5595703125
111,12233.9677734375,11794.736328125,13109.517578125,13309.248046875,12984.33984375
112,12420.6513671875,11957.33203125,12056.1962890625,12650.568359375,12531.283203125
113,14054.689453125,10948.8330078125,12393.1376953125,12983.6982421875,12028.939453125
114,13269.427734375,13135.9482421875,11784.1748046875,10652.2705078125,11964.072265625
115,13601.5498046875,12289.564453125,12553.076171875,11337.1337890625,11318.94140625
116,11615.814453125,13448.2783203125,12777.509765625,11055.9296875,13658.3310546875
117,11885.2822265625,11726.8642578125,13424.6201171875,10256.9150390625,11934.533203125
118,13517.935546875,14118.427734375,11527.90625,11905.8857421875,13888.4033203125
119,12680.6435546875,12363.44140625,13109.4091796875,9639.009765625,12205.4365234375
120,12487.236328125,11008.1162109375,12439.896484375,13373.240234375,10259.5859375
121,12787.130859375,12003.2734375,11370.341796875,11711.759765625,14856.986328125
