,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,275891.625,264282.6875,273207.3125,273891.3125,261544.90625
1,292115.3125,246499.75,274882.875,312288.28125,304391.09375
2,285378.75,223833.921875,242488.15625,235712.09375,237114.875
3,244296.84375,225936.65625,223799.84375,206711.78125,202733.375
4,219659.046875,196898.453125,201563.46875,219542.03125,183583.328125
5,212649.875,207194.40625,214299.28125,201931.03125,178035.46875
6,218898.453125,186786.28125,188629.796875,171548.59375,240002.703125
7,194504.203125,174687.5,187307.125,181133.53125,195106.625
8,201402.21875,181393.453125,205344.84375,158529.703125,192630.4375
9,167208.65625,131943.453125,228652.84375,143062.28125,166685.078125
10,214178.84375,163923.046875,154335.65625,143797.96875,165460.46875
11,169232.78125,157344.8125,154801.234375,159223.53125,196579.0
12,169801.65625,152076.84375,165743.96875,139978.59375,157755.78125
13,213319.078125,143268.71875,145806.609375,133397.296875,123064.109375
14,175694.21875,156370.28125,143953.15625,119667.734375,195298.796875
15,151482.21875,148124.234375,143175.09375,133194.109375,161444.703125
16,164139.96875,139253.78125,148208.59375,142213.375,189322.84375
17,180649.484375,121923.6015625,144428.078125,148666.4375,159712.515625
18,170027.34375,160200.28125,144710.296875,123936.3515625,165323.546875
19,148218.71875,138505.484375,132218.03125,152971.84375,147535.40625
20,130200.7890625,117898.375,145917.828125,121322.265625,151696.171875
21,154236.453125,131623.796875,135375.203125,135907.15625,129199.859375
22,149305.5,125316.578125,117428.8984375,145294.21875,132917.15625
23,114343.421875,161197.53125,131261.28125,121621.7265625,132844.625
24,133181.03125,117380.1875,145788.90625,128960.484375,141839.03125
25,124804.1015625,117594.7265625,155613.46875,159680.78125,117326.421875
26,129289.1484375,129801.8359375,134424.84375,120478.765625,161419.09375
27,126086.3515625,110843.390625,114935.375,112186.3515625,132567.859375
28,124073.078125,123495.984375,123511.453125,117011.875,126547.0859375
29,122375.0859375,108729.890625,130866.3515625,121744.078125,116810.078125
30,102800.734375,103157.984375,109867.8984375,113046.375,124503.875
31,112910.546875,114490.140625,117261.5,124549.3984375,105055.125
32,114938.9765625,105684.265625,122689.7109375,141697.03125,103950.40625
33,106320.8515625,107442.046875,105844.2734375,108435.5390625,113472.640625
34,111704.8984375,117176.7734375,102756.6875,111306.5234375,125213.796875
35,122412.203125,114179.5625,118639.625,116211.375,108332.9765625
36,123878.234375,110662.4609375,112089.9765625,136849.875,108849.828125
37,104399.53125,116532.078125,107794.171875,107013.5859375,123748.5
38,98708.3359375,148018.71875,110076.125,126307.5859375,122793.578125
39,94875.5,134519.296875,92633.265625,94229.1875,99855.4765625
40,114534.625,121630.7265625,95327.4296875,137947.28125,104024.3203125
