,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,220786.15625,233246.15625,231020.828125,226382.203125,232106.03125
1,223767.46875,206700.046875,197533.46875,191343.25,194450.328125
2,216823.28125,186730.390625,190149.53125,201160.625,205002.46875
3,183237.46875,199104.75,176559.03125,172219.90625,183494.96875
4,182930.21875,181605.578125,166540.453125,202893.71875,171708.53125
5,180868.78125,175442.296875,175106.21875,181105.78125,181775.6875
6,170979.71875,180594.96875,158138.0625,186066.703125,167290.515625
7,164099.546875,173115.5,197682.9375,167554.0,148043.21875
8,159125.796875,166876.953125,156743.375,161756.5,139423.578125
9,160993.71875,168722.203125,180178.703125,150518.796875,141952.265625
10,166010.953125,153515.421875,182828.15625,139279.15625,162848.703125
11,144153.265625,157555.109375,153428.21875,140510.96875,156513.28125
12,150429.65625,156905.84375,127692.2265625,158469.8125,145121.53125
13,160352.125,165368.96875,148946.15625,124693.484375,143737.65625
14,158252.140625,115450.734375,148404.453125,145431.890625,181967.34375
15,135943.53125,144500.109375,136688.65625,160671.1875,153916.1875
16,142496.953125,145245.296875,137490.9375,159404.5625,177852.34375
17,132606.8125,150675.53125,151941.96875,144077.0,173350.734375
18,136745.21875,133080.96875,138708.59375,130296.9609375,156927.625
19,120080.1640625,129443.109375,158752.59375,155874.578125,163813.984375
20,130197.5234375,126514.265625,135586.59375,126767.703125,141962.15625
21,115488.671875,133700.15625,125472.0859375,127337.5859375,143114.953125
22,124717.109375,138527.625,124319.328125,121183.515625,138889.078125
23,150385.6875,122993.2734375,130056.5234375,131053.234375,112175.171875
24,125060.296875,111682.3515625,124556.453125,139039.03125,139756.875
25,149995.0,106031.078125,152393.71875,124071.359375,129615.2734375
26,115060.1015625,118162.421875,122354.1015625,122461.859375,135420.84375
27,104637.6640625,109420.796875,103596.609375,145332.5,163509.78125
28,127939.171875,106270.265625,107285.125,117033.5234375,123393.890625
29,137271.234375,116042.296875,110762.078125,113353.515625,136224.25
30,115960.890625,113365.0625,110262.7109375,126707.7890625,133072.21875
31,112381.5625,95197.78125,107963.7734375,101276.578125,104982.734375
32,130818.671875,136744.046875,106926.546875,137605.5,119350.5390625
33,119428.796875,146172.140625,142585.234375,100683.0625,101473.0859375
34,122894.3515625,105489.953125,112671.296875,109481.296875,149029.703125
35,131076.078125,117201.7890625,111122.921875,125095.1484375,115567.25
36,144586.046875,123390.7734375,143436.90625,107304.3125,126352.2890625
37,116544.609375,124796.1875,106622.6015625,121405.171875,129151.2265625
38,117614.7734375,105622.578125,120152.625,127410.4765625,102976.921875
39,112637.0,104479.671875,106220.5625,90869.0,125951.6875
40,112952.9765625,142461.09375,108519.796875,107534.4140625,134327.078125
41,97004.4140625,98680.953125,111266.9375,122344.4765625,130393.8515625
42,127011.140625,127277.3515625,107931.390625,97642.2265625,104200.390625
43,112995.0234375,119304.109375,115219.453125,106069.8984375,124240.1015625
44,124692.125,126961.7734375,103334.0859375,129184.3125,140258.984375
45,115549.109375,112934.359375,111548.0234375,126465.578125,117563.9609375
46,140472.953125,115475.7890625,133244.453125,124008.9609375,146291.09375
47,108948.4609375,123780.0390625,104342.625,131553.46875,125895.2734375
48,112328.234375,125938.375,100440.8125,143087.90625,112892.625
49,108440.0,169936.265625,97925.7265625,136833.515625,117459.3125
50,119619.203125,129189.796875,111669.5390625,133169.828125,120704.515625
51,125300.7109375,139526.96875,111344.75,122402.5,109970.75
52,119530.5859375,128741.125,108392.0,116015.3515625,118046.8984375
53,118131.890625,110674.0859375,96566.0546875,113816.7265625,126765.296875
54,125014.2109375,126956.5625,127194.578125,153456.453125,113584.109375
55,99785.078125,132451.875,108375.734375,145469.03125,128383.171875
56,108673.8125,138216.953125,113544.8125,121688.0859375,105052.9765625
57,145256.390625,122632.453125,115047.5859375,122094.3984375,125203.0390625
58,109013.5234375,120841.2734375,107774.6015625,139014.234375,120220.453125
59,132554.046875,101051.8125,101104.5,99526.3046875,123757.453125
60,122802.3125,111397.7734375,105390.109375,106839.546875,150281.0625
61,112388.203125,111731.2734375,93734.2109375,133370.765625,132916.671875
62,132679.65625,101372.265625,133312.890625,128411.8984375,109296.796875
63,155664.171875,122695.7890625,103867.640625,127163.4765625,107263.578125
64,91070.1640625,114814.296875,121373.265625,124758.8515625,121102.859375
65,133335.171875,112955.7890625,132310.171875,122092.7734375,114440.3984375
66,108349.546875,162296.375,94166.5703125,112281.640625,140500.796875
67,142774.84375,136726.453125,98656.6875,114473.8125,126935.8125
68,109722.3515625,116916.1015625,108709.1640625,90229.640625,134627.71875
69,102977.671875,97576.3125,119271.75,109851.703125,132068.15625
70,111496.2890625,104738.2109375,108502.25,109324.4765625,116830.9609375
71,106265.6015625,126053.6875,99896.859375,93284.9609375,106956.046875
72,92462.765625,103160.5625,106672.5859375,99696.5234375,135550.890625
73,109569.546875,99825.9296875,107362.4609375,96364.0859375,105982.1640625
74,93490.7578125,110083.7734375,107974.421875,101103.5,128896.125
75,104332.828125,120695.8359375,112533.2734375,121577.609375,119226.875
76,98424.1171875,115952.7890625,120714.8984375,94210.828125,117225.2890625
77,100447.71875,107349.8125,117342.359375,108533.6484375,103449.7265625
78,103093.5,122290.890625,108357.453125,110389.9140625,116374.671875
