,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,92118.0234375,95489.2578125,98606.765625,99246.4609375,100556.234375
1,83347.6015625,82130.53125,88326.890625,114581.7109375,90674.1953125
2,82930.0859375,80021.53125,90039.5625,82651.0234375,82266.484375
3,71380.9921875,69040.484375,83090.1328125,87870.3828125,83377.71875
4,75724.234375,68958.46875,74421.1875,78377.828125,77214.421875
5,77127.078125,66287.875,65904.625,74912.75,74443.640625
6,86954.6328125,51597.39453125,75597.4609375,70667.25,70481.4453125
7,90166.5234375,75095.4296875,65918.7265625,72418.3984375,70130.5234375
8,94998.1015625,55608.94921875,73132.265625,68975.5234375,70926.8359375
9,75115.8984375,62691.9609375,66002.609375,62076.2109375,74917.3125
10,81990.828125,56918.58203125,68954.6015625,57155.76171875,60372.5234375
11,71586.3125,56988.6015625,55298.13671875,53023.9921875,64830.0625
12,70457.734375,53966.76171875,81721.421875,62108.8359375,63085.0
13,80054.90625,61844.3046875,61318.51953125,76606.984375,58340.125
14,75770.828125,67837.546875,88611.3359375,56527.13671875,86681.9921875
15,69104.1640625,64645.33203125,85578.234375,57556.0390625,62738.2265625
16,67554.765625,55023.82421875,67369.0390625,61889.1171875,68431.53125
17,75877.921875,55950.9140625,68995.1953125,60931.48046875,66947.3671875
18,60844.6015625,59587.05078125,54422.82421875,59251.7734375,76093.578125
19,66514.4140625,64498.66796875,69644.921875,59064.9375,75014.03125
20,62544.58203125,52069.4140625,75172.6875,60225.03125,63261.83203125
21,67589.4921875,64232.60546875,79893.671875,68167.859375,65805.2734375
22,80841.671875,74072.9609375,67729.578125,64558.60546875,61387.67578125
23,71191.734375,65883.46875,61062.44921875,56205.80078125,62240.3515625
24,65742.359375,75028.9296875,69530.046875,57534.46875,58490.5078125
25,64192.10546875,64311.91796875,83448.109375,57469.14453125,67525.65625
26,59323.6875,54126.8515625,64672.5390625,71056.390625,61786.4375
27,75310.234375,72976.8203125,61556.5625,58209.86328125,68194.5703125
28,58704.23828125,51629.15625,61539.0625,64427.1484375,64376.44921875
29,56179.3125,58730.875,73694.2890625,51234.87109375,67161.515625
30,65779.125,58766.3046875,59984.48046875,56844.4453125,59474.14453125
31,58007.95703125,62719.60546875,56568.0390625,67491.265625,63848.1875
32,61466.39453125,61149.2890625,55929.07421875,74025.2265625,61656.7890625
33,57902.5234375,74586.234375,69982.3203125,61788.6484375,57339.10546875
34,64663.98828125,78275.703125,53235.5234375,51658.8515625,82121.96875
35,74258.1875,67282.1328125,63767.48828125,70165.2890625,59764.6640625
36,77674.6640625,75086.421875,75373.4765625,62395.63671875,61861.7109375
37,67896.546875,70335.4453125,61681.94921875,66231.25,63698.6875
38,57188.7734375,73973.8828125,59657.84375,66768.203125,67712.3828125
39,66108.546875,68509.5859375,70350.9140625,63014.9140625,64698.5625
40,59051.4765625,61484.54296875,66814.5859375,68490.6640625,55437.2578125
41,59816.6875,61231.16796875,57752.83203125,65853.8515625,68677.921875
42,60503.5234375,55760.46875,58002.36328125,60468.41796875,54472.67578125
43,52596.61328125,54952.34375,51450.4609375,67908.390625,59962.20703125
