,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,243197.8125,243024.6875,241027.75,244019.828125,243027.328125
1,233561.5,233659.328125,229782.46875,235264.359375,231817.078125
2,227072.0625,233018.109375,227776.4375,224130.21875,219789.625
3,224370.8125,221514.015625,219955.1875,230362.609375,237486.1875
4,230210.46875,215236.984375,221599.78125,229491.03125,222336.03125
5,211669.390625,229337.9375,215661.625,215010.484375,235105.5625
6,227901.109375,229895.359375,227619.25,221458.078125,224265.71875
7,218719.21875,215982.859375,229210.046875,218844.34375,232181.4375
8,218685.140625,211740.359375,220999.75,223079.59375,216262.359375
9,229620.984375,233412.671875,219122.6875,218461.25,221779.734375
10,217008.171875,206552.765625,206593.578125,225448.5625,216221.6875
11,205856.8125,210361.359375,204992.390625,231024.53125,208525.140625
12,208451.59375,220234.1875,205716.9375,215779.359375,220848.71875
13,207393.09375,208978.3125,224708.109375,215258.078125,218304.8125
14,211990.390625,208386.265625,208647.53125,222680.375,218406.53125
15,205117.15625,216307.53125,218970.109375,210075.875,217326.484375
16,208237.5,221001.5625,209408.921875,209413.046875,210702.6875
17,209604.359375,226192.53125,210448.828125,215042.96875,189783.421875
18,195789.875,216076.421875,206919.328125,216305.0625,197534.0
19,205050.1875,199372.109375,200732.6875,228744.59375,232638.4375
20,193214.8125,233946.03125,219248.21875,216938.765625,211386.0625
21,218088.921875,212080.0,205969.21875,210751.1875,211136.453125
22,216452.71875,204508.8125,202922.171875,214822.578125,202506.296875
23,220982.140625,200233.9375,209693.0625,201081.5625,222342.9375
24,215441.4375,221942.375,209234.90625,210953.53125,214522.546875
25,205606.265625,210852.90625,194127.109375,219727.6875,221458.609375
26,206293.421875,185734.9375,206737.265625,207566.4375,222262.96875
27,230014.390625,229666.828125,212113.0625,203907.671875,216707.25
28,199878.1875,209291.921875,208176.171875,220556.203125,211239.8125
29,215160.65625,200858.515625,208167.5625,218246.84375,222936.640625
30,209923.890625,210355.984375,208915.65625,203325.078125,199588.609375
31,218162.484375,211154.28125,209457.484375,206109.140625,214564.6875
32,211602.8125,206003.828125,217919.859375,216882.1875,203835.140625
33,225024.1875,212803.5,207792.578125,203323.734375,204278.5625
34,221687.796875,200230.984375,213372.546875,199384.640625,202157.0625
35,211445.9375,216686.34375,209712.390625,204191.515625,199979.1875
36,198130.875,210275.59375,217494.4375,195522.953125,225466.0625
37,193751.953125,211582.8125,215047.015625,212241.046875,219554.125
38,220559.171875,204248.375,200852.0,202381.6875,208898.671875
39,194317.390625,201055.1875,214917.15625,208254.6875,216956.53125
40,232859.9375,213899.375,222958.3125,228066.0625,224033.75
41,216306.625,197039.6875,204299.515625,208408.859375,213572.5
42,210921.3125,189269.59375,218780.140625,211489.65625,202054.15625
43,228150.703125,197795.09375,214411.5625,220658.703125,202592.921875
44,207376.1875,201911.671875,196564.328125,219473.359375,209199.28125
45,216082.375,206451.625,228748.578125,207141.546875,198568.109375
46,202955.09375,206789.78125,210175.59375,210008.9375,191043.703125
47,201515.75,204792.34375,210150.703125,204514.328125,214052.6875
48,206109.59375,203728.78125,214929.8125,216557.8125,216291.015625
49,191334.3125,207220.53125,216512.828125,215810.8125,205894.078125
50,197669.046875,204172.15625,203461.671875,193017.859375,200159.046875
51,211942.5,187280.90625,220978.1875,212336.0,214442.890625
52,207671.46875,206732.890625,214970.8125,230655.640625,217684.140625
53,205820.578125,215846.328125,208138.765625,212245.1875,204641.109375
54,204083.53125,209951.203125,219976.71875,214205.015625,207815.421875
55,213305.34375,189951.203125,200191.453125,206240.1875,205377.8125
56,228416.484375,201460.75,205005.34375,221373.21875,219333.640625
57,208693.171875,204536.828125,206803.328125,201712.078125,202534.1875
58,208285.265625,223666.34375,216801.0625,199674.8125,221713.4375
59,211451.953125,213597.890625,227427.578125,202415.578125,204646.90625
60,216763.09375,226031.03125,211577.5,222738.890625,224634.4375
61,222788.09375,218540.953125,218383.453125,201134.375,204370.9375
62,209123.703125,211188.140625,225336.53125,218726.84375,213401.90625
63,210479.453125,199337.953125,210235.8125,206759.03125,186381.796875
64,204906.015625,207904.78125,214849.28125,208902.328125,216978.96875
65,200697.40625,220333.109375,212669.921875,223626.078125,215555.21875
66,213784.046875,207676.859375,209932.78125,205356.578125,202196.046875
67,216082.0625,214061.515625,203652.15625,202924.171875,211739.75
68,207416.953125,233396.0625,215861.8125,203836.453125,222353.0625
69,212573.84375,205454.890625,208288.78125,211907.9375,201499.96875
70,197687.703125,215427.65625,204437.171875,191747.328125,209504.84375
71,196362.40625,206905.359375,197323.953125,212306.546875,191257.71875
72,201152.609375,216431.5,211050.78125,232242.125,203949.515625
73,218383.234375,207458.734375,228420.1875,202880.15625,226177.359375
74,214559.890625,192735.390625,207960.625,215283.03125,217000.296875
75,209606.59375,207884.953125,203515.40625,201817.96875,205864.59375
76,199037.296875,205056.859375,207914.765625,211145.6875,206508.6875
77,198651.703125,201261.8125,199150.078125,204648.359375,213706.765625
78,194793.4375,213443.703125,207402.28125,210938.21875,211214.015625
79,209865.53125,199028.9375,202171.625,231021.96875,207674.234375
80,199523.59375,208065.578125,212562.84375,209028.1875,202112.0625
81,217290.5625,206086.640625,201458.796875,199480.265625,195665.9375
82,201999.53125,201567.53125,208618.546875,203921.0625,206853.671875
83,208385.953125,195185.5625,192783.75,195331.8125,201488.03125
84,202897.296875,218752.890625,202668.8125,204044.96875,212722.78125
85,208283.8125,202416.96875,188928.765625,209738.8125,213160.125
86,191267.125,207204.46875,210307.6875,199908.1875,209973.15625
87,209688.96875,216288.015625,217245.4375,202065.3125,202977.09375
88,204264.75,209972.21875,212416.890625,209078.9375,199449.0625
89,212228.4375,202456.1875,205670.390625,214282.484375,199614.46875
90,198703.125,221421.03125,222963.921875,200232.859375,209098.71875
91,208565.875,202344.375,218496.5,224803.5625,209001.28125
92,206813.421875,205199.34375,215552.921875,203865.640625,198985.8125
93,205862.09375,201610.0625,204920.328125,213772.828125,210046.140625
94,198336.859375,217738.625,207710.859375,203581.234375,201759.8125
95,200885.84375,217160.390625,200759.859375,212731.96875,207131.640625
96,212487.21875,212609.5,238700.359375,214158.984375,202027.484375
97,199015.046875,221793.0,198833.609375,203504.1875,207274.6875
98,203508.421875,192989.296875,220807.875,203928.40625,219001.53125
99,196285.25,198283.296875,208939.1875,203707.265625,207256.25
100,200316.421875,203408.078125,212724.046875,208109.109375,197295.28125
101,207829.9375,206372.4375,214178.515625,207826.359375,208547.265625
102,224770.890625,208660.59375,214927.203125,197803.78125,213808.375
103,206251.203125,222110.71875,213411.5625,210144.4375,213151.84375
104,194243.453125,207889.1875,214689.96875,210297.265625,211057.3125
105,181080.9375,189868.5,199699.09375,218497.5,221751.046875
106,204801.015625,188571.296875,210623.921875,205470.65625,208098.25
107,205752.078125,226695.71875,202819.0,203934.640625,197544.28125
108,208513.0625,204695.75,206470.734375,213154.640625,194741.8125
109,212113.875,224294.96875,216312.640625,212846.078125,193587.09375
110,195828.328125,211782.796875,218656.3125,207914.125,194434.6875
111,214665.5625,207819.59375,222503.5625,215097.65625,204718.453125
112,191494.875,214372.890625,213086.390625,217049.375,203931.6875
113,196151.578125,227361.4375,208079.65625,218079.9375,217569.828125
114,217622.515625,210868.8125,208246.984375,185983.953125,200060.46875
115,206376.375,207287.03125,225296.6875,214675.8125,218199.375
116,209629.09375,213418.453125,203009.359375,220522.84375,210984.546875
117,202090.3125,235029.5,208131.078125,209730.421875,196034.0625
118,191423.578125,217584.84375,195480.8125,201269.75,200781.703125
119,196758.875,198513.484375,207737.84375,235301.390625,214621.46875
120,190463.46875,206085.671875,218270.71875,202447.4375,189354.859375
121,207399.65625,206591.9375,207380.21875,197096.71875,213866.453125
122,221672.96875,213301.140625,201226.40625,198816.34375,208989.015625
123,220157.625,211257.1875,209461.703125,205818.84375,215085.734375
