,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,9967926.0,9969156.0,9956020.0,9967621.0,9966476.0
1,9953401.0,9933638.0,9926870.0,9954808.0,9941251.0
2,9947190.0,9927886.0,9901213.0,9923167.0,9923468.0
3,9935711.0,9880117.0,9888965.0,9917625.0,9914491.0
4,9916735.0,9847632.0,9850768.0,9904627.0,9885030.0
5,9919475.0,9850582.0,9888055.0,9837822.0,9866153.0
6,9887235.0,9828883.0,9824104.0,9821390.0,9838214.0
7,9891957.0,9815154.0,9786948.0,9779842.0,9831775.0
8,9868445.0,9735998.0,9712860.0,9759854.0,9768277.0
9,9859779.0,9762694.0,9679648.0,9711094.0,9774091.0
10,9861380.0,9586550.0,9619007.0,9596882.0,9666374.0
11,9813539.0,9536460.0,9736022.0,9687236.0,9713586.0
12,9824619.0,9632156.0,9614101.0,9609927.0,9663238.0
13,9861033.0,9610659.0,9644868.0,9513212.0,9618738.0
14,9740656.0,9645727.0,9635553.0,9672488.0,9642816.0
15,9791477.0,9468479.0,9534495.0,9337500.0,9537008.0
16,9867140.0,9625242.0,9645832.0,9624499.0,9642883.0
17,9805870.0,9546937.0,9573761.0,9315773.0,9569763.0
18,9815412.0,9654551.0,9739441.0,9342733.0,9686701.0
19,9721140.0,9508119.0,9696497.0,9434830.0,9678156.0
20,9717546.0,9593090.0,9520796.0,9581450.0,9391766.0
21,9861623.0,9362481.0,9655104.0,9073877.0,9723097.0
22,9825197.0,9324084.0,9402364.0,9323232.0,9627226.0
23,9741006.0,9495320.0,9466105.0,9176553.0,9396566.0
24,9683025.0,9551753.0,9641567.0,9420764.0,9331564.0
25,9653238.0,9462070.0,9027994.0,9623297.0,9278807.0
26,9617242.0,9344989.0,9140861.0,9040310.0,9445798.0
27,9657307.0,9296280.0,9445540.0,9065940.0,9552946.0
28,9592196.0,9342378.0,9133543.0,9565911.0,9308637.0
29,9538132.0,9384543.0,9396148.0,9377024.0,9552948.0
30,9720532.0,9249228.0,9103641.0,8948576.0,9423856.0
31,9550156.0,9026850.0,9186340.0,9174845.0,9465453.0
32,9718310.0,8971920.0,9014123.0,8929567.0,9511838.0
33,9433370.0,9096249.0,9527182.0,9325918.0,9601932.0
34,9729111.0,9230364.0,9306574.0,9209374.0,9362228.0
35,9529697.0,9361303.0,9464732.0,9442428.0,9252414.0
36,9608608.0,9157780.0,9058423.0,9438656.0,9133382.0
37,9558939.0,9168041.0,9086172.0,9352247.0,9719105.0
38,9598605.0,9593386.0,9584413.0,8916100.0,9384231.0
39,9477284.0,9420166.0,9356162.0,9265428.0,9816559.0
40,9543133.0,9284044.0,9465158.0,9288080.0,9467692.0
41,9534047.0,9359113.0,9560840.0,8950086.0,9327909.0
42,9486349.0,8970340.0,9496612.0,9312653.0,9236661.0
43,9308023.0,9544926.0,9372086.0,9325310.0,9515524.0
44,9614575.0,9516988.0,9286923.0,9725370.0,9662122.0
45,9660079.0,9525140.0,9185647.0,8824404.0,9129292.0
46,9624914.0,9214846.0,9052101.0,9758942.0,9401709.0
47,9570948.0,9295851.0,9571036.0,9346752.0,9260420.0
48,9642288.0,9244502.0,9595569.0,9484780.0,9414021.0
49,9520493.0,9101584.0,9428171.0,9465822.0,9100433.0
50,9553021.0,9165966.0,9231661.0,9065443.0,9432147.0
51,9490711.0,8927241.0,9246972.0,9305725.0,9379078.0
52,9490087.0,9290940.0,9283466.0,9063028.0,9067313.0
53,9463593.0,9417060.0,8788162.0,9321145.0,9265903.0
54,9570740.0,9116009.0,9084490.0,9253322.0,9284991.0
55,9523319.0,9505296.0,9263020.0,9019961.0,9659733.0
56,9618810.0,9201031.0,9177078.0,9084948.0,9860133.0
