,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,5935255.0,5922201.5,5916349.5,5913818.0,5921501.0
1,5846092.5,5823961.0,5814724.0,5806319.5,5814761.5
2,5762200.0,5724556.0,5713276.0,5705235.0,5702003.0
3,5666651.5,5620129.5,5593590.0,5588847.0,5622726.0
4,5575835.5,5537118.5,5431088.5,5501338.5,5529722.0
5,5414219.0,5372283.5,5364432.0,5389302.0,5394092.5
6,5352387.5,5321004.0,5260898.0,5222785.0,5226363.5
7,5166958.5,5153964.0,5087339.0,5062843.0,5152761.0
8,5074513.0,5016203.5,4925294.0,4939666.0,5025370.0
9,4918931.5,4856249.0,4857094.0,4801198.0,4861756.0
10,4722033.5,4786968.0,4755214.5,4725067.0,4752078.5
11,4606540.0,4571283.0,4535642.0,4547620.5,4623678.0
12,4588843.0,4436676.5,4374507.5,4447907.5,4480759.0
13,4403877.5,4405010.5,4303718.0,4196007.5,4346746.0
14,4220186.5,4104133.25,4193998.75,4190118.75,4178265.75
15,4140825.0,3991028.0,3986826.25,3993761.0,4123016.5
16,3950990.75,3960179.0,3836773.25,3861751.5,3858688.0
17,3801257.0,3766110.25,3727871.75,3701262.75,3784145.25
18,3723362.5,3634861.25,3577447.75,3588680.0,3695263.5
19,3618649.25,3544707.0,3490447.5,3557005.5,3599891.0
20,3410757.0,3477555.5,3530873.75,3382895.0,3496385.75
21,3308972.25,3467335.75,3300979.0,3275712.0,3207124.5
22,3227406.0,3187119.0,3203104.5,3313662.25,3153849.5
23,3059059.75,3000625.0,3233078.25,3083694.75,3287843.0
24,3071693.0,2945692.5,2883074.0,2908551.0,2955507.5
25,3061587.0,3078535.75,2890489.25,2819680.5,3007896.0
26,2850368.25,2838900.25,2788753.75,2710273.75,2864495.25
27,2759401.5,2883356.0,2687045.5,2784143.0,2749730.25
28,2861693.0,2635177.5,2597195.0,2636613.5,2663434.5
29,2781887.25,2598040.0,2465486.25,2536728.0,2664257.75
30,2496360.0,2602188.25,2543526.5,2588121.25,2649912.75
31,2570202.0,2709123.0,2430501.5,2459209.5,2542578.5
32,2520919.0,2504602.75,2579130.5,2331352.0,2350811.25
33,2487592.75,2526910.5,2364640.5,2428446.75,2301979.75
34,2293768.5,2346900.75,2176955.0,2420284.5,2473246.25
35,2419533.0,2266392.0,2190354.75,2116405.25,2246224.25
36,2274945.25,2334779.5,2057871.75,2201553.75,2140182.25
37,2136991.0,2501545.5,2225060.75,1966644.25,2141732.0
38,2060098.0,2093785.75,2250027.5,2287375.75,2101567.5
39,2148263.0,2180277.0,2037478.25,1968018.625,2101960.5
40,2091427.75,2079388.625,2007189.375,2086015.375,1990178.625
41,1974735.5,2074312.25,1960225.375,1888847.5,1910888.5
42,1978304.0,1968326.5,1874936.25,1962698.25,2013173.75
43,1943139.5,1894890.25,1895076.25,1759436.125,1823507.75
44,1848127.375,2101557.0,1886316.5,1791169.75,1854991.5
45,1935750.875,1940459.125,2064678.5,1849457.875,1801075.0
46,1788242.625,1835126.375,1828386.625,1726239.5,1725001.5
47,1773101.5,1822409.125,1772735.375,1747943.0,1768521.5
48,1766825.5,1775266.375,1679409.5,1614463.5,1640863.375
49,1749114.375,1730558.375,1855597.5,1711260.75,1855879.375
50,1682581.625,1760160.875,1681306.125,1637842.375,1763977.5
51,1595524.125,1734567.25,1702619.5,1574711.75,1842945.25
