,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,3908713.0,3851797.75,4176199.5,3759633.75,4005014.25
1,4087730.75,4037105.75,3890957.0,4090443.5,3914681.75
2,3858590.75,3936757.75,3891537.25,3948289.75,3909034.25
3,3806301.25,3823510.75,3860827.5,3887698.25,3693733.0
4,3805602.25,3962297.75,3792438.75,3850733.0,3868124.5
5,3642263.0,3846279.0,3755841.75,3919226.75,3857123.0
6,3781269.75,3723678.5,3847105.25,3843750.25,3853189.0
7,3908072.0,3809513.0,3673537.25,3801494.25,3759337.75
8,3859945.25,3705439.0,3869842.25,3819467.5,3762164.5
9,3956711.5,3739755.0,3837871.0,3698350.0,3819988.5
10,3813495.5,3850330.25,3782332.0,3714250.0,3730629.75
11,3822155.5,3797006.25,3785037.75,3847724.5,3667605.0
12,3751061.0,3823486.75,3753895.0,3792018.25,3847182.25
13,3882285.75,3743848.0,3761598.25,3780151.5,3780486.25
14,3865506.75,3819046.75,3781428.0,3847947.5,3751612.0
15,3749364.0,3707657.5,3758263.5,3727474.75,3828612.5
16,3769577.0,3750922.75,3885799.0,3721116.5,3725611.0
17,3738749.75,3731231.5,3769660.5,3743189.25,3748773.25
18,3753667.0,3658065.0,3683561.25,3898976.0,3753047.5
19,3783929.75,3873236.5,3805999.0,3718311.5,3676194.5
20,3794834.75,3777385.75,3774837.75,3708933.75,3789223.0
21,3782563.5,3637592.5,3752989.0,3741149.0,3739445.75
22,3644925.75,3812049.75,3704330.25,3739033.75,3677315.0
23,3699737.0,3729933.75,3795134.25,3821039.0,3683786.75
24,3887549.75,3809891.5,3767258.75,3725385.5,3714051.75
25,3762225.0,3774512.0,3740044.0,3766587.0,3804232.5
26,3733541.75,3684760.5,3704325.0,3695467.25,3806251.0
27,3738397.25,3775382.25,3766357.25,3796174.75,3687124.75
28,3749572.0,3710602.0,3791067.5,3651154.25,3789890.75
29,3683924.0,3746521.75,3756836.0,3770803.5,3765640.0
30,3740316.0,3684341.0,3756002.25,3758185.0,3740831.0
31,3813952.0,3631027.0,3766404.0,3754209.75,3702886.75
32,3737889.25,3688927.0,3777798.75,3724317.25,3735278.25
33,3701462.0,3752552.0,3761000.5,3638829.75,3735273.25
34,3778567.0,3676357.0,3723361.25,3887069.75,3695629.25
35,3721824.25,3734674.25,3765547.5,3720360.0,3711609.5
36,3721631.25,3713142.75,3743666.75,3765047.0,3792869.25
37,3733497.75,3768191.5,3787493.75,3696054.0,3738607.5
38,3681597.25,3725091.0,3749047.5,3716373.0,3740553.75
39,3738339.5,3759370.75,3739229.75,3653823.0,3715797.0
40,3702664.5,3752250.75,3743126.25,3673247.5,3825533.75
41,3700811.0,3707713.0,3770626.25,3735265.75,3747205.75
42,3743993.25,3738881.25,3745974.25,3754820.0,3757785.25
43,3719120.25,3769190.75,3754062.25,3663012.25,3667936.75
44,3790568.0,3693689.0,3711715.0,3728381.25,3645098.25
45,3728206.5,3693127.0,3696011.25,3716849.0,3688130.0
46,3758723.5,3750369.75,3742429.0,3681348.5,3698090.75
47,3721276.0,3680320.25,3728409.75,3663928.25,3683580.25
48,3714013.0,3699089.0,3744223.5,3684189.0,3705771.0
49,3744978.25,3766803.0,3699260.5,3690671.0,3655016.5
50,3710736.25,3749214.75,3752612.0,3699623.5,3754757.75
51,3664793.75,3745598.25,3736540.0,3765261.25,3713974.5
52,3710846.25,3812659.5,3767068.0,3744139.0,3771935.5
53,3757386.75,3660925.0,3659993.75,3675987.0,3681981.0
54,3711050.5,3717979.0,3693651.0,3649630.5,3799615.5
55,3788474.25,3706639.25,3743924.5,3644650.25,3731493.75
56,3753834.75,3688468.5,3738830.75,3800237.25,3681234.25
57,3734405.25,3694368.25,3713006.0,3621599.0,3710624.0
58,3663226.75,3731184.5,3747656.0,3784197.0,3687731.5
59,3703238.0,3767642.75,3717170.25,3723575.75,3700066.0
60,3714085.25,3705959.5,3729824.0,3628565.25,3774122.25
61,3665845.0,3787821.0,3687399.0,3718158.25,3749308.5
62,3704756.5,3715330.25,3769021.0,3670991.0,3751369.0
