,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,5052426.5,5059382.5,5058776.5,5049724.0,5033657.5
1,4979859.5,4995214.0,4995675.0,4991784.5,4971326.0
2,4925997.5,4945042.0,4932652.5,4935802.0,4924956.5
3,4885782.0,4884187.5,4873371.0,4887290.5,4849739.5
4,4803944.0,4817042.0,4827693.0,4852752.0,4798624.5
5,4754858.0,4798754.5,4767858.0,4799551.5,4731806.5
6,4713324.5,4728794.0,4717576.0,4716278.0,4702775.5
7,4679239.5,4714765.5,4674282.0,4703714.0,4616757.5
8,4602638.0,4652262.5,4658711.5,4636149.0,4576602.0
9,4576018.5,4601430.0,4562226.5,4630445.5,4539876.5
10,4583938.5,4564950.0,4553878.5,4519364.5,4471694.0
11,4443885.0,4494613.0,4485800.0,4512643.0,4441636.0
12,4451417.0,4467879.5,4458179.0,4454112.5,4422559.5
13,4404903.0,4555482.0,4391538.0,4442806.0,4455639.0
14,4439161.0,4358810.0,4362510.0,4422296.0,4349309.0
15,4312152.0,4405357.5,4430079.0,4397599.5,4369768.0
16,4288169.0,4341725.5,4312324.5,4336648.0,4298004.5
17,4309355.0,4417191.0,4303015.5,4328995.5,4313679.0
18,4194045.75,4281925.5,4280372.5,4278355.5,4323790.5
19,4212173.5,4302405.5,4240465.5,4333712.0,4236965.5
20,4236658.0,4277343.5,4249154.5,4215523.0,4214653.5
21,4215038.0,4154393.0,4231048.0,4212451.0,4230554.0
22,4236869.5,4148584.0,4218481.5,4153675.0,4170149.25
23,4215678.5,4146367.5,4220447.5,4155242.75,4098984.5
24,4150989.25,4198683.0,4181628.5,4144021.25,4136627.5
25,4138149.0,4065386.25,4083376.0,4120698.25,4099971.0
26,4068476.5,4112069.25,4099226.75,4111441.75,4063036.5
27,4065877.25,4091548.0,4045401.75,4137481.75,4031828.0
28,4004785.0,4046089.25,4083531.5,4093540.5,4110385.0
29,4023108.5,4010737.25,4025999.5,4058645.25,4024331.0
30,4023839.0,4017713.25,4045380.5,4040614.75,4061983.0
31,4006084.5,3999732.5,4005085.25,3935791.0,4025127.0
32,3954166.25,3980494.25,3932358.75,3954330.75,3927906.75
33,3955943.0,4120567.0,3972361.75,3907248.0,3967681.0
34,3845733.25,3949946.75,3883104.0,3868568.5,4021327.5
35,3930683.5,3912037.25,3883005.0,3898891.0,3903729.25
36,3872060.5,3934443.0,3912982.25,3890093.0,3855553.75
37,3757837.75,3776005.25,3830940.0,3877378.75,3853330.25
38,3856250.25,3777857.0,3862974.25,3915240.0,3888137.25
39,3799454.75,3837322.75,3834458.75,3827022.25,3843513.0
40,3747384.0,3810692.0,3763376.5,3790809.75,3877078.75
41,3839378.75,3744257.75,3789515.0,3764736.0,3769181.75
