,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,7126951.0,7124162.0,7126883.5,7111914.5,7125799.5
1,6877033.0,6890142.0,6853112.5,6823749.0,6841714.0
2,6595407.5,6635668.5,6498715.0,6504015.5,6524288.0
3,6261720.5,6296547.0,6117196.5,6097668.0,6161012.5
4,5908071.0,5989522.5,5834060.0,5741492.5,5810847.5
5,5566874.0,5727083.0,5482998.5,5411478.5,5493492.5
6,5298886.5,5388886.5,5264636.0,5174078.0,5302241.5
7,5030060.0,5166536.5,4950180.5,4916641.5,5013608.5
8,4822671.0,4891266.0,4925564.0,4836130.5,4871573.5
9,4817248.5,4807973.5,4822236.0,4796224.5,4711908.0
10,4634615.5,4686060.5,4705620.0,4665285.0,4616178.0
11,4552441.0,4658606.5,4581988.5,4518860.5,4505478.5
12,4481435.5,4426414.5,4475677.0,4393998.5,4358841.5
13,4356189.5,4389508.5,4373139.5,4307636.0,4231207.5
14,4240926.0,4292932.0,4275711.5,4219771.5,4272542.5
15,4159827.0,4174128.25,4135437.75,4035793.25,4069078.0
16,4060155.5,4050289.25,4163430.5,3974581.25,3917423.5
17,3952510.0,4020890.5,3957486.5,3896275.75,3790900.5
18,3820648.75,3884574.75,3843162.0,3762172.0,3671601.25
19,3744827.75,3886377.5,3800814.0,3779380.75,3691683.0
20,3780975.0,3678791.25,3691686.0,3586773.25,3576515.0
21,3704660.0,3559860.5,3642114.75,3560706.75,3563959.0
22,3520417.75,3559553.5,3577208.25,3531459.75,3427583.75
23,3466063.25,3458920.5,3440801.25,3462083.5,3313044.75
24,3448542.0,3457870.75,3295570.25,3460508.75,3387637.75
25,3458389.0,3383109.75,3306654.0,3292467.5,3310781.75
26,3365225.0,3304346.25,3346687.75,3345496.5,3197585.25
27,3324801.75,3228693.0,3344989.5,3367923.5,3197590.0
28,3324514.0,3177097.0,3229670.5,3186412.75,3210479.5
29,3218766.75,3122308.75,3143302.5,3338688.25,3192884.0
30,3175130.5,3240640.25,3110250.5,3174717.5,3079114.0
31,3212212.5,3075937.0,3232509.5,3215700.75,3030402.0
32,3161516.75,3081700.0,2956637.75,3102594.75,3022547.5
33,2983565.0,2989984.0,3036386.25,3060923.25,2912663.0
34,3037755.75,2981726.25,3038423.75,2958919.25,2980565.5
35,2903619.5,3032171.0,2830123.5,3095092.25,2977749.25
36,2830125.75,2909932.0,2941937.75,2926343.25,2897952.5
37,2919690.25,3098022.75,2898748.5,2892761.25,2814409.0
38,2860353.0,2854540.75,2828585.5,2943235.75,2826827.5
39,2821589.0,3063636.5,2859173.5,2793526.5,2800491.25
40,2714911.75,2862281.75,2938753.0,2818686.25,2680377.75
41,2803106.75,2801322.25,2735321.5,2774900.75,2704830.0
42,2767583.75,2746454.5,2688589.75,2666654.5,2592297.25
43,2681638.5,2681995.25,2662179.25,2628764.75,2601320.75
44,2724694.75,2657894.25,2640849.25,2685098.75,2573166.0
45,2670206.75,2529395.75,2660597.5,2548735.5,2564957.25
46,2603540.5,2558989.25,2641349.0,2514043.5,2424430.5
47,2659239.5,2475486.75,2488301.25,2476989.0,2508069.25
48,2490284.75,2503822.0,2630626.0,2431653.75,2512459.75
49,2727101.5,2479088.25,2497969.75,2490881.0,2458273.25
50,2569609.25,2456783.75,2411689.5,2377821.75,2443486.25
51,2478126.5,2412231.75,2448714.5,2388612.75,2437227.0
52,2383061.25,2435692.75,2329804.75,2349747.25,2375757.25
53,2544473.5,2495001.25,2310314.5,2259508.25,2402311.0
54,2381501.25,2353191.75,2430402.0,2309356.5,2448823.75
55,2509454.25,2335134.0,2240517.75,2343788.0,2245136.5
56,2505883.0,2161750.25,2212182.5,2312581.25,2153547.25
57,2278907.75,2416246.5,2328920.5,2186248.75,2145682.25
58,2322112.5,2304752.0,2252287.25,2205916.25,2131268.75
59,2179011.5,2257817.0,2267705.5,2156582.75,2170033.0
60,2259675.5,2433492.0,2135076.5,2211251.5,2126508.0
61,2281586.5,2298497.25,2091781.875,2086217.5,2022760.0
62,2180507.75,2343861.75,2037399.25,2207358.25,2005262.25
63,2212856.5,2209761.75,2065324.375,2092466.25,1961524.5
64,2138782.0,2341921.5,2012925.75,2106281.5,2041958.25
65,2110590.0,1982450.625,1970139.75,2073257.625,1930504.125
66,2185105.0,2086504.25,1879776.375,2090889.125,1835446.5
67,2116835.5,2039712.625,2036543.5,1941201.25,1897417.125
68,2019675.25,2030617.125,2051662.125,1957830.125,1914265.0
69,1936623.125,1989768.875,1958649.0,1929608.125,1905044.625
70,2143861.25,1988251.0,2069144.625,1963908.625,2007460.875
71,1967202.75,1919567.875,1990879.625,1826229.5,2023901.5
72,1957888.375,1893403.125,1934587.5,1790533.375,1913580.625
73,2018750.125,1882700.5,1994829.0,1915511.5,1850249.625
74,1957249.875,1794723.875,2100842.5,1793922.375,2001715.875
75,1914576.75,1846265.5,1944320.25,1899992.0,1810479.5
76,1974976.25,1769155.875,2029051.25,1904121.5,1808335.0
77,2023633.25,1737397.75,1972049.75,1976146.25,1829519.0
78,2023820.875,1776753.875,1892275.875,1990749.75,1744874.625
79,1835010.375,1819044.25,1949844.5,2168847.25,1705639.875
80,1904978.875,1741070.5,1875336.0,1903830.0,1785181.625
81,1833023.75,1741125.75,1875510.375,1892448.5,1868236.625
82,1978227.625,1749477.5,1903316.75,1986464.75,1689961.375
83,1942718.125,1967717.375,1857702.5,1787173.125,1723066.875
84,1821072.625,1694340.125,1824051.375,1763587.625,1789040.5
85,1997021.125,1663463.75,1842037.625,1782131.75,1733656.25
86,1791714.25,1640802.875,1771152.5,1745081.875,1724383.375
87,1848251.0,1661992.625,1900133.875,1908873.125,1714755.375
88,1698932.5,1667867.75,1920323.0,1659150.125,1753680.625
89,1744219.875,1578950.75,1760437.25,1667715.625,1863116.625
90,1674780.375,1516512.625,1668905.5,1765919.625,1663209.75
91,1713262.75,1586315.375,1852930.375,1619840.125,1746844.625
92,1710265.125,1520425.625,1780233.25,1581717.875,1768237.75
93,1712188.125,1540555.5,1875245.375,1832281.0,1690477.25
94,1714103.375,1513120.625,1636395.75,1691319.0,1699192.125
95,1810996.25,1439283.375,1626118.125,1831428.5,1592202.625
96,1753015.25,1606078.625,1710402.75,1709751.125,1713193.375
97,1723920.875,1446401.125,1675853.125,1810840.25,1656498.625
98,1708678.25,1551698.125,1679205.75,1698784.125,1603961.25
99,1724626.5,1524168.375,1690613.375,1680169.875,1613688.625
100,1774716.5,1579503.75,1731286.375,1568289.375,1696830.375
101,1574879.375,1506706.5,1645559.25,1624586.75,1615653.125
102,1661329.25,1523444.75,1725858.375,1686696.375,1513177.625
103,1561782.5,1510773.0,1710791.375,1728838.625,1691155.375
104,1544669.75,1467340.25,1662096.875,1734200.0,1455949.75
